"2pac_esrtpb_3 - Storage 102927"
"Wavelength nm."	"R%"
185,00	-78533,9766
185,50	-62647,6016
186,00	-46755,9570
186,50	-30884,9492
187,00	-14974,0771
187,50	915,6835
188,00	904,7090
188,50	731,3135
189,00	678,7584
189,50	664,2875
190,00	657,8987
190,50	642,1661
191,00	645,0224
191,50	604,8271
192,00	595,6285
192,50	569,3308
193,00	552,7220
193,50	530,0993
194,00	516,5774
194,50	512,0054
195,00	505,2244
195,50	510,1628
196,00	509,3258
196,50	497,9940
197,00	502,3483
197,50	501,0271
198,00	492,1222
198,50	491,9864
199,00	488,0659
199,50	485,6426
200,00	473,1650
200,50	467,8911
201,00	463,8701
201,50	463,8217
202,00	456,9875
202,50	451,1505
203,00	448,9850
203,50	438,9851
204,00	431,8631
204,50	426,5968
205,00	424,6674
205,50	417,9518
206,00	407,8276
206,50	407,1962
207,00	405,2580
207,50	398,0935
208,00	395,0574
208,50	390,9837
209,00	385,6758
209,50	378,9327
210,00	376,9748
210,50	372,0244
211,00	364,3232
211,50	357,7372
212,00	353,0111
212,50	347,2592
213,00	343,2841
213,50	339,1472
214,00	333,5102
214,50	327,7815
215,00	324,2675
215,50	320,7035
216,00	316,7930
216,50	313,2826
217,00	308,5777
217,50	304,7280
218,00	301,0204
218,50	297,1473
219,00	293,2373
219,50	289,0244
220,00	285,2551
220,50	282,2425
221,00	277,9469
221,50	274,8483
222,00	271,6954
222,50	267,5983
223,00	265,4922
223,50	261,5832
224,00	257,5709
224,50	254,3045
225,00	249,6208
225,50	246,3263
226,00	242,9166
226,50	239,4428
227,00	237,0309
227,50	233,3535
228,00	230,6252
228,50	227,7295
229,00	224,9877
229,50	222,7522
230,00	220,3202
230,50	218,1523
231,00	216,1425
231,50	213,4192
232,00	211,2869
232,50	208,8917
233,00	207,3268
233,50	204,5868
234,00	202,6792
234,50	200,4471
235,00	198,6193
235,50	196,7851
236,00	195,2995
236,50	193,5207
237,00	192,3369
237,50	190,6210
238,00	189,7804
238,50	188,4072
239,00	187,4184
239,50	185,9585
240,00	184,6034
240,50	183,6021
241,00	182,9398
241,50	182,4467
242,00	181,7504
242,50	181,2786
243,00	180,5676
243,50	179,7631
244,00	179,4012
244,50	178,9933
245,00	177,9747
245,50	177,2159
246,00	176,2300
246,50	175,5965
247,00	174,9571
247,50	174,2568
248,00	173,7875
248,50	172,9698
249,00	172,2591
249,50	171,9147
250,00	171,5568
250,50	171,0213
251,00	170,3949
251,50	169,9175
252,00	169,8121
252,50	169,4183
253,00	169,2253
253,50	169,0311
254,00	168,7468
254,50	168,4531
255,00	168,1527
255,50	167,6947
256,00	166,9762
256,50	166,2186
257,00	165,7644
257,50	165,2174
258,00	164,7388
258,50	163,9751
259,00	163,3503
259,50	162,6326
260,00	162,4940
260,50	162,0728
261,00	161,5630
261,50	161,2643
262,00	160,9674
262,50	160,2989
263,00	160,2609
263,50	159,9463
264,00	159,7989
264,50	159,5190
265,00	159,2229
265,50	159,0251
266,00	158,8563
266,50	158,3291
267,00	158,2278
267,50	157,7357
268,00	157,2801
268,50	156,9769
269,00	156,5612
269,50	156,2849
270,00	155,9684
270,50	155,3395
271,00	154,9968
271,50	154,8377
272,00	154,6285
272,50	154,2005
273,00	153,8141
273,50	153,7271
274,00	153,5694
274,50	153,1452
275,00	153,1273
275,50	152,8737
276,00	152,5110
276,50	152,0945
277,00	151,8761
277,50	151,7915
278,00	151,1538
278,50	150,8463
279,00	150,5299
279,50	149,9161
280,00	149,5203
280,50	149,0971
281,00	148,5890
281,50	148,2331
282,00	147,6204
282,50	147,2706
283,00	146,4660
283,50	146,0098
284,00	145,8470
284,50	145,2819
285,00	144,8195
285,50	144,4417
286,00	143,8200
286,50	143,2415
287,00	142,6609
287,50	142,3208
288,00	141,9684
288,50	141,2824
289,00	140,9411
289,50	140,6054
290,00	140,2514
290,50	139,8316
291,00	139,5127
291,50	139,1818
292,00	138,9084
292,50	138,3459
293,00	138,0336
293,50	137,6755
294,00	137,1967
294,50	136,8114
295,00	136,5916
295,50	136,2947
296,00	135,7534
296,50	135,2230
297,00	134,8243
297,50	134,4478
298,00	134,1828
298,50	133,7686
299,00	133,4379
299,50	132,9471
300,00	132,7321
300,50	132,4718
301,00	132,0578
301,50	131,8088
302,00	131,1487
302,50	130,6095
303,00	130,0734
303,50	129,5295
304,00	129,1202
304,50	128,5076
305,00	128,0910
305,50	127,6363
306,00	127,2950
306,50	127,0219
307,00	126,4782
307,50	126,1961
308,00	125,8097
308,50	125,3441
309,00	124,8810
309,50	124,3447
310,00	123,7957
310,50	123,2142
311,00	122,8784
311,50	122,5322
312,00	121,9504
312,50	121,4718
313,00	121,2025
313,50	120,8521
314,00	120,5190
314,50	120,1571
315,00	119,7968
315,50	119,3118
316,00	119,0581
316,50	118,7653
317,00	118,6676
317,50	118,3755
318,00	118,0439
318,50	117,7090
319,00	117,5420
319,50	117,3020
320,00	117,0567
320,50	116,6380
321,00	116,4113
321,50	116,1044
322,00	115,9702
322,50	115,5919
323,00	115,5454
323,50	115,4093
324,00	115,0956
324,50	114,7730
325,00	114,6941
325,50	114,5129
326,00	114,1425
326,50	113,5842
327,00	113,4741
327,50	113,0212
328,00	112,6728
328,50	112,5302
329,00	112,3772
329,50	112,1805
330,00	111,9073
330,50	111,7377
331,00	111,6642
331,50	111,4083
332,00	111,3037
332,50	111,1348
333,00	110,9241
333,50	110,6752
334,00	110,5932
334,50	110,4350
335,00	110,3038
335,50	110,0396
336,00	109,8128
336,50	109,4301
337,00	109,1727
337,50	108,9819
338,00	108,9387
338,50	108,5915
339,00	108,3290
339,50	107,9946
340,00	107,7917
340,50	107,6338
341,00	107,5382
341,50	107,3428
342,00	107,1675
342,50	106,7814
343,00	106,5247
343,50	106,2692
344,00	106,0356
344,50	105,8289
345,00	105,6601
345,50	105,4662
346,00	105,1679
346,50	104,8447
347,00	104,7272
347,50	104,4146
348,00	104,2562
348,50	103,9629
349,00	103,7220
349,50	103,4427
350,00	103,1947
350,50	103,0641
351,00	102,8646
351,50	102,4886
352,00	102,3335
352,50	102,0914
353,00	102,0033
353,50	101,9319
354,00	101,6676
354,50	101,5026
355,00	101,2680
355,50	101,0353
356,00	100,8950
356,50	100,6648
357,00	100,4312
357,50	100,2093
358,00	99,7569
358,50	99,6144
359,00	99,3515
359,50	99,2248
360,00	99,1139
360,50	98,9383
361,00	98,6948
361,50	98,5392
362,00	98,3809
362,50	98,3379
363,00	98,1324
363,50	97,8800
364,00	97,6124
364,50	97,4390
365,00	97,3930
365,50	97,3279
366,00	97,0989
366,50	96,7804
367,00	96,6946
367,50	96,5796
368,00	96,4980
368,50	96,4547
369,00	96,1660
369,50	95,9896
370,00	95,7691
370,50	95,8170
371,00	95,7517
371,50	95,6150
372,00	95,5434
372,50	95,3883
373,00	95,2667
373,50	95,2914
374,00	95,1842
