"PEN_Q51_50um_argset_commissioning_22042024 - Storage 140834"
"Wavelength nm."	"R%"
185,00	89,1152
185,50	89,1980
186,00	90,5751
186,50	87,5066
187,00	91,1300
187,50	92,8353
188,00	93,7864
188,50	97,9539
189,00	93,9941
189,50	92,6266
190,00	92,0593
190,50	89,8523
191,00	92,2154
191,50	87,6145
192,00	86,0801
192,50	82,9261
193,00	81,2065
193,50	79,9775
194,00	76,7528
194,50	75,9949
195,00	74,9952
195,50	74,9734
196,00	74,0767
196,50	72,1744
197,00	72,7784
197,50	71,9269
198,00	71,6657
198,50	72,3674
199,00	72,1632
199,50	72,3215
200,00	71,2238
200,50	70,6292
201,00	70,5008
201,50	69,6388
202,00	67,9909
202,50	66,8606
203,00	65,8697
203,50	64,4931
204,00	63,4580
204,50	62,3604
205,00	62,5519
205,50	61,3469
206,00	61,0651
206,50	61,3805
207,00	60,9214
207,50	60,5593
208,00	60,4391
208,50	60,0011
209,00	59,8621
209,50	59,2767
210,00	58,9989
210,50	58,2047
211,00	56,9345
211,50	56,2134
212,00	55,5585
212,50	54,7488
213,00	54,1370
213,50	53,3990
214,00	52,1439
214,50	51,5120
215,00	51,2370
215,50	50,7693
216,00	50,4522
216,50	49,9219
217,00	49,3672
217,50	48,8366
218,00	48,5080
218,50	48,3318
219,00	47,8996
219,50	47,5670
220,00	47,3625
220,50	47,2805
221,00	47,0534
221,50	46,9082
222,00	46,7617
222,50	46,4344
223,00	46,2858
223,50	46,0584
224,00	45,6850
224,50	45,5108
225,00	45,0338
225,50	44,7626
226,00	44,5676
226,50	44,2594
227,00	44,0831
227,50	43,8468
228,00	43,7329
228,50	43,6857
229,00	43,4351
229,50	43,3323
230,00	43,2471
230,50	43,1199
231,00	43,0420
231,50	42,8722
232,00	42,6981
232,50	42,6003
233,00	42,4624
233,50	42,3208
234,00	42,2633
234,50	42,1392
235,00	42,1454
235,50	42,0962
236,00	42,1334
236,50	42,1660
237,00	42,1990
237,50	42,0631
238,00	42,0514
238,50	41,9714
239,00	41,9619
239,50	41,8840
240,00	41,8674
240,50	41,9029
241,00	41,9190
241,50	41,8987
242,00	42,0277
242,50	42,1528
243,00	42,2140
243,50	42,2508
244,00	42,3463
244,50	42,4973
245,00	42,4327
245,50	42,3954
246,00	42,4034
246,50	42,4289
247,00	42,4661
247,50	42,4868
248,00	42,7050
248,50	42,7087
249,00	42,7203
249,50	42,8161
250,00	43,0124
250,50	43,2224
251,00	43,3747
251,50	43,5330
252,00	43,7435
252,50	43,8250
253,00	44,0716
253,50	44,4068
254,00	44,5860
254,50	44,7684
255,00	44,9660
255,50	45,1825
256,00	45,3232
256,50	45,5012
257,00	45,6192
257,50	45,7959
258,00	45,8618
258,50	46,0180
259,00	46,2609
259,50	46,4035
260,00	46,5811
260,50	46,6973
261,00	46,8059
261,50	47,0387
262,00	47,1076
262,50	47,1305
263,00	47,3069
263,50	47,2740
264,00	47,2791
264,50	47,3078
265,00	47,3790
265,50	47,4158
266,00	47,4232
266,50	47,3816
267,00	47,4051
267,50	47,3503
268,00	47,3355
268,50	47,3598
269,00	47,2973
269,50	47,2842
270,00	47,2513
270,50	47,2126
271,00	47,1461
271,50	47,1408
272,00	47,1272
272,50	47,0830
273,00	46,9846
273,50	46,9589
274,00	46,9366
274,50	46,8957
275,00	46,8527
275,50	46,8050
276,00	46,8051
276,50	46,7605
277,00	46,7511
277,50	46,6983
278,00	46,6180
278,50	46,5669
279,00	46,5307
279,50	46,4441
280,00	46,5020
280,50	46,4203
281,00	46,3284
281,50	46,2146
282,00	46,2351
282,50	46,2025
283,00	46,1097
283,50	46,0850
284,00	46,1279
284,50	46,0966
285,00	46,0436
285,50	46,0263
286,00	46,0428
286,50	45,9764
287,00	45,9006
287,50	45,8925
288,00	45,8860
288,50	45,8187
289,00	45,7992
289,50	45,9237
290,00	45,9246
290,50	45,8950
291,00	45,9150
291,50	45,9485
292,00	45,9910
292,50	45,9094
293,00	45,9134
293,50	45,8965
294,00	45,8388
294,50	45,8303
295,00	45,8699
295,50	45,8811
296,00	45,9449
296,50	45,9213
297,00	45,9368
297,50	45,9479
298,00	45,9705
298,50	45,9272
299,00	45,9569
299,50	45,9887
300,00	46,0994
300,50	46,1316
301,00	46,1710
301,50	46,3870
302,00	46,4690
302,50	46,5743
303,00	46,6829
303,50	46,7716
304,00	46,9045
304,50	46,9517
305,00	47,0061
305,50	47,0487
306,00	47,0237
306,50	47,0719
307,00	47,1049
307,50	47,1020
308,00	47,0853
308,50	47,1865
309,00	47,3385
309,50	47,5785
310,00	47,8691
310,50	48,0396
311,00	48,2781
311,50	48,4318
312,00	48,6169
312,50	48,8626
313,00	48,9120
313,50	48,9821
314,00	49,0113
314,50	48,9948
315,00	49,0697
315,50	49,0480
316,00	49,0778
316,50	49,1839
317,00	49,2418
317,50	49,3348
318,00	49,3225
318,50	49,3055
319,00	49,3452
319,50	49,3277
320,00	49,2852
320,50	49,3208
321,00	49,2860
321,50	49,2010
322,00	49,0937
322,50	49,0835
323,00	49,1079
323,50	49,0784
324,00	48,9379
324,50	48,9354
325,00	48,9512
325,50	48,8608
326,00	48,8722
326,50	48,8487
327,00	48,8261
327,50	48,6946
328,00	48,5450
328,50	48,6402
329,00	48,6261
329,50	48,5835
330,00	48,5621
330,50	48,4786
331,00	48,5164
331,50	48,4687
332,00	48,5111
332,50	48,5868
333,00	48,5918
333,50	48,5280
334,00	48,4658
334,50	48,4265
335,00	48,4665
335,50	48,3648
336,00	48,3165
336,50	48,2238
337,00	48,1780
337,50	48,0889
338,00	48,0810
338,50	48,1055
339,00	48,1694
339,50	48,0753
340,00	48,0616
340,50	48,0729
341,00	48,0858
341,50	48,0922
342,00	48,0221
342,50	47,9874
343,00	47,8749
343,50	47,8031
344,00	47,8174
344,50	47,8464
345,00	47,8248
345,50	47,8538
346,00	47,7978
346,50	47,7432
347,00	47,7045
347,50	47,7210
348,00	47,6788
348,50	47,6118
349,00	47,5187
349,50	47,4641
350,00	47,4009
350,50	47,3979
351,00	47,4633
351,50	47,4668
352,00	47,4383
352,50	47,3995
353,00	47,4417
353,50	47,5062
354,00	47,4574
354,50	47,4072
355,00	47,3521
355,50	47,2752
356,00	47,2003
356,50	47,2033
357,00	47,2031
357,50	47,1934
358,00	47,0683
358,50	47,2625
359,00	47,4219
359,50	47,6051
360,00	47,8283
360,50	48,0405
361,00	48,1976
361,50	48,3791
362,00	48,5958
362,50	48,8819
363,00	48,8970
363,50	48,9320
364,00	48,9214
364,50	48,9347
365,00	48,9554
365,50	48,9807
366,00	48,9740
366,50	48,9002
367,00	48,9237
367,50	49,0029
368,00	49,0181
368,50	49,0168
369,00	48,9732
369,50	48,9789
370,00	48,9256
370,50	48,9759
371,00	49,0013
371,50	48,9905
372,00	48,9422
372,50	48,8953
373,00	48,8969
373,50	48,9529
374,00	48,9087
374,50	48,8973
375,00	48,8340
375,50	48,7927
376,00	48,6978
376,50	48,6014
377,00	48,5308
377,50	48,3779
378,00	48,1832
378,50	48,0370
379,00	47,8571
379,50	47,6495
380,00	47,4605
380,50	47,2735
381,00	47,1160
381,50	46,9373
382,00	46,8201
382,50	46,6381
383,00	46,4861
383,50	46,3294
384,00	46,1821
384,50	46,0411
385,00	45,9122
385,50	45,7602
386,00	45,6525
386,50	45,5327
387,00	45,4808
387,50	45,4065
388,00	45,3360
388,50	45,3145
389,00	45,2810
389,50	45,2308
390,00	45,1893
390,50	45,1595
391,00	45,1332
391,50	45,1121
392,00	45,0658
392,50	45,0885
393,00	45,0304
393,50	44,9683
394,00	44,9456
394,50	44,9033
395,00	44,9020
395,50	44,8672
396,00	44,8163
