"PEN_Q51_50um_argset_commissioning_22042024_attempt3 - Storage 141353"
"Wavelength nm."	"R%"
185,00	321,4446
185,50	276,7048
186,00	229,9507
186,50	182,2017
187,00	140,1901
187,50	96,1975
188,00	102,0571
188,50	105,2736
189,00	102,1247
189,50	92,4102
190,00	92,4926
190,50	95,4624
191,00	97,0782
191,50	92,4776
192,00	90,6139
192,50	85,3408
193,00	82,2441
193,50	78,8759
194,00	77,9114
194,50	76,3411
195,00	72,4567
195,50	72,3934
196,00	71,9038
196,50	70,5834
197,00	70,8025
197,50	70,7899
198,00	70,0758
198,50	69,6248
199,00	68,8958
199,50	69,1885
200,00	68,2988
200,50	67,7492
201,00	67,5036
201,50	68,0843
202,00	67,3669
202,50	67,0782
203,00	66,7319
203,50	65,7752
204,00	64,9776
204,50	64,4040
205,00	63,9519
205,50	62,8266
206,00	61,7291
206,50	61,9316
207,00	60,8266
207,50	60,1448
208,00	59,8582
208,50	59,4544
209,00	58,5434
209,50	58,0675
210,00	57,9890
210,50	57,2129
211,00	55,8439
211,50	55,4740
212,00	54,6060
212,50	53,7365
213,00	53,0571
213,50	52,6583
214,00	52,0684
214,50	51,4903
215,00	51,3879
215,50	50,9132
216,00	50,5510
216,50	50,4997
217,00	49,9612
217,50	49,6924
218,00	49,2908
218,50	48,8286
219,00	48,5597
219,50	47,9180
220,00	47,6415
220,50	47,3751
221,00	47,0615
221,50	47,0084
222,00	46,9574
222,50	46,6091
223,00	46,3772
223,50	45,9299
224,00	45,7006
224,50	45,5052
225,00	45,1374
225,50	44,7390
226,00	44,4737
226,50	44,1155
227,00	43,8543
227,50	43,7527
228,00	43,7332
228,50	43,5457
229,00	43,2711
229,50	43,2244
230,00	43,0764
230,50	43,0679
231,00	43,0243
231,50	42,9844
232,00	42,8280
232,50	42,6240
233,00	42,5312
233,50	42,4775
234,00	42,3289
234,50	42,3137
235,00	42,2096
235,50	42,0410
236,00	41,8946
236,50	41,9642
237,00	42,0012
237,50	41,9126
238,00	41,8937
238,50	41,8559
239,00	41,8203
239,50	41,7346
240,00	41,7438
240,50	41,8426
241,00	41,7487
241,50	41,7522
242,00	41,8565
242,50	41,9960
243,00	41,9894
243,50	42,0619
244,00	42,1366
244,50	42,2301
245,00	42,1935
245,50	42,2419
246,00	42,3523
246,50	42,4126
247,00	42,4822
247,50	42,5684
248,00	42,6390
248,50	42,6958
249,00	42,6804
249,50	42,8594
250,00	43,0974
250,50	43,1998
251,00	43,3595
251,50	43,4906
252,00	43,6724
252,50	43,9119
253,00	44,1358
253,50	44,4629
254,00	44,6509
254,50	44,7687
255,00	44,9825
255,50	45,1721
256,00	45,3538
256,50	45,5131
257,00	45,5650
257,50	45,7316
258,00	45,8976
258,50	46,0267
259,00	46,2469
259,50	46,3814
260,00	46,5230
260,50	46,5835
261,00	46,7223
261,50	46,9346
262,00	47,0152
262,50	46,9543
263,00	47,0930
263,50	47,1489
264,00	47,0892
264,50	47,1017
265,00	47,1455
265,50	47,2631
266,00	47,2854
266,50	47,2773
267,00	47,3385
267,50	47,4034
268,00	47,3519
268,50	47,3968
269,00	47,3498
269,50	47,4264
270,00	47,3021
270,50	47,1936
271,00	47,1882
271,50	47,1907
272,00	47,0351
272,50	46,9759
273,00	46,9011
273,50	46,9414
274,00	46,8217
274,50	46,8581
275,00	46,8322
275,50	46,7747
276,00	46,7108
276,50	46,6820
277,00	46,6153
277,50	46,6519
278,00	46,4762
278,50	46,4105
279,00	46,3509
279,50	46,3624
280,00	46,2920
280,50	46,2313
281,00	46,1862
281,50	46,1270
282,00	46,0380
282,50	46,0911
283,00	46,0539
283,50	46,0031
284,00	46,0038
284,50	46,0197
285,00	46,0029
285,50	46,0250
286,00	46,0811
286,50	46,0643
