"PEN_Q53_UZH_spot3 - Storage 135542"
"Wavelength nm."	"R%"
185,00	260,8688
185,50	241,3127
186,00	228,8362
186,50	210,7546
187,00	203,9823
187,50	186,9404
188,00	148,4293
188,50	146,9644
189,00	139,9118
189,50	122,0151
190,00	123,8904
190,50	118,9702
191,00	120,5660
191,50	109,5139
192,00	109,3551
192,50	102,9396
193,00	100,1357
193,50	97,5888
194,00	95,7487
194,50	96,6356
195,00	95,5959
195,50	94,2162
196,00	92,7781
196,50	90,5010
197,00	90,1543
197,50	89,5999
198,00	88,9389
198,50	87,6498
199,00	85,7166
199,50	84,5717
200,00	83,3084
200,50	82,9434
201,00	82,9047
201,50	83,1396
202,00	81,9442
202,50	80,2840
203,00	79,5645
203,50	78,1128
204,00	77,6422
204,50	76,7487
205,00	76,2593
205,50	75,5231
206,00	73,9224
206,50	73,9326
207,00	73,6893
207,50	73,7548
208,00	74,0963
208,50	73,4383
209,00	72,8501
209,50	72,3673
210,00	72,0233
210,50	71,2421
211,00	69,3814
211,50	68,5178
212,00	67,3426
212,50	65,9766
213,00	65,5014
213,50	64,8342
214,00	63,8532
214,50	63,1829
215,00	62,6851
215,50	62,4626
216,00	61,9621
216,50	61,6649
217,00	60,8251
217,50	60,1352
218,00	59,4500
218,50	59,0235
219,00	58,3338
219,50	57,7402
220,00	57,2065
220,50	56,8465
221,00	56,2975
221,50	56,0814
222,00	55,7391
222,50	55,2665
223,00	55,1833
223,50	54,6850
224,00	54,2371
224,50	53,9785
225,00	53,3578
225,50	52,8571
226,00	52,3914
226,50	51,9481
227,00	51,6253
227,50	51,0112
228,00	50,7595
228,50	50,5125
229,00	50,1364
229,50	49,9878
230,00	49,8471
230,50	49,7910
231,00	49,6642
231,50	49,6124
232,00	49,3580
232,50	49,0797
233,00	48,8545
233,50	48,7257
234,00	48,6374
234,50	48,4755
235,00	48,3240
235,50	48,2315
236,00	48,0068
236,50	48,0543
237,00	47,9602
237,50	47,8419
238,00	47,6901
238,50	47,5446
239,00	47,4816
239,50	47,2830
240,00	47,0899
240,50	47,0873
241,00	46,8939
241,50	46,9729
242,00	47,0029
242,50	47,0671
243,00	47,0918
243,50	47,0646
244,00	47,1530
244,50	47,2553
245,00	47,1453
245,50	47,2544
246,00	47,2275
246,50	47,2235
247,00	47,2019
247,50	47,0937
248,00	47,2346
248,50	47,2887
249,00	47,2358
249,50	47,3520
250,00	47,3888
250,50	47,3723
251,00	47,3611
251,50	47,4664
252,00	47,5928
252,50	47,5646
253,00	47,6405
253,50	47,8024
254,00	47,9315
254,50	48,1024
255,00	48,3158
255,50	48,5184
256,00	48,6423
256,50	48,7363
257,00	48,8207
257,50	48,9266
258,00	49,0761
258,50	49,1624
259,00	49,1463
259,50	49,1444
260,00	49,2175
260,50	49,1969
261,00	49,2776
261,50	49,3660
262,00	49,4170
262,50	49,2965
263,00	49,3598
263,50	49,4263
264,00	49,4308
264,50	49,4452
265,00	49,5223
265,50	49,4949
266,00	49,4717
266,50	49,4360
267,00	49,4587
267,50	49,4417
268,00	49,4284
268,50	49,4365
269,00	49,3413
269,50	49,3310
270,00	49,3532
270,50	49,2837
271,00	49,2641
271,50	49,2748
272,00	49,2040
272,50	49,1054
273,00	49,1283
273,50	49,1802
274,00	49,1343
274,50	49,0841
275,00	49,1197
275,50	49,0164
276,00	49,0267
276,50	49,0290
277,00	48,9444
277,50	48,8676
278,00	48,7524
278,50	48,7238
279,00	48,6426
279,50	48,5819
280,00	48,6080
280,50	48,5149
281,00	48,4536
281,50	48,4493
282,00	48,4935
282,50	48,5256
283,00	48,3633
283,50	48,3819
284,00	48,4808
284,50	48,3900
285,00	48,3287
285,50	48,2678
286,00	48,2594
286,50	48,1273
287,00	48,0608
287,50	48,0651
288,00	48,0843
288,50	47,9173
289,00	47,9639
289,50	48,0500
290,00	48,0414
290,50	48,0348
291,00	48,0232
291,50	48,0614
292,00	48,0418
292,50	47,9297
293,00	47,9405
293,50	47,9971
294,00	47,8981
294,50	47,8592
295,00	47,8378
295,50	47,8149
296,00	47,7088
296,50	47,7125
297,00	47,6884
297,50	47,6977
298,00	47,6057
298,50	47,5414
299,00	47,5744
299,50	47,5446
300,00	47,6171
300,50	47,5435
301,00	47,4676
301,50	47,5536
302,00	47,5122
302,50	47,5208
303,00	47,5397
303,50	47,5019
304,00	47,4922
304,50	47,4548
305,00	47,6023
305,50	47,6422
306,00	47,6000
306,50	47,7349
307,00	47,6708
307,50	47,7006
308,00	47,7802
308,50	48,0331
309,00	48,1673
309,50	48,2999
310,00	48,4556
310,50	48,6640
311,00	48,8097
311,50	48,9913
312,00	49,1033
312,50	49,2388
313,00	49,1013
313,50	49,1711
314,00	49,1568
314,50	49,2184
315,00	49,1709
315,50	49,0747
316,00	49,1234
316,50	49,1700
317,00	49,1917
317,50	49,3624
318,00	49,2689
318,50	49,3290
319,00	49,3163
319,50	49,3374
320,00	49,2965
320,50	49,2449
321,00	49,2248
321,50	49,1931
322,00	49,0846
322,50	49,1380
323,00	49,1693
323,50	49,1563
324,00	49,0909
324,50	49,1076
325,00	49,1520
325,50	49,1039
326,00	49,0823
326,50	49,0695
327,00	49,0360
327,50	48,8712
328,00	48,8280
328,50	48,8516
329,00	48,8075
329,50	48,7894
330,00	48,8290
330,50	48,7510
331,00	48,7590
331,50	48,7430
332,00	48,7957
332,50	48,8257
333,00	48,8336
333,50	48,8018
334,00	48,8115
334,50	48,7585
335,00	48,8171
335,50	48,7572
336,00	48,7374
336,50	48,6522
337,00	48,6017
337,50	48,5460
338,00	48,5789
338,50	48,4735
339,00	48,4836
339,50	48,3617
340,00	48,3579
340,50	48,3439
341,00	48,3361
341,50	48,3154
342,00	48,2804
342,50	48,2108
343,00	48,2339
343,50	48,1718
344,00	48,1945
344,50	48,1315
345,00	48,0838
345,50	48,1114
346,00	48,1082
346,50	48,0726
347,00	48,0759
347,50	48,0252
348,00	48,0740
348,50	48,0588
349,00	48,0478
349,50	48,0131
350,00	48,0035
350,50	47,9351
351,00	47,8943
351,50	47,8624
352,00	47,8179
352,50	47,7903
353,00	47,7901
353,50	47,7917
354,00	47,7994
354,50	47,7554
355,00	47,7468
355,50	47,7088
356,00	47,6460
356,50	47,6836
357,00	47,5783
357,50	47,5555
358,00	47,4485
358,50	47,5726
359,00	47,7090
359,50	47,8549
360,00	48,0228
360,50	48,2267
361,00	48,3307
361,50	48,5194
362,00	48,6996
362,50	48,9546
363,00	48,9776
363,50	48,9644
364,00	48,9660
364,50	48,9374
365,00	48,9461
365,50	48,9442
366,00	48,9534
366,50	48,8491
367,00	48,8390
367,50	48,8209
368,00	48,8001
368,50	48,7993
369,00	48,8149
369,50	48,8006
370,00	48,7453
370,50	48,7343
371,00	48,7212
371,50	48,6584
372,00	48,5775
372,50	48,4643
