"no_sample_attempt1 - Storage 135818"
"Wavelength nm."	"R%"
185,00	86,1081
185,50	74,8784
186,00	64,7513
186,50	54,8187
187,00	45,1513
187,50	35,0373
188,00	27,3010
188,50	26,8809
189,00	28,5695
189,50	28,2745
190,00	29,1844
190,50	28,5589
191,00	27,7190
191,50	26,7942
192,00	26,5332
192,50	25,4895
193,00	24,8978
193,50	24,0330
194,00	22,4144
194,50	22,5220
195,00	22,2623
195,50	22,7890
196,00	22,7853
196,50	22,3727
197,00	23,1121
197,50	23,9386
198,00	23,7821
198,50	24,6309
199,00	24,7519
199,50	25,2701
200,00	25,0706
200,50	25,1489
201,00	25,2928
201,50	25,2470
202,00	24,7794
202,50	25,3258
203,00	25,1981
203,50	24,9320
204,00	25,0217
204,50	25,2258
205,00	25,3074
205,50	25,5179
206,00	25,3965
206,50	25,7896
207,00	25,7574
207,50	25,9337
208,00	26,2663
208,50	26,2964
209,00	26,3318
209,50	26,5799
210,00	26,9733
210,50	27,2618
211,00	27,1559
211,50	27,1358
212,00	27,1467
212,50	26,9114
213,00	27,0591
213,50	27,1205
214,00	27,0374
214,50	26,9901
215,00	27,1756
215,50	27,1967
216,00	27,3912
216,50	27,6176
217,00	27,8253
217,50	27,9428
218,00	28,0132
218,50	28,2604
219,00	28,3492
219,50	28,3581
220,00	28,5925
220,50	28,7790
221,00	28,8983
221,50	28,9945
222,00	29,1257
222,50	29,2116
223,00	29,3421
223,50	29,4502
224,00	29,4584
224,50	29,4568
225,00	29,5178
225,50	29,5246
226,00	29,5987
226,50	29,7404
227,00	29,8721
227,50	29,9925
228,00	30,0316
228,50	30,1766
229,00	30,3053
229,50	30,4233
230,00	30,5293
230,50	30,6442
231,00	30,7431
231,50	30,8321
232,00	30,7892
232,50	30,9251
233,00	31,0264
233,50	31,0661
234,00	31,1324
234,50	31,2316
235,00	31,3468
235,50	31,4131
236,00	31,5122
236,50	31,7404
237,00	31,7647
237,50	31,8318
238,00	31,8967
238,50	31,9803
239,00	31,9858
239,50	32,0211
240,00	32,0527
240,50	32,1743
241,00	32,1564
241,50	32,3281
242,00	32,4430
242,50	32,6016
243,00	32,7093
243,50	32,8023
244,00	32,8697
244,50	33,0130
245,00	32,9667
245,50	33,0562
246,00	33,0623
246,50	33,1573
247,00	33,1430
247,50	33,1726
248,00	33,2941
248,50	33,3417
249,00	33,2823
249,50	33,3801
250,00	33,4684
250,50	33,5306
251,00	33,5050
251,50	33,5715
252,00	33,5527
252,50	33,5873
253,00	33,6684
253,50	33,8442
254,00	33,8622
254,50	33,8778
255,00	33,8969
255,50	33,9288
256,00	33,9350
256,50	34,0285
257,00	34,0777
257,50	34,0924
258,00	34,0326
258,50	33,9947
259,00	34,0313
259,50	34,0627
260,00	34,1720
260,50	34,2208
261,00	34,2038
261,50	34,2243
262,00	34,2331
262,50	34,2132
263,00	34,3821
263,50	34,3086
264,00	34,2726
264,50	34,2277
265,00	34,2114
265,50	34,2327
266,00	34,2469
266,50	34,2603
267,00	34,3129
267,50	34,2194
268,00	34,3497
268,50	34,3909
269,00	34,3308
269,50	34,3384
270,00	34,3649
270,50	34,3177
271,00	34,2927
271,50	34,3053
272,00	34,3197
272,50	34,2042
273,00	34,1756
273,50	34,2275
274,00	34,2378
274,50	34,2186
275,00	34,2234
275,50	34,2634
276,00	34,2775
276,50	34,3315
277,00	34,3533
277,50	34,4044
278,00	34,3876
278,50	34,4446
279,00	34,4810
279,50	34,5063
280,00	34,5124
280,50	34,5686
281,00	34,6243
281,50	34,6795
282,00	34,6820
282,50	34,7882
283,00	34,7996
283,50	34,8541
284,00	35,0056
284,50	35,0060
285,00	35,0228
285,50	35,0065
286,00	35,0553
286,50	35,0534
287,00	35,0028
287,50	35,0137
288,00	35,0628
288,50	35,0096
289,00	35,1130
289,50	35,2122
290,00	35,2454
290,50	35,3069
291,00	35,3920
291,50	35,4592
292,00	35,5627
292,50	35,5464
293,00	35,5324
293,50	35,5800
294,00	35,5884
294,50	35,6434
295,00	35,5848
295,50	35,5952
296,00	35,5769
296,50	35,5588
297,00	35,5833
297,50	35,6602
298,00	35,6046
298,50	35,6298
299,00	35,6697
299,50	35,7801
300,00	35,8817
300,50	36,0210
301,00	36,0388
301,50	36,1124
302,00	36,0868
302,50	36,1119
303,00	36,1251
303,50	36,1525
304,00	36,1268
304,50	36,1300
305,00	36,1236
305,50	36,0617
306,00	35,9778
306,50	36,0363
307,00	36,1102
307,50	36,0830
308,00	36,0594
308,50	36,2566
309,00	36,3971
309,50	36,5684
310,00	36,8285
310,50	37,1000
311,00	37,2983
311,50	37,4543
312,00	37,6435
312,50	37,8339
313,00	37,8741
313,50	37,9528
314,00	38,0208
314,50	38,0141
315,00	37,9926
315,50	38,0311
316,00	38,1044
316,50	38,1147
317,00	38,2111
317,50	38,2434
318,00	38,2131
318,50	38,2026
319,00	38,3067
319,50	38,3732
320,00	38,2765
320,50	38,2803
321,00	38,2931
321,50	38,2491
322,00	38,2775
322,50	38,2661
323,00	38,3081
323,50	38,3118
324,00	38,2881
324,50	38,3723
325,00	38,3928
325,50	38,3758
326,00	38,3930
326,50	38,4054
327,00	38,4373
327,50	38,3868
328,00	38,3825
328,50	38,4161
329,00	38,4420
329,50	38,4738
330,00	38,5504
330,50	38,5563
331,00	38,6135
331,50	38,6660
332,00	38,6886
332,50	38,6554
333,00	38,6922
333,50	38,7351
334,00	38,7636
334,50	38,8048
335,00	38,8574
335,50	38,7703
336,00	38,7709
336,50	38,7964
337,00	38,8531
337,50	38,8552
338,00	38,8787
338,50	38,8386
339,00	38,8295
339,50	38,8372
340,00	38,9014
340,50	38,9645
341,00	39,0189
341,50	39,0491
342,00	39,0786
342,50	39,0867
343,00	39,0809
343,50	39,1040
344,00	39,1314
344,50	39,1104
345,00	39,1236
345,50	39,1655
346,00	39,1492
346,50	39,1413
347,00	39,1649
347,50	39,2329
348,00	39,2282
348,50	39,1958
349,00	39,2184
349,50	39,1654
350,00	39,1059
350,50	39,1216
351,00	39,1418
351,50	39,1091
352,00	39,0889
352,50	39,1280
353,00	39,1957
353,50	39,2727
354,00	39,2920
354,50	39,3362
355,00	39,3547
355,50	39,3318
356,00	39,2883
356,50	39,3162
357,00	39,2626
357,50	39,2328
358,00	39,1172
358,50	39,3730
359,00	39,5879
359,50	39,7839
360,00	40,0214
360,50	40,2687
361,00	40,4732
361,50	40,7247
362,00	40,9264
362,50	41,1698
363,00	41,1862
363,50	41,1312
364,00	41,1424
364,50	41,1381
365,00	41,2063
365,50	41,2055
366,00	41,1623
366,50	41,1321
367,00	41,1877
367,50	41,1523
368,00	41,2062
368,50	41,1803
369,00	41,1643
369,50	41,1345
370,00	41,0603
370,50	41,1371
371,00	41,1319
371,50	41,1051
372,00	41,0787
372,50	41,0346
373,00	41,0305
373,50	41,0725
374,00	41,0405
374,50	41,0838
375,00	41,0144
375,50	41,0710
376,00	41,0488
376,50	41,0596
377,00	41,1000
377,50	41,1047
378,00	41,0387
378,50	41,0208
379,00	40,9878
379,50	40,9832
380,00	40,9441
380,50	40,9332
381,00	40,9307
381,50	40,8914
382,00	40,8980
382,50	40,9280
383,00	40,9445
383,50	40,9597
384,00	40,9516
384,50	40,9305
385,00	40,9517
385,50	40,9419
386,00	40,9561
386,50	40,9424
387,00	40,9413
387,50	40,9222
388,00	40,9116
388,50	40,9086
389,00	40,9447
389,50	40,9305
390,00	40,9324
390,50	40,9014
391,00	40,9086
391,50	40,9131
392,00	40,9008
392,50	40,8982
393,00	40,8747
393,50	40,8023
394,00	40,8014
394,50	40,7958
395,00	40,7875
395,50	40,7637
396,00	40,7309
396,50	40,7534
397,00	40,7522
397,50	40,7789
398,00	40,8280
398,50	40,7999
399,00	40,7744
399,50	40,7865
400,00	40,8124
400,50	40,8295
401,00	40,8185
401,50	40,8197
402,00	40,8099
402,50	40,8080
403,00	40,7981
403,50	40,8081
404,00	40,7802
404,50	40,7508
405,00	40,7331
405,50	40,7217
406,00	40,7274
406,50	40,7143
407,00	40,6977
407,50	40,7155
408,00	40,7049
408,50	40,7153
409,00	40,6959
409,50	40,6775
410,00	40,6943
410,50	40,6589
411,00	40,6463
411,50	40,6099
412,00	40,5876
412,50	40,5775
413,00	40,5576
413,50	40,5635
414,00	40,5715
414,50	40,5607
415,00	40,5917
415,50	40,6142
416,00	40,6149
416,50	40,6321
417,00	40,6359
417,50	40,6358
418,00	40,6281
418,50	40,4942
419,00	40,3932
419,50	40,2753
420,00	40,1588
420,50	40,0703
421,00	39,9616
421,50	39,8250
422,00	39,7268
422,50	39,6421
423,00	39,6422
423,50	39,6183
424,00	39,6312
424,50	39,6372
425,00	39,6364
425,50	39,6423
426,00	39,6436
426,50	39,6516
427,00	39,6524
427,50	39,6837
428,00	39,7089
428,50	39,6893
429,00	39,7118
429,50	39,6936
430,00	39,6915
430,50	39,7193
431,00	39,7236
431,50	39,7133
432,00	39,7206
432,50	39,7253
433,00	39,7289
433,50	39,7282
434,00	39,7600
434,50	39,7694
435,00	39,7716
435,50	39,7957
436,00	39,8126
436,50	39,8281
437,00	39,8303
437,50	39,8291
438,00	39,8158
438,50	39,8110
439,00	39,8030
439,50	39,8142
440,00	39,7770
440,50	39,8039
441,00	39,7979
441,50	39,7935
442,00	39,8055
442,50	39,8138
443,00	39,8367
443,50	39,8556
444,00	39,8569
444,50	39,8793
445,00	39,8743
445,50	39,8871
446,00	39,8878
446,50	39,9137
447,00	39,9290
447,50	39,9214
448,00	39,9351
448,50	39,9546
449,00	39,9540
449,50	39,9479
450,00	39,9482
450,50	39,9771
451,00	39,9676
451,50	39,9521
452,00	39,9711
452,50	39,9660
453,00	39,9619
453,50	39,9702
454,00	39,9921
454,50	39,9873
455,00	39,9839
455,50	39,9782
456,00	39,9747
456,50	39,9593
457,00	39,9422
457,50	39,9489
458,00	39,9546
458,50	39,9604
459,00	39,9552
459,50	39,9599
460,00	39,9626
460,50	39,9664
461,00	39,9758
461,50	39,9923
462,00	39,9783
462,50	39,9762
463,00	39,9441
463,50	39,9468
464,00	39,9270
464,50	39,9207
465,00	39,9450
465,50	39,9339
466,00	39,9263
466,50	39,9305
467,00	39,9012
467,50	39,9006
468,00	39,8930
468,50	39,8910
469,00	39,9008
469,50	39,8852
470,00	39,8910
470,50	39,8898
471,00	39,8851
471,50	39,9053
472,00	39,9044
472,50	39,9084
473,00	39,9090
473,50	39,8955
474,00	39,8717
474,50	39,8595
475,00	39,8547
475,50	39,8543
476,00	39,8579
476,50	39,8493
477,00	39,8519
477,50	39,8516
478,00	39,8586
478,50	39,8764
479,00	39,8776
479,50	39,8740
480,00	39,8773
480,50	39,8743
481,00	39,8809
481,50	39,8761
482,00	39,8800
482,50	39,8786
483,00	39,8812
483,50	39,8971
484,00	39,9194
484,50	39,9093
485,00	39,9119
485,50	39,9208
486,00	39,9329
486,50	39,9361
487,00	39,9435
487,50	39,9404
488,00	39,9415
488,50	39,9339
489,00	39,9520
489,50	39,9739
490,00	39,9683
490,50	39,9477
491,00	39,9514
491,50	39,9496
492,00	39,9667
492,50	39,9672
493,00	39,9556
493,50	39,9616
494,00	39,9566
494,50	39,9811
495,00	40,0067
495,50	40,0149
496,00	40,0139
496,50	39,9978
497,00	40,0336
497,50	40,0603
498,00	40,0571
498,50	40,0595
499,00	40,0584
499,50	40,0543
500,00	40,0590
500,50	40,0653
501,00	40,0890
501,50	40,0728
502,00	40,0539
502,50	40,0614
503,00	40,0853
503,50	40,0801
504,00	40,1038
504,50	40,0941
505,00	40,1177
505,50	40,1229
506,00	40,1092
506,50	40,1261
507,00	40,1270
507,50	40,1015
508,00	40,1121
508,50	40,1025
509,00	40,1148
509,50	40,0865
510,00	40,0771
510,50	40,0766
511,00	40,0859
511,50	40,0877
512,00	40,1050
512,50	40,1007
513,00	40,0999
513,50	40,0995
514,00	40,1183
514,50	40,1186
515,00	40,1433
515,50	40,1340
516,00	40,1360
516,50	40,1274
517,00	40,1200
517,50	40,1163
518,00	40,1234
518,50	40,1216
519,00	40,1294
519,50	40,0987
520,00	40,0901
520,50	40,0887
521,00	40,0910
521,50	40,1038
522,00	40,1004
522,50	40,1065
523,00	40,1045
523,50	40,0946
524,00	40,1021
524,50	40,1236
525,00	40,1539
525,50	40,1286
526,00	40,1117
526,50	40,1110
527,00	40,1006
527,50	40,0835
528,00	40,0949
528,50	40,0902
529,00	40,0477
529,50	39,9848
530,00	39,9864
530,50	39,9682
531,00	39,9244
531,50	39,8815
532,00	39,8633
532,50	39,8175
533,00	39,7924
533,50	39,7840
534,00	39,7743
534,50	39,7558
535,00	39,7662
535,50	39,7629
536,00	39,7648
536,50	39,7639
537,00	39,7837
537,50	39,7866
538,00	39,7888
538,50	39,8063
539,00	39,8146
539,50	39,8117
540,00	39,8342
540,50	39,8450
541,00	39,8506
541,50	39,8451
542,00	39,8557
542,50	39,8764
543,00	39,8731
543,50	39,8810
544,00	39,8887
544,50	39,8821
545,00	39,8637
545,50	39,8692
546,00	39,8761
546,50	39,8768
547,00	39,8737
547,50	39,8667
548,00	39,8691
548,50	39,8601
549,00	39,8602
549,50	39,8688
550,00	39,8737
550,50	39,8593
551,00	39,8676
551,50	39,8493
552,00	39,8729
552,50	39,8648
553,00	39,8591
553,50	39,8735
554,00	39,8744
554,50	39,8588
555,00	39,8627
555,50	39,8553
556,00	39,8527
556,50	39,8273
557,00	39,7967
557,50	39,7772
558,00	39,7656
558,50	39,7485
559,00	39,7658
559,50	39,7592
560,00	39,7478
560,50	39,7557
561,00	39,7467
561,50	39,7545
562,00	39,7612
562,50	39,7669
563,00	39,7755
563,50	39,7558
564,00	39,7491
564,50	39,7376
565,00	39,7164
565,50	39,7171
566,00	39,7152
566,50	39,7126
567,00	39,6962
567,50	39,6912
568,00	39,6953
568,50	39,6901
569,00	39,6876
569,50	39,6992
570,00	39,6925
570,50	39,6997
571,00	39,7058
571,50	39,6996
572,00	39,7220
572,50	39,7054
573,00	39,7134
573,50	39,7230
574,00	39,7117
574,50	39,7252
575,00	39,7323
575,50	39,7346
576,00	39,7497
576,50	39,7397
577,00	39,7592
577,50	39,7638
578,00	39,7637
578,50	39,7743
579,00	39,7862
579,50	39,7750
580,00	39,7603
580,50	39,7537
581,00	39,7474
581,50	39,7545
582,00	39,7593
582,50	39,7672
583,00	39,7730
583,50	39,7848
584,00	39,8306
584,50	39,8587
585,00	39,8747
585,50	39,8950
586,00	39,9062
586,50	39,9158
587,00	39,9376
587,50	39,9680
588,00	39,9579
588,50	39,9459
589,00	39,9617
589,50	39,9563
590,00	39,9608
590,50	39,9866
591,00	39,9877
591,50	39,9884
592,00	39,9940
592,50	39,9997
593,00	40,0007
593,50	39,9915
594,00	39,9934
594,50	40,0123
595,00	39,9902
595,50	39,9866
596,00	39,9745
596,50	39,9617
597,00	39,9589
597,50	39,9443
598,00	39,9539
598,50	39,9753
599,00	39,9662
599,50	39,9744
600,00	39,9929
