"pen_argset_A_back_corner1_junk - Storage 112642"
"Wavelength nm."	"R%"
185,00	255,0388
185,50	222,5751
186,00	188,0092
186,50	150,4999
187,00	119,2598
187,50	83,1963
188,00	72,0630
188,50	77,3357
189,00	77,6979
189,50	73,4745
190,00	72,7508
190,50	71,2618
191,00	73,4064
191,50	69,9345
192,00	70,6198
192,50	67,9692
193,00	66,7817
193,50	64,3236
194,00	65,0238
194,50	62,4579
195,00	62,3785
195,50	63,0418
196,00	61,5760
196,50	60,8919
197,00	61,3769
197,50	61,7494
198,00	62,4229
198,50	61,7055
199,00	61,6512
199,50	61,6244
200,00	60,8107
200,50	60,5168
201,00	60,4567
201,50	60,6214
202,00	59,9377
202,50	59,2468
203,00	59,2536
203,50	58,6192
204,00	58,3817
204,50	57,3705
205,00	57,2035
205,50	56,2547
206,00	55,2462
206,50	55,3574
207,00	55,3033
207,50	54,7426
208,00	54,5081
208,50	54,0313
209,00	53,6958
209,50	53,7236
210,00	54,1217
210,50	53,8702
211,00	53,0373
211,50	52,5811
212,00	52,3498
212,50	52,0508
213,00	51,8496
213,50	51,6951
214,00	51,0808
214,50	50,7522
215,00	50,4923
215,50	50,5313
216,00	50,1133
216,50	49,9584
217,00	49,6201
217,50	49,3299
218,00	48,9258
218,50	48,8179
219,00	48,5112
219,50	48,2396
220,00	47,9776
220,50	48,0757
221,00	47,7262
221,50	47,5577
222,00	47,4806
222,50	47,4183
223,00	47,3734
223,50	47,1025
224,00	46,8140
224,50	46,7023
225,00	46,4629
225,50	46,3377
226,00	46,2087
226,50	46,1721
227,00	46,1093
227,50	45,8793
228,00	45,8912
228,50	45,9149
229,00	45,7446
229,50	45,5489
230,00	45,5240
230,50	45,5264
231,00	45,4198
231,50	45,2921
232,00	45,1942
232,50	45,0595
233,00	45,0557
233,50	45,1178
234,00	45,1393
234,50	45,0745
235,00	45,0625
235,50	45,0268
236,00	45,1309
236,50	45,2858
237,00	45,4176
237,50	45,4099
238,00	45,3794
238,50	45,3886
239,00	45,4515
239,50	45,5005
240,00	45,4546
240,50	45,5080
241,00	45,4267
241,50	45,4508
242,00	45,4317
242,50	45,5557
243,00	45,6314
243,50	45,6513
244,00	45,7416
244,50	45,9160
245,00	45,7925
245,50	45,8037
246,00	45,8171
246,50	45,9144
247,00	45,9424
247,50	45,9185
248,00	45,9869
248,50	45,9485
249,00	45,8901
249,50	46,0008
250,00	46,1339
250,50	46,1984
251,00	46,1735
251,50	46,2062
252,00	46,2431
252,50	46,2492
253,00	46,3192
253,50	46,4714
254,00	46,4857
254,50	46,4992
255,00	46,4733
255,50	46,4936
256,00	46,4869
256,50	46,5095
257,00	46,4723
257,50	46,3922
258,00	46,3484
258,50	46,3199
259,00	46,2565
259,50	46,1799
260,00	46,2035
260,50	46,1162
261,00	46,0464
261,50	46,0192
262,00	46,0271
262,50	45,8206
263,00	45,8318
263,50	45,8532
264,00	45,8188
264,50	45,7381
265,00	45,6604
265,50	45,7091
266,00	45,7243
266,50	45,6764
267,00	45,7585
267,50	45,7459
268,00	45,6563
268,50	45,6292
269,00	45,6360
269,50	45,6446
270,00	45,5563
270,50	45,4452
271,00	45,3400
271,50	45,2895
272,00	45,2081
272,50	45,1442
273,00	45,1879
273,50	45,1251
274,00	45,0882
274,50	45,0570
275,00	45,0727
275,50	45,0956
276,00	45,0735
276,50	45,0748
277,00	45,0247
277,50	44,9739
278,00	44,9917
278,50	45,0301
279,00	44,9939
279,50	45,0036
280,00	45,0711
280,50	45,0550
281,00	44,9684
281,50	45,0015
282,00	44,9733
282,50	44,9498
283,00	44,8733
283,50	44,9196
284,00	45,0128
284,50	44,9352
285,00	45,0373
285,50	45,1202
286,00	45,1784
286,50	45,1541
287,00	45,1498
287,50	45,2381
