"pen_argset_A_back_corner1_02_wrinkled - Storage 113444"
"Wavelength nm."	"R%"
185,00	232,2227
185,50	209,1409
186,00	184,4779
186,50	156,3841
187,00	132,3889
187,50	106,9495
188,00	100,0351
188,50	105,7437
189,00	104,8345
189,50	88,6510
190,00	88,0543
190,50	87,5980
191,00	89,7989
191,50	89,1466
192,00	90,4283
192,50	89,4128
193,00	83,5749
193,50	80,6053
194,00	78,3273
194,50	76,7943
195,00	75,5281
195,50	76,7412
196,00	75,0463
196,50	73,2009
197,00	72,5579
197,50	73,8614
198,00	73,4476
198,50	73,8567
199,00	72,8735
199,50	72,9290
200,00	71,3122
200,50	71,1759
201,00	70,8968
201,50	70,4371
202,00	69,4360
202,50	69,1339
203,00	69,0807
203,50	68,2114
204,00	67,9186
204,50	67,4441
205,00	67,0868
205,50	66,5906
206,00	65,5013
206,50	65,5912
207,00	64,9253
207,50	64,2008
208,00	64,2522
208,50	63,5323
209,00	63,1071
209,50	62,7240
210,00	62,5046
210,50	62,2775
211,00	61,0678
211,50	60,7196
212,00	60,1715
212,50	59,5050
213,00	59,0969
213,50	58,5921
214,00	58,2616
214,50	57,5975
215,00	57,3355
215,50	57,3384
216,00	57,1597
216,50	56,9592
217,00	56,6191
217,50	56,4716
218,00	56,3062
218,50	55,8530
219,00	55,4748
219,50	55,0289
220,00	54,6631
220,50	54,3490
221,00	54,0553
221,50	53,8288
222,00	53,6581
222,50	53,3215
223,00	53,1761
223,50	52,8699
224,00	52,5918
224,50	52,4211
225,00	52,0322
225,50	51,7588
226,00	51,5757
226,50	51,2474
227,00	51,1792
227,50	50,9220
228,00	50,9269
228,50	50,8933
229,00	50,7371
229,50	50,7314
230,00	50,7608
230,50	50,9304
231,00	50,9648
231,50	50,6505
232,00	50,5333
232,50	50,4591
233,00	50,3634
233,50	50,2933
234,00	50,3408
234,50	50,2125
235,00	50,1391
235,50	50,1601
236,00	50,2880
236,50	50,4666
237,00	50,4003
237,50	50,4787
238,00	50,5254
238,50	50,3755
239,00	50,4019
239,50	50,3381
240,00	50,2387
240,50	50,3654
241,00	50,3172
241,50	50,4420
242,00	50,4184
242,50	50,5556
243,00	50,7394
243,50	50,7193
244,00	50,8372
244,50	50,9718
245,00	50,9338
245,50	50,9958
246,00	51,0667
246,50	51,1670
247,00	51,1680
247,50	51,1401
248,00	51,2603
248,50	51,2300
249,00	51,2206
249,50	51,2687
250,00	51,3692
