"pen_argset_A_BottomSurface_centre - Storage 115046"
"Wavelength nm."	"R%"
185,00	552,2928
185,50	469,9841
186,00	384,2337
186,50	297,1004
187,00	213,7406
187,50	128,7647
188,00	128,4088
188,50	129,5959
189,00	135,5489
189,50	133,6511
190,00	126,9440
190,50	126,1462
191,00	124,5503
191,50	119,6673
192,00	116,0915
192,50	110,9084
193,00	107,2407
193,50	101,3149
194,00	97,6164
194,50	97,8359
195,00	94,6480
195,50	96,4607
196,00	95,4348
196,50	94,9685
197,00	95,1618
197,50	94,6433
198,00	93,2358
198,50	94,0187
199,00	93,9458
199,50	93,9548
200,00	91,1424
200,50	90,2573
201,00	89,6427
201,50	89,9630
202,00	88,5521
202,50	87,4641
203,00	86,6670
203,50	84,9970
204,00	84,3874
204,50	83,7141
205,00	83,6591
205,50	82,0532
206,00	80,5800
206,50	80,9151
207,00	80,3416
207,50	79,0925
208,00	78,9003
208,50	77,9513
209,00	77,1756
209,50	76,2478
210,00	76,5913
210,50	75,9537
211,00	74,1403
211,50	72,7955
212,00	72,1811
212,50	71,2532
213,00	70,6262
213,50	69,9718
214,00	69,1538
214,50	67,9857
215,00	67,4958
215,50	66,9406
216,00	66,4839
216,50	65,9376
217,00	65,1307
217,50	64,5098
218,00	63,7037
218,50	62,8676
219,00	62,0953
219,50	61,3233
220,00	60,9343
220,50	60,6416
221,00	59,9418
221,50	59,4431
222,00	59,1742
222,50	58,7808
223,00	58,4904
223,50	58,2293
224,00	57,6762
224,50	57,2022
225,00	56,6107
225,50	56,2045
226,00	55,8175
226,50	55,2358
227,00	54,9158
227,50	54,5003
228,00	54,1424
228,50	53,9645
229,00	53,5983
229,50	53,3663
230,00	53,2052
230,50	53,0065
231,00	52,7160
231,50	52,3579
232,00	52,1734
232,50	51,8510
233,00	51,5567
233,50	51,2374
234,00	51,0083
234,50	50,7367
235,00	50,5931
235,50	50,5163
236,00	50,3791
236,50	50,3315
237,00	50,2461
237,50	50,0945
238,00	50,0425
238,50	49,8950
239,00	49,7681
239,50	49,6453
240,00	49,4910
240,50	49,4577
