"pen_argset_A_BottomSurface_corner1 - Storage 115307"
"Wavelength nm."	"R%"
185,00	242,1901
185,50	219,0431
186,00	196,7809
186,50	175,0363
187,00	154,3758
187,50	132,1722
188,00	133,5981
188,50	139,8727
189,00	126,2765
189,50	117,5577
190,00	121,1250
190,50	121,1452
191,00	120,9735
191,50	118,8535
192,00	118,9375
192,50	115,5258
193,00	111,2235
193,50	107,8344
194,00	104,5698
194,50	100,5656
195,00	98,7491
195,50	97,6157
196,00	96,2737
196,50	93,8684
197,00	94,1874
197,50	94,4750
198,00	94,3155
198,50	94,4329
199,00	93,5247
199,50	92,4096
200,00	91,2934
200,50	90,4072
201,00	90,2365
201,50	89,8100
202,00	88,6341
202,50	86,7234
203,00	86,1549
203,50	85,2798
204,00	84,9120
204,50	83,6123
205,00	82,9829
205,50	81,9421
206,00	80,8618
206,50	80,3641
207,00	79,7593
207,50	78,5669
208,00	78,2933
208,50	78,0329
209,00	77,4593
209,50	76,7696
210,00	76,2782
210,50	75,4462
211,00	74,0177
211,50	73,1805
212,00	72,6147
212,50	71,2793
213,00	70,0015
213,50	69,0546
214,00	68,2840
214,50	67,2513
215,00	66,7549
215,50	66,5988
216,00	66,1639
216,50	65,3464
217,00	64,7106
217,50	64,1873
218,00	63,6529
218,50	63,0132
219,00	62,4763
219,50	61,8974
220,00	61,0016
220,50	60,4286
221,00	59,9411
221,50	59,4988
222,00	59,0520
222,50	58,4581
223,00	58,2223
223,50	57,8799
224,00	57,3620
224,50	57,1429
225,00	56,5797
225,50	56,2121
226,00	55,6663
226,50	55,1881
227,00	54,7203
227,50	54,2476
228,00	53,8793
228,50	53,6356
229,00	53,2351
229,50	52,9436
230,00	52,6949
230,50	52,6125
231,00	52,4755
231,50	52,3687
232,00	51,9231
232,50	51,6088
233,00	51,4459
233,50	51,3045
234,00	51,1548
234,50	50,8283
235,00	50,6939
235,50	50,4838
236,00	50,3461
236,50	50,3785
237,00	50,2225
237,50	50,0695
238,00	49,9279
238,50	49,8283
239,00	49,8458
239,50	49,7082
240,00	49,5468
240,50	49,5057
241,00	49,3579
241,50	49,4510
242,00	49,3618
242,50	49,3404
243,00	49,2553
243,50	49,1713
244,00	49,2228
244,50	49,3172
245,00	49,0903
245,50	49,0505
246,00	48,9748
246,50	48,9469
247,00	48,9323
247,50	48,8876
248,00	48,8826
248,50	48,7643
249,00	48,7120
249,50	48,7934
250,00	48,9544
250,50	48,9649
251,00	48,9870
251,50	49,0727
252,00	49,1209
252,50	49,2028
253,00	49,3681
253,50	49,5814
254,00	49,6982
254,50	49,7475
255,00	49,8140
255,50	49,9437
256,00	49,9835
256,50	50,1301
257,00	50,1452
257,50	50,2329
258,00	50,2003
258,50	50,2942
259,00	50,3019
259,50	50,4250
260,00	50,4467
260,50	50,4941
261,00	50,5431
261,50	50,6472
262,00	50,6881
262,50	50,7242
263,00	50,7551
263,50	50,8093
264,00	50,7598
264,50	50,8197
265,00	50,8299
265,50	50,7867
266,00	50,8218
266,50	50,6593
267,00	50,6209
267,50	50,6093
268,00	50,5454
268,50	50,5204
269,00	50,4751
269,50	50,5359
270,00	50,4998
270,50	50,4169
271,00	50,4753
271,50	50,4636
272,00	50,3677
272,50	50,3480
273,00	50,4092
273,50	50,4062
274,00	50,3159
274,50	50,2563
275,00	50,2569
275,50	50,1907
276,00	50,1962
276,50	50,2137
277,00	50,1437
277,50	49,9998
278,00	49,8899
278,50	49,8562
279,00	49,8815
279,50	49,7976
280,00	49,7550
280,50	49,7492
281,00	49,7428
281,50	49,7311
282,00	49,6929
282,50	49,6902
283,00	49,5996
283,50	49,5681
284,00	49,7043
284,50	49,6480
285,00	49,5060
285,50	49,4569
286,00	49,4482
286,50	49,4316
287,00	49,3766
287,50	49,3746
288,00	49,4182
288,50	49,2253
289,00	49,2851
289,50	49,3009
290,00	49,2011
290,50	49,1659
291,00	49,1378
291,50	49,1438
292,00	49,1171
292,50	48,9636
293,00	49,0195
293,50	48,9562
294,00	48,9174
294,50	48,9413
295,00	48,9236
295,50	48,8574
296,00	48,7160
296,50	48,6883
297,00	48,6457
297,50	48,5422
298,00	48,5687
298,50	48,5511
299,00	48,5860
299,50	48,5432
300,00	48,6379
300,50	48,6936
301,00	48,6770
301,50	48,7590
302,00	48,7288
302,50	48,6945
303,00	48,7251
303,50	48,7343
304,00	48,7343
304,50	48,6917
305,00	48,7559
305,50	48,6449
306,00	48,5869
306,50	48,6252
307,00	48,6396
307,50	48,6417
308,00	48,6405
308,50	48,8110
309,00	49,0261
309,50	49,0747
310,00	49,3513
310,50	49,5051
311,00	49,6915
311,50	49,7776
312,00	49,8116
312,50	49,9072
313,00	49,8829
313,50	49,8740
314,00	50,0207
314,50	50,0409
315,00	50,0192
315,50	50,0302
316,00	50,0837
316,50	50,1506
317,00	50,1027
317,50	50,2192
318,00	50,1746
318,50	50,0702
319,00	50,0080
319,50	50,0726
320,00	49,9764
320,50	49,8798
321,00	49,8196
321,50	49,8106
322,00	49,7133
322,50	49,6580
323,00	49,6440
323,50	49,6545
324,00	49,5552
324,50	49,5019
325,00	49,6100
325,50	49,6179
326,00	49,6467
326,50	49,5757
327,00	49,5597
327,50	49,5004
328,00	49,3797
328,50	49,3576
329,00	49,3625
329,50	49,3142
330,00	49,3020
330,50	49,2150
331,00	49,2634
331,50	49,2252
332,00	49,2131
332,50	49,2699
333,00	49,2650
333,50	49,2274
334,00	49,1914
334,50	49,1782
335,00	49,2057
335,50	49,1422
336,00	49,1492
336,50	49,1813
337,00	49,1879
337,50	49,1502
338,00	49,1440
338,50	49,1432
339,00	49,2002
339,50	49,1541
340,00	49,1403
340,50	49,1280
341,00	49,0983
341,50	49,0273
342,00	49,0159
342,50	49,0239
343,00	48,8767
343,50	48,7509
344,00	48,7218
344,50	48,7389
345,00	48,7354
345,50	48,7879
346,00	48,7877
346,50	48,7574
347,00	48,7155
347,50	48,8135
348,00	48,7731
348,50	48,7557
349,00	48,6592
349,50	48,5863
350,00	48,4661
350,50	48,4101
351,00	48,4025
351,50	48,3719
352,00	48,3001
352,50	48,3123
353,00	48,2848
353,50	48,3373
354,00	48,3113
354,50	48,2891
355,00	48,2668
355,50	48,2346
356,00	48,1892
356,50	48,2108
357,00	48,1108
357,50	48,1361
358,00	48,0334
358,50	48,2112
359,00	48,3466
359,50	48,5612
360,00	48,7191
360,50	48,9520
361,00	49,0599
361,50	49,2954
362,00	49,4304
362,50	49,6021
363,00	49,6098
363,50	49,6024
364,00	49,5265
364,50	49,4994
365,00	49,4548
365,50	49,4336
366,00	49,3826
366,50	49,2834
367,00	49,3466
367,50	49,2963
368,00	49,2886
368,50	49,2872
369,00	49,2370
369,50	49,2347
370,00	49,1684
370,50	49,2001
371,00	49,2483
371,50	49,1585
372,00	49,1270
372,50	49,0662
373,00	49,0410
373,50	49,0785
374,00	49,0255
374,50	49,0355
375,00	48,9196
375,50	48,8661
376,00	48,7860
376,50	48,6740
377,00	48,6336
377,50	48,4833
378,00	48,3232
378,50	48,1482
379,00	47,9962
379,50	47,8442
380,00	47,6680
380,50	47,5130
381,00	47,3792
381,50	47,2180
382,00	47,1062
382,50	46,9559
383,00	46,8349
383,50	46,6743
384,00	46,5477
384,50	46,4257
385,00	46,2971
385,50	46,1782
386,00	46,0579
386,50	45,9617
387,00	45,8659
387,50	45,8193
388,00	45,7481
388,50	45,7407
389,00	45,6906
389,50	45,6763
390,00	45,6769
390,50	45,6462
391,00	45,5936
391,50	45,6136
392,00	45,5387
392,50	45,5628
393,00	45,4960
393,50	45,4247
394,00	45,4219
394,50	45,3612
395,00	45,3515
395,50	45,3643
396,00	45,3281
396,50	45,3647
397,00	45,3214
397,50	45,3718
398,00	45,3940
398,50	45,3190
399,00	45,2657
399,50	45,2238
400,00	45,1890
400,50	45,2019
401,00	45,1658
401,50	45,1895
402,00	45,1539
402,50	45,1551
403,00	45,1409
403,50	45,1966
404,00	45,1939
404,50	45,1962
405,00	45,1765
405,50	45,1701
406,00	45,1240
406,50	45,1084
407,00	45,1188
407,50	45,1549
408,00	45,1381
408,50	45,1442
409,00	45,1037
409,50	45,0432
410,00	45,0422
410,50	45,0202
411,00	44,9584
411,50	44,8962
412,00	44,8669
412,50	44,8543
413,00	44,8144
413,50	44,8212
414,00	44,8299
414,50	44,8125
415,00	44,8226
415,50	44,8671
416,00	44,8352
416,50	44,8340
417,00	44,7795
417,50	44,7907
418,00	44,7765
418,50	44,6540
419,00	44,5323
419,50	44,4285
420,00	44,2867
420,50	44,2289
421,00	44,1162
421,50	44,0465
422,00	43,9194
