"pen_argset_A_TopSurface_centre - Storage 114240"
"Wavelength nm."	"R%"
185,00	344,9082
185,50	302,4150
186,00	260,5895
186,50	216,1361
187,00	182,1546
187,50	140,2928
188,00	136,1409
188,50	126,9210
189,00	124,1012
189,50	111,5331
190,00	113,0085
190,50	115,0038
191,00	117,2116
191,50	109,8578
192,00	109,6356
192,50	107,1281
193,00	103,5504
193,50	98,6727
194,00	97,0447
194,50	96,7000
195,00	94,5462
195,50	95,8362
196,00	94,2743
196,50	94,0792
197,00	92,6819
197,50	94,4107
198,00	94,9036
198,50	95,2676
199,00	94,4055
199,50	93,3324
200,00	91,5295
200,50	91,7925
201,00	90,8845
201,50	92,2076
202,00	90,3154
202,50	89,1951
203,00	88,1846
203,50	86,5485
204,00	86,2606
204,50	85,4755
205,00	84,8205
205,50	84,1515
206,00	82,1073
206,50	81,9803
207,00	81,3614
207,50	80,7014
208,00	80,2163
208,50	79,1308
209,00	78,3169
209,50	77,1631
210,00	76,6855
210,50	76,0168
211,00	74,6146
211,50	73,4301
212,00	72,7222
212,50	71,8129
213,00	70,8980
213,50	70,3113
214,00	69,4512
214,50	68,2189
215,00	67,6725
215,50	67,1573
216,00	66,7073
216,50	66,3026
217,00	65,7043
217,50	65,2718
218,00	64,2497
218,50	63,5908
219,00	62,8349
219,50	62,0824
220,00	61,3442
220,50	60,8346
221,00	59,9096
221,50	59,5624
222,00	59,0812
222,50	58,6108
223,00	58,3441
223,50	58,1387
224,00	57,5636
224,50	57,2140
225,00	56,6615
225,50	56,2032
226,00	55,7495
226,50	55,3632
227,00	55,0936
227,50	54,6343
228,00	54,3156
228,50	54,0636
229,00	53,6056
229,50	53,2652
230,00	53,0861
230,50	52,8572
231,00	52,5840
231,50	52,3032
232,00	51,8994
232,50	51,7696
233,00	51,5668
233,50	51,3484
234,00	51,2615
234,50	51,0603
235,00	50,9535
235,50	50,7755
236,00	50,5782
236,50	50,6588
237,00	50,5130
237,50	50,3953
238,00	50,3422
238,50	50,1310
239,00	50,0711
239,50	49,8922
240,00	49,7449
240,50	49,6809
241,00	49,4822
241,50	49,3791
242,00	49,2593
242,50	49,2537
243,00	49,2224
243,50	49,2376
244,00	49,2329
244,50	49,1570
245,00	49,0946
245,50	48,9566
246,00	48,9742
246,50	49,0012
247,00	49,0435
247,50	48,9970
248,00	48,9704
248,50	48,8684
249,00	48,9103
249,50	49,0197
250,00	49,2033
250,50	49,1930
251,00	49,2664
251,50	49,2780
252,00	49,3843
252,50	49,4013
253,00	49,6049
253,50	49,7866
254,00	49,8702
254,50	49,9241
255,00	49,9909
255,50	49,9823
256,00	50,0334
256,50	50,0267
257,00	50,0891
257,50	50,1191
258,00	50,1596
258,50	50,1824
259,00	50,2423
259,50	50,3002
260,00	50,4025
260,50	50,4294
261,00	50,5177
261,50	50,6099
262,00	50,6589
262,50	50,5778
263,00	50,6915
263,50	50,6749
264,00	50,6480
264,50	50,6663
265,00	50,6838
265,50	50,7095
266,00	50,7309
266,50	50,5914
267,00	50,6372
267,50	50,5465
268,00	50,5132
268,50	50,5845
269,00	50,5045
269,50	50,5126
270,00	50,5176
270,50	50,4300
271,00	50,4330
271,50	50,4896
272,00	50,4701
272,50	50,4027
273,00	50,3110
273,50	50,3330
274,00	50,2930
274,50	50,2154
275,00	50,1857
275,50	50,1508
276,00	50,0751
276,50	50,0463
277,00	50,0979
277,50	50,0849
278,00	50,0536
278,50	50,0020
279,00	50,0461
279,50	49,9753
280,00	49,9834
280,50	49,9492
281,00	49,8814
281,50	49,8495
282,00	49,8696
282,50	49,8380
283,00	49,7470
283,50	49,5856
284,00	49,6239
284,50	49,5770
285,00	49,5374
285,50	49,6138
286,00	49,5455
286,50	49,4196
287,00	49,3252
287,50	49,3016
288,00	49,3417
288,50	49,2897
289,00	49,3614
289,50	49,3260
290,00	49,2266
290,50	49,1802
291,00	49,1650
291,50	49,1624
292,00	49,2155
292,50	49,1036
293,00	49,0346
293,50	48,9446
294,00	48,9064
294,50	48,8319
295,00	48,8436
295,50	48,8326
296,00	48,7773
296,50	48,6925
297,00	48,6492
297,50	48,6959
298,00	48,6260
298,50	48,5828
299,00	48,6633
299,50	48,5917
300,00	48,6463
300,50	48,6628
301,00	48,6651
301,50	48,8295
302,00	48,7863
302,50	48,9035
303,00	49,0161
303,50	48,9463
304,00	48,9491
304,50	48,8505
305,00	48,8974
305,50	48,8396
306,00	48,6575
306,50	48,7680
307,00	48,6572
307,50	48,5630
308,00	48,5674
308,50	48,7953
309,00	48,9827
309,50	49,0644
310,00	49,1999
310,50	49,3725
311,00	49,4071
311,50	49,5429
312,00	49,6146
312,50	49,7765
313,00	49,6979
313,50	49,6882
314,00	49,7564
314,50	49,7504
315,00	49,7214
315,50	49,6655
316,00	49,6532
316,50	49,6886
317,00	49,6646
317,50	49,7214
318,00	49,6440
318,50	49,6573
319,00	49,6806
319,50	49,7502
320,00	49,7241
320,50	49,6702
321,00	49,6161
321,50	49,5143
322,00	49,4923
322,50	49,5114
323,00	49,4384
323,50	49,5223
324,00	49,4621
324,50	49,5640
325,00	49,6084
325,50	49,6048
326,00	49,6572
326,50	49,6025
327,00	49,6380
327,50	49,5976
328,00	49,4721
328,50	49,4659
329,00	49,3492
329,50	49,3623
330,00	49,4056
330,50	49,3888
331,00	49,4038
331,50	49,3219
332,00	49,2923
332,50	49,3367
333,00	49,3863
333,50	49,3589
334,00	49,3169
334,50	49,3585
335,00	49,3426
335,50	49,2955
336,00	49,2649
336,50	49,2321
337,00	49,1591
337,50	49,0457
338,00	49,0710
338,50	49,0298
339,00	48,9399
339,50	48,8610
340,00	48,8685
340,50	48,9400
341,00	48,9339
341,50	48,9467
342,00	48,9789
342,50	48,9595
343,00	48,9927
343,50	49,0304
344,00	48,9954
344,50	48,9203
345,00	48,8334
345,50	48,8525
346,00	48,8067
346,50	48,7470
347,00	48,7243
347,50	48,6588
348,00	48,5688
348,50	48,5510
349,00	48,5081
349,50	48,4706
350,00	48,4022
350,50	48,3481
351,00	48,3295
351,50	48,2255
352,00	48,1809
352,50	48,1523
353,00	48,1655
353,50	48,1698
354,00	48,1406
354,50	48,1239
355,00	48,1421
355,50	48,0831
356,00	48,1066
356,50	48,0557
357,00	47,9946
357,50	47,9773
358,00	47,8926
358,50	48,0718
359,00	48,1703
359,50	48,3119
360,00	48,4897
360,50	48,6718
361,00	48,8095
361,50	49,0424
362,00	49,2418
362,50	49,4396
363,00	49,4296
363,50	49,4658
364,00	49,4251
364,50	49,4545
365,00	49,4696
365,50	49,4911
366,00	49,4325
366,50	49,3420
367,00	49,3830
