"pen_argset_A_TopSurface_corner1 - Storage 114602"
"Wavelength nm."	"R%"
185,00	182,9949
185,50	167,5311
186,00	156,1318
186,50	141,6107
187,00	135,9690
187,50	124,5665
188,00	116,4121
188,50	123,5629
189,00	120,9904
189,50	117,2690
190,00	122,2460
190,50	120,2582
191,00	122,1778
191,50	115,0855
192,00	114,8575
192,50	112,4192
193,00	109,2533
193,50	103,1682
194,00	101,9510
194,50	99,3657
195,00	99,5977
195,50	99,9079
196,00	98,6877
196,50	96,3608
197,00	96,5851
197,50	95,4612
198,00	95,8081
198,50	95,1272
199,00	94,2220
199,50	92,3131
200,00	90,4114
200,50	89,4635
201,00	88,9052
201,50	89,2534
202,00	88,6008
202,50	87,4903
203,00	87,1763
203,50	85,5777
204,00	84,9609
204,50	84,3255
205,00	83,9767
205,50	83,0103
206,00	81,0814
206,50	81,2144
207,00	80,7467
207,50	80,1645
208,00	79,9722
208,50	79,6297
209,00	78,2910
209,50	77,3045
210,00	76,9155
210,50	76,4733
211,00	74,5780
211,50	73,2779
212,00	72,3480
212,50	71,2518
213,00	70,2618
213,50	69,3803
214,00	68,6961
214,50	67,6096
215,00	66,9832
215,50	66,4826
216,00	66,1250
216,50	65,3820
217,00	64,7813
217,50	64,3774
218,00	64,0324
218,50	63,3858
219,00	62,7739
219,50	62,1319
220,00	61,6202
220,50	61,1380
221,00	60,6038
221,50	60,1588
222,00	59,7385
222,50	59,1236
223,00	58,7120
223,50	58,0937
224,00	57,5690
224,50	57,1640
225,00	56,6459
225,50	56,2574
226,00	55,9097
226,50	55,4787
227,00	55,1543
227,50	54,7750
228,00	54,6375
228,50	54,3324
229,00	53,9128
229,50	53,5314
230,00	53,2981
230,50	52,9981
231,00	52,6288
231,50	52,3453
232,00	51,9862
232,50	51,6545
233,00	51,3447
233,50	51,1299
234,00	51,1060
234,50	50,8300
235,00	50,6592
235,50	50,5004
236,00	50,3415
236,50	50,2487
237,00	50,0827
237,50	50,0127
238,00	50,0022
238,50	49,7934
239,00	49,6635
239,50	49,4932
240,00	49,3750
240,50	49,3573
241,00	49,2700
241,50	49,2941
242,00	49,2306
242,50	49,1510
243,00	49,1662
243,50	49,1881
244,00	49,2222
244,50	49,3026
245,00	49,1420
245,50	49,0912
246,00	48,9971
246,50	49,0080
247,00	48,9582
247,50	48,8070
248,00	48,8183
248,50	48,8005
249,00	48,7161
249,50	48,8263
250,00	48,9161
250,50	49,0447
251,00	49,0549
251,50	49,1844
252,00	49,3137
252,50	49,3328
253,00	49,4376
253,50	49,6575
254,00	49,7668
254,50	49,9282
255,00	49,9767
255,50	50,0395
256,00	50,0152
256,50	50,0677
