"pen_argset_A_back_corner1_01_pressed - Storage 113026"
"Wavelength nm."	"R%"
185,00	247,5045
185,50	224,2146
186,00	197,7650
186,50	175,6400
187,00	154,3392
187,50	130,8018
188,00	133,3699
188,50	128,9682
189,00	126,6152
189,50	117,0518
190,00	117,2243
190,50	119,6590
191,00	116,3207
191,50	112,9200
192,00	111,6269
192,50	109,1445
193,00	106,9304
193,50	102,5194
194,00	100,0721
194,50	98,3043
195,00	97,2840
195,50	98,4453
196,00	96,0985
196,50	95,2771
197,00	95,0255
197,50	95,7674
198,00	95,6687
198,50	94,8623
199,00	93,7666
199,50	92,0702
200,00	90,1311
200,50	90,5436
201,00	89,9521
201,50	89,7346
202,00	87,6384
202,50	86,7604
203,00	86,5017
203,50	85,3278
204,00	84,9531
204,50	84,1303
205,00	83,6582
205,50	81,8583
206,00	80,5591
206,50	81,0161
207,00	79,8689
207,50	79,4479
208,00	78,9299
208,50	77,8479
209,00	77,1950
209,50	76,6073
210,00	76,7111
210,50	75,8603
211,00	74,1375
211,50	73,4497
212,00	72,6618
212,50	71,5909
213,00	71,1275
213,50	69,9458
214,00	68,7888
214,50	67,8735
215,00	67,6087
215,50	67,0888
216,00	66,5389
216,50	65,8407
217,00	65,2555
217,50	64,4655
218,00	64,0582
218,50	63,3741
219,00	62,5864
219,50	61,6950
220,00	61,4417
220,50	60,9974
221,00	60,3403
221,50	59,7754
222,00	59,4381
222,50	58,9101
223,00	58,6710
223,50	58,3337
224,00	57,8027
224,50	57,3532
225,00	56,7027
225,50	56,3146
226,00	55,9747
226,50	55,4718
227,00	55,0942
227,50	54,5453
228,00	54,2404
228,50	54,0591
229,00	53,7466
229,50	53,4722
230,00	53,2782
230,50	53,2085
231,00	53,0554
231,50	52,7854
232,00	52,4826
232,50	52,2442
233,00	52,0004
233,50	51,6684
234,00	51,4537
234,50	51,1429
235,00	50,8724
235,50	50,7426
236,00	50,6182
236,50	50,6809
237,00	50,5752
237,50	50,3838
238,00	50,3350
238,50	50,1965
239,00	50,1282
239,50	50,0254
240,00	49,8378
240,50	49,8110
241,00	49,6251
241,50	49,6235
242,00	49,6320
242,50	49,5946
243,00	49,6296
243,50	49,5695
244,00	49,5567
244,50	49,5549
245,00	49,3891
245,50	49,3563
246,00	49,2454
246,50	49,2031
247,00	49,1538
247,50	49,1298
248,00	49,2649
248,50	49,1931
249,00	49,1395
249,50	49,1582
250,00	49,2717
250,50	49,2671
251,00	49,3567
251,50	49,4370
252,00	49,4662
252,50	49,4630
253,00	49,4492
253,50	49,6164
254,00	49,8158
254,50	49,9008
255,00	50,0158
255,50	49,9783
256,00	49,9952
256,50	50,0610
257,00	50,0782
257,50	50,1942
258,00	50,2018
258,50	50,1306
259,00	50,1628
259,50	50,1547
260,00	50,2191
260,50	50,2121
261,00	50,2256
261,50	50,2775
262,00	50,3317
262,50	50,3230
263,00	50,4580
263,50	50,4793
264,00	50,4933
264,50	50,5293
265,00	50,6074
265,50	50,6812
266,00	50,6684
266,50	50,6591
267,00	50,6695
267,50	50,5528
268,00	50,5158
268,50	50,4901
269,00	50,4789
269,50	50,4550
270,00	50,3957
270,50	50,4290
271,00	50,3750
271,50	50,4505
272,00	50,3844
272,50	50,3273
273,00	50,3619
273,50	50,2942
274,00	50,2699
274,50	50,2276
275,00	50,2054
275,50	50,2076
276,00	50,1500
276,50	50,1993
277,00	50,1274
277,50	50,0421
278,00	49,9926
278,50	49,9133
279,00	49,9093
279,50	49,8160
280,00	49,8383
280,50	49,7743
281,00	49,6747
281,50	49,6103
282,00	49,5927
282,50	49,6470
283,00	49,5595
283,50	49,4806
284,00	49,4828
284,50	49,4224
285,00	49,3502
285,50	49,3947
286,00	49,3791
286,50	49,2816
287,00	49,1387
287,50	49,1254
288,00	49,1655
288,50	49,1170
289,00	49,0334
289,50	49,1000
290,00	48,9743
290,50	48,9729
291,00	48,9746
291,50	49,0053
292,00	49,0757
292,50	48,9407
293,00	48,9428
293,50	49,0006
294,00	48,8441
294,50	48,8630
295,00	48,8476
295,50	48,8274
296,00	48,8047
296,50	48,6961
297,00	48,6468
297,50	48,5655
298,00	48,5132
298,50	48,5219
299,00	48,5591
299,50	48,5198
300,00	48,6146
300,50	48,5673
301,00	48,5596
301,50	48,6489
302,00	48,6620
302,50	48,6741
303,00	48,7506
303,50	48,6684
304,00	48,6724
304,50	48,6308
305,00	48,6959
305,50	48,7542
306,00	48,6646
306,50	48,6410
