"pen_argset_A_centre_back - Storage 111436"
"Wavelength nm."	"R%"
185,00	-320,0652
185,50	-222,2467
186,00	-128,8700
186,50	-38,9912
187,00	56,8554
187,50	153,3522
188,00	121,5723
188,50	123,7543
189,00	130,3048
189,50	126,0795
190,00	118,7732
190,50	117,5449
191,00	118,1151
191,50	112,2634
192,00	108,5152
192,50	105,0991
193,00	104,7070
193,50	99,3931
194,00	96,2134
194,50	97,7989
195,00	95,8751
195,50	97,1758
196,00	97,5741
196,50	95,0644
197,00	94,8295
197,50	94,7412
198,00	94,3567
198,50	94,5513
199,00	93,5811
199,50	93,5141
200,00	91,1648
200,50	90,3936
201,00	89,5400
201,50	90,2428
202,00	88,1733
202,50	87,5126
203,00	87,3338
203,50	85,2770
204,00	84,0055
204,50	83,1033
205,00	82,8470
205,50	81,9458
206,00	79,9947
206,50	80,7616
207,00	79,9580
207,50	79,0038
208,00	78,2568
208,50	77,3190
209,00	77,1345
209,50	75,9763
210,00	76,0378
210,50	75,5227
211,00	73,4266
211,50	72,5845
212,00	71,9566
212,50	71,2365
213,00	70,9721
213,50	70,2447
214,00	69,3732
214,50	68,2314
215,00	67,8277
215,50	67,6085
216,00	67,1386
216,50	66,6126
217,00	65,7315
217,50	65,0573
218,00	64,2617
218,50	63,5340
219,00	62,7854
219,50	62,2195
220,00	61,4900
220,50	61,0613
221,00	60,4319
221,50	60,1212
222,00	59,5670
222,50	59,1568
223,00	58,8926
223,50	58,4883
224,00	57,7458
224,50	57,3917
225,00	56,7479
225,50	56,1012
226,00	55,7231
226,50	55,2270
227,00	54,9675
227,50	54,6477
228,00	54,3284
228,50	53,9505
229,00	53,6091
229,50	53,3806
230,00	53,1851
230,50	52,9815
231,00	52,8299
231,50	52,4152
232,00	52,0831
232,50	51,7914
233,00	51,6612
233,50	51,5135
234,00	51,3671
234,50	51,2241
235,00	51,0404
235,50	50,8597
236,00	50,7502
236,50	50,6744
237,00	50,5844
237,50	50,3746
238,00	50,2062
238,50	50,0739
239,00	49,9537
239,50	49,7899
240,00	49,6070
240,50	49,5442
241,00	49,3767
241,50	49,4176
242,00	49,4444
242,50	49,4421
243,00	49,4904
243,50	49,5550
244,00	49,6674
244,50	49,6993
245,00	49,6290
245,50	49,6715
246,00	49,5563
246,50	49,5358
247,00	49,4867
247,50	49,3215
248,00	49,2922
248,50	49,1362
249,00	49,0771
249,50	49,0722
250,00	49,0808
250,50	49,1296
251,00	49,1189
251,50	49,1753
252,00	49,2531
252,50	49,2377
253,00	49,3535
253,50	49,5644
254,00	49,6483
254,50	49,6953
255,00	49,7567
255,50	49,8455
256,00	49,9248
256,50	49,9786
257,00	50,0315
257,50	50,1026
258,00	50,0871
258,50	50,1567
259,00	50,2479
259,50	50,2229
260,00	50,3387
260,50	50,3228
261,00	50,4253
261,50	50,5431
262,00	50,5963
262,50	50,5735
263,00	50,6866
263,50	50,6925
264,00	50,7059
264,50	50,7223
265,00	50,7673
265,50	50,7587
266,00	50,7075
266,50	50,6205
267,00	50,6071
267,50	50,4788
268,00	50,4431
268,50	50,4354
269,00	50,3409
269,50	50,3333
270,00	50,2620
270,50	50,2175
271,00	50,1419
271,50	50,1866
272,00	50,1026
272,50	50,0846
273,00	50,0763
273,50	50,0870
274,00	50,0246
274,50	50,0349
275,00	50,0509
275,50	50,1345
276,00	50,0388
276,50	50,1122
277,00	50,0329
277,50	50,0910
278,00	50,0393
278,50	49,9226
279,00	49,8126
279,50	49,7038
280,00	49,6368
280,50	49,6636
281,00	49,5756
281,50	49,5441
282,00	49,4604
282,50	49,4142
283,00	49,4886
283,50	49,5157
284,00	49,6275
284,50	49,5636
285,00	49,5699
285,50	49,5572
286,00	49,5720
286,50	49,4553
287,00	49,4215
287,50	49,3132
288,00	49,3066
288,50	49,2308
289,00	49,2088
289,50	49,1318
290,00	49,1142
290,50	49,0593
291,00	49,0626
291,50	49,0703
292,00	49,1424
292,50	49,0870
293,00	49,0214
293,50	49,0513
294,00	49,0014
294,50	48,9906
295,00	48,9742
295,50	48,9749
296,00	48,8965
296,50	48,8488
297,00	48,8202
297,50	48,7560
298,00	48,7070
298,50	48,6829
299,00	48,6671
299,50	48,6615
300,00	48,7636
300,50	48,7591
301,00	48,6747
301,50	48,6817
302,00	48,6477
302,50	48,6285
303,00	48,6685
303,50	48,6009
304,00	48,5679
304,50	48,4703
305,00	48,5009
305,50	48,5556
306,00	48,4699
306,50	48,5228
307,00	48,3643
307,50	48,3620
308,00	48,4029
308,50	48,6692
309,00	48,8081
309,50	48,8925
310,00	49,0125
310,50	49,2507
311,00	49,3904
311,50	49,6014
312,00	49,6381
312,50	49,7362
313,00	49,6578
313,50	49,6555
314,00	49,7430
314,50	49,7450
315,00	49,6938
315,50	49,7236
316,00	49,8814
316,50	49,9676
317,00	50,0467
317,50	50,0495
318,00	49,9767
318,50	49,8830
319,00	49,8674
319,50	49,9187
320,00	49,8468
320,50	49,7811
321,00	49,6970
321,50	49,6933
322,00	49,7633
322,50	49,7564
323,00	49,8136
323,50	49,7917
324,00	49,7069
324,50	49,7233
325,00	49,6913
325,50	49,7291
326,00	49,6314
326,50	49,4767
327,00	49,4738
327,50	49,3864
328,00	49,3700
328,50	49,4085
329,00	49,4004
329,50	49,4501
330,00	49,4171
330,50	49,3630
331,00	49,3959
331,50	49,3714
332,00	49,4011
332,50	49,4185
333,00	49,3871
333,50	49,2987
334,00	49,2652
334,50	49,1961
335,00	49,1887
335,50	49,1586
336,00	49,2102
336,50	49,1018
337,00	49,0070
337,50	48,9674
338,00	49,0523
338,50	49,0032
339,00	49,0859
339,50	49,0675
340,00	49,0373
340,50	48,9763
341,00	48,9956
341,50	49,0523
342,00	49,0583
342,50	48,9482
343,00	48,8762
343,50	48,8178
344,00	48,8539
344,50	48,8654
345,00	48,8761
345,50	48,8937
346,00	48,8352
346,50	48,7657
347,00	48,7486
347,50	48,7475
348,00	48,6943
348,50	48,6352
349,00	48,5348
349,50	48,4446
350,00	48,4135
350,50	48,4155
351,00	48,3547
351,50	48,3769
352,00	48,3481
352,50	48,3399
353,00	48,3426
