"pen_argset_A_front - Storage 104806"
"Wavelength nm."	"R%"
185,00	370,6142
185,50	315,5875
186,00	263,8387
186,50	208,3001
187,00	158,1824
187,50	107,1464
188,00	110,6400
188,50	114,1779
189,00	110,3795
189,50	109,9233
190,00	113,3084
190,50	113,2357
191,00	116,4900
191,50	113,8685
192,00	113,3630
192,50	110,0660
193,00	103,9014
193,50	103,8899
194,00	100,9533
194,50	100,1796
195,00	97,9034
195,50	97,2986
196,00	96,4041
196,50	93,9619
197,00	93,3970
197,50	93,9520
198,00	93,1309
198,50	93,3288
199,00	92,2382
199,50	91,1600
200,00	90,2494
200,50	89,5454
201,00	88,8925
201,50	89,4248
202,00	88,7499
202,50	87,8359
203,00	87,2001
203,50	85,9556
204,00	86,2071
204,50	85,1244
205,00	84,9320
205,50	83,9531
206,00	82,4718
206,50	82,3221
207,00	82,1295
207,50	81,5341
208,00	81,0339
208,50	80,0215
209,00	79,1071
209,50	77,9988
210,00	78,0087
210,50	77,2958
211,00	75,5014
211,50	74,3075
212,00	73,7283
212,50	72,7851
213,00	72,1597
213,50	71,4468
214,00	70,4897
214,50	69,3133
215,00	68,5698
215,50	67,9883
216,00	67,1572
216,50	66,5167
217,00	65,4177
217,50	64,8079
218,00	63,9800
218,50	63,2130
219,00	62,6463
219,50	62,1023
220,00	61,5605
220,50	61,4381
221,00	60,7175
221,50	60,3366
222,00	59,9570
222,50	59,6953
223,00	59,4297
223,50	59,0498
224,00	58,3149
224,50	57,6965
225,00	57,1401
225,50	56,6607
226,00	56,3115
226,50	55,8907
227,00	55,3538
227,50	54,7735
228,00	54,3510
228,50	54,1708
229,00	53,9793
229,50	53,5685
230,00	53,3436
230,50	53,1292
231,00	52,8319
231,50	52,5645
232,00	52,4007
232,50	52,0193
233,00	51,8257
233,50	51,5261
234,00	51,4046
234,50	51,1792
235,00	50,8879
235,50	50,6969
236,00	50,6287
236,50	50,4543
237,00	50,4455
237,50	50,3185
238,00	50,2173
238,50	50,0308
239,00	49,9114
239,50	49,8768
240,00	49,6825
240,50	49,5541
241,00	49,5049
241,50	49,4387
242,00	49,3507
242,50	49,3898
243,00	49,4065
243,50	49,3520
244,00	49,3167
244,50	49,3134
245,00	49,2303
245,50	49,1766
246,00	49,1680
246,50	49,1437
247,00	49,1365
247,50	49,0420
248,00	49,0579
248,50	49,0562
249,00	49,0086
249,50	49,0038
250,00	49,0535
250,50	49,0263
251,00	49,0363
251,50	49,0319
252,00	49,0778
252,50	49,0580
253,00	49,0799
253,50	49,2788
254,00	49,4167
254,50	49,5366
255,00	49,6010
255,50	49,6780
256,00	49,7492
256,50	49,8257
257,00	49,9408
257,50	50,0558
258,00	50,0566
258,50	50,0493
259,00	50,0824
259,50	50,1744
260,00	50,1406
260,50	50,0760
261,00	50,1172
261,50	50,1728
262,00	50,1965
262,50	50,1944
263,00	50,3460
263,50	50,3341
264,00	50,3343
264,50	50,3929
265,00	50,5276
265,50	50,5749
266,00	50,5935
266,50	50,5547
267,00	50,5550
267,50	50,4400
268,00	50,4460
268,50	50,4276
269,00	50,3741
269,50	50,3344
270,00	50,3172
270,50	50,2666
271,00	50,2682
271,50	50,2780
272,00	50,2066
272,50	50,1126
273,00	50,0492
273,50	50,1115
274,00	50,1262
274,50	50,1339
275,00	50,0409
275,50	49,9949
276,00	49,9574
276,50	50,0251
277,00	49,9750
277,50	49,9762
278,00	49,8936
278,50	49,8464
279,00	49,7266
279,50	49,7752
280,00	49,6957
280,50	49,6401
281,00	49,5694
281,50	49,5876
282,00	49,5130
282,50	49,4550
283,00	49,3701
283,50	49,3324
284,00	49,3308
284,50	49,2589
285,00	49,2428
285,50	49,2491
286,00	49,2097
286,50	49,1243
287,00	49,0917
287,50	49,0652
288,00	49,1175
288,50	49,0501
289,00	49,0385
289,50	49,0673
290,00	48,9983
290,50	48,9726
291,00	49,0173
291,50	48,9788
292,00	48,9742
292,50	48,8552
293,00	48,8646
293,50	48,9248
294,00	48,8247
294,50	48,8058
295,00	48,7174
295,50	48,6512
296,00	48,6074
296,50	48,5845
297,00	48,5244
297,50	48,4830
298,00	48,4479
298,50	48,4118
299,00	48,3991
299,50	48,4033
300,00	48,4460
300,50	48,4832
301,00	48,4321
301,50	48,5087
302,00	48,4546
302,50	48,4063
303,00	48,4430
303,50	48,3836
304,00	48,3263
304,50	48,3107
305,00	48,4455
305,50	48,4173
306,00	48,3802
306,50	48,4322
307,00	48,4242
307,50	48,3725
308,00	48,4372
308,50	48,7215
309,00	48,8918
309,50	48,9988
310,00	49,1583
310,50	49,2434
311,00	49,3419
311,50	49,4039
312,00	49,5823
312,50	49,6636
