"pen_argset_A_front_corner2 - Storage 105903"
"Wavelength nm."	"R%"
185,00	503,1118
185,50	429,7683
186,00	355,1767
186,50	280,1951
187,00	209,4019
187,50	138,1737
188,00	140,3004
188,50	139,2888
189,00	124,2869
189,50	113,3134
190,00	112,5161
190,50	113,5805
191,00	113,2817
191,50	108,4603
192,00	104,8688
192,50	101,7562
193,00	98,3851
193,50	94,2488
194,00	92,1708
194,50	91,2134
195,00	89,2303
195,50	89,6439
196,00	89,0876
196,50	87,4195
197,00	88,4155
197,50	87,5290
198,00	87,9230
198,50	87,4539
199,00	86,9062
199,50	85,6877
200,00	84,6516
200,50	83,9266
201,00	83,9667
201,50	83,1018
202,00	81,9091
202,50	81,4221
203,00	81,2939
203,50	80,3134
204,00	80,2192
204,50	79,7819
205,00	79,8087
205,50	78,7634
206,00	77,7501
206,50	77,8011
207,00	77,5685
207,50	77,2040
208,00	76,6241
208,50	75,8601
209,00	74,5776
209,50	73,9471
210,00	74,1056
210,50	73,4872
211,00	72,1565
211,50	70,6385
212,00	69,4844
212,50	68,5293
213,00	67,8821
213,50	67,3923
214,00	66,4383
214,50	65,3848
215,00	64,8914
215,50	64,4819
216,00	64,2963
216,50	63,8034
217,00	63,2042
217,50	62,8857
218,00	62,3746
218,50	61,8853
219,00	61,4289
219,50	60,7923
220,00	60,5306
220,50	59,9283
221,00	59,3897
221,50	59,0717
222,00	58,6520
222,50	58,2719
223,00	58,1353
223,50	57,6745
224,00	57,1517
224,50	56,7928
225,00	56,5047
225,50	56,0597
226,00	55,7112
226,50	55,3393
227,00	54,9441
227,50	54,4774
228,00	54,3819
228,50	54,2991
229,00	53,9834
229,50	53,7492
230,00	53,7476
230,50	53,6318
231,00	53,4127
231,50	53,2821
232,00	53,0970
232,50	52,8581
233,00	52,6124
233,50	52,3722
234,00	52,2403
234,50	51,9273
235,00	51,8442
235,50	51,7794
236,00	51,6625
236,50	51,6445
237,00	51,5586
237,50	51,5895
238,00	51,5730
238,50	51,5131
239,00	51,3837
239,50	51,2282
240,00	51,1052
240,50	51,0327
241,00	51,0996
241,50	51,1053
242,00	50,9783
242,50	51,0256
243,00	50,9845
243,50	51,1599
244,00	51,3375
244,50	51,3559
245,00	51,2536
245,50	51,1788
246,00	51,1991
246,50	51,2811
247,00	51,3007
247,50	51,2933
248,00	51,2251
248,50	51,1192
249,00	51,1355
249,50	51,2178
250,00	51,3957
250,50	51,3840
251,00	51,4082
251,50	51,4076
252,00	51,5133
252,50	51,5589
253,00	51,6937
253,50	51,8412
254,00	51,9351
254,50	51,8921
255,00	51,9079
255,50	51,9394
256,00	51,9702
256,50	51,9335
257,00	51,9570
257,50	51,8324
258,00	51,8161
258,50	51,7867
259,00	51,7319
259,50	51,7188
260,00	51,7327
260,50	51,7158
261,00	51,6760
261,50	51,6513
262,00	51,7438
262,50	51,6140
263,00	51,6528
263,50	51,6580
264,00	51,4954
264,50	51,4668
265,00	51,5022
265,50	51,4854
266,00	51,4709
266,50	51,3312
267,00	51,2784
267,50	51,1533
268,00	51,0876
268,50	51,1145
269,00	51,0868
269,50	50,9280
270,00	50,8540
270,50	50,7671
271,00	50,7662
271,50	50,8148
272,00	50,7615
272,50	50,6618
273,00	50,6613
273,50	50,5506
274,00	50,5527
274,50	50,5143
275,00	50,4931
275,50	50,3789
276,00	50,2346
276,50	50,2352
277,00	50,2241
277,50	50,2171
278,00	50,1404
278,50	50,1639
279,00	50,1628
279,50	50,1014
280,00	50,0695
280,50	50,0248
281,00	49,9987
281,50	49,9663
282,00	49,8851
282,50	49,9292
283,00	49,7557
283,50	49,7909
284,00	49,8749
284,50	49,9321
285,00	50,0426
285,50	50,0079
286,00	49,9756
286,50	50,0055
287,00	49,9315
287,50	49,9885
288,00	49,9478
288,50	49,8596
289,00	49,8709
289,50	49,8779
290,00	49,8891
290,50	49,9091
291,00	49,9159
291,50	49,9941
292,00	50,0106
292,50	49,9733
293,00	49,9442
293,50	49,8913
294,00	49,8574
294,50	49,8341
295,00	49,8688
295,50	49,8633
296,00	49,7515
296,50	49,7595
297,00	49,7033
297,50	49,7030
298,00	49,7244
298,50	49,6607
299,00	49,7074
299,50	49,7254
300,00	49,7680
300,50	49,7930
301,00	49,6906
301,50	49,8208
302,00	49,7735
302,50	49,7657
303,00	49,7710
303,50	49,7652
304,00	49,6929
304,50	49,6054
305,00	49,6317
305,50	49,6374
306,00	49,5255
306,50	49,5736
307,00	49,5085
307,50	49,5024
308,00	49,5126
308,50	49,6795
309,00	49,7909
309,50	49,9449
310,00	50,1268
310,50	50,3055
311,00	50,4434
311,50	50,5088
312,00	50,6302
312,50	50,6924
313,00	50,6106
313,50	50,6880
314,00	50,7329
314,50	50,6366
315,00	50,5335
315,50	50,4715
316,00	50,4880
316,50	50,4604
317,00	50,4284
317,50	50,4771
318,00	50,3981
318,50	50,2470
319,00	50,3040
319,50	50,2626
320,00	50,1914
320,50	50,2056
321,00	50,0690
321,50	50,0178
322,00	49,9156
322,50	49,8681
323,00	49,9581
323,50	49,8735
324,00	49,8795
324,50	49,8978
325,00	49,9164
325,50	49,9648
326,00	49,9748
326,50	49,9590
327,00	49,9819
327,50	49,8061
328,00	49,8310
328,50	49,8387
329,00	49,8289
329,50	49,8052
330,00	49,8303
330,50	49,7096
331,00	49,7406
331,50	49,7299
332,00	49,7697
332,50	49,7359
333,00	49,7941
333,50	49,8075
334,00	49,8591
334,50	49,8572
335,00	49,9501
335,50	49,9562
336,00	49,9326
336,50	49,8598
337,00	49,8845
337,50	49,7928
338,00	49,7438
338,50	49,6144
339,00	49,5335
339,50	49,4663
340,00	49,4114
340,50	49,4057
341,00	49,4903
341,50	49,3780
342,00	49,3357
342,50	49,3012
343,00	49,2821
343,50	49,2867
344,00	49,3365
344,50	49,3284
345,00	49,3462
345,50	49,3315
346,00	49,3815
346,50	49,3599
347,00	49,3684
347,50	49,3622
348,00	49,3079
348,50	49,2019
349,00	49,1966
349,50	49,0559
350,00	49,0293
350,50	49,0238
351,00	49,0131
351,50	48,9648
352,00	48,8988
352,50	48,9094
353,00	48,9607
353,50	48,9456
354,00	48,9700
354,50	48,9193
355,00	48,8694
355,50	48,8233
356,00	48,8301
356,50	48,8702
357,00	48,8258
357,50	48,8067
358,00	48,7136
358,50	48,8710
359,00	48,9980
359,50	49,2032
360,00	49,3766
360,50	49,5671
361,00	49,6602
361,50	49,8169
362,00	49,9258
362,50	50,1415
363,00	50,1582
363,50	50,1369
364,00	50,0691
364,50	50,1060
365,00	50,1093
365,50	50,1578
366,00	50,1483
366,50	50,1040
367,00	50,1091
367,50	50,0858
368,00	50,1129
368,50	50,1076
369,00	49,9835
369,50	49,9128
370,00	49,8896
370,50	49,9102
371,00	49,8889
371,50	49,8271
372,00	49,7850
372,50	49,7483
373,00	49,7398
373,50	49,7753
374,00	49,7091
374,50	49,6452
375,00	49,5705
375,50	49,5686
376,00	49,4948
376,50	49,4153
377,00	49,3476
377,50	49,1832
378,00	49,0745
378,50	48,9561
379,00	48,7958
379,50	48,6444
380,00	48,5150
380,50	48,3874
381,00	48,3140
381,50	48,1817
382,00	48,1178
382,50	48,0049
383,00	47,9229
383,50	47,8929
384,00	47,8415
384,50	47,7446
385,00	47,6711
385,50	47,5793
386,00	47,4721
386,50	47,4303
387,00	47,3717
387,50	47,3438
388,00	47,2774
388,50	47,2870
389,00	47,2767
389,50	47,2471
390,00	47,1986
390,50	47,2125
391,00	47,1864
391,50	47,2097
392,00	47,1932
392,50	47,2208
393,00	47,1603
393,50	47,1259
394,00	47,1579
394,50	47,1657
395,00	47,1592
395,50	47,1078
396,00	47,0362
396,50	47,0327
397,00	47,0082
397,50	47,0275
398,00	47,0503
398,50	47,0017
399,00	46,9656
399,50	46,9810
400,00	47,0318
400,50	47,0709
401,00	47,0529
