"pen_argset_A_front_corner3_02 - Storage 110816"
"Wavelength nm."	"R%"
185,00	-6758,0552
185,50	-5382,0479
186,00	-4002,7329
186,50	-2625,8884
187,00	-1239,9449
187,50	141,8276
188,00	143,2669
188,50	136,8325
189,00	129,4640
189,50	115,4824
190,00	117,1709
190,50	117,3913
191,00	117,5042
191,50	110,1821
192,00	108,4782
192,50	107,2177
193,00	106,3824
193,50	104,5109
194,00	103,6507
194,50	103,6310
195,00	101,3439
195,50	103,0036
196,00	100,9165
196,50	96,9216
197,00	97,6260
197,50	97,2242
198,00	97,3318
198,50	96,6059
199,00	96,2310
199,50	94,9573
200,00	93,7715
200,50	93,6556
201,00	94,1303
201,50	93,5952
202,00	91,5317
202,50	90,4294
203,00	89,7292
203,50	87,9041
204,00	87,9441
204,50	86,0300
205,00	85,3935
205,50	83,4590
206,00	81,4704
206,50	81,8944
207,00	81,0735
207,50	80,6386
208,00	80,3308
208,50	79,2239
209,00	78,6867
209,50	77,8549
210,00	77,9761
210,50	77,2186
211,00	75,3826
211,50	74,4755
212,00	73,5641
212,50	72,5098
213,00	71,7282
213,50	70,7783
214,00	69,7419
214,50	68,9636
215,00	68,9001
215,50	68,2049
216,00	67,4879
216,50	66,9783
217,00	66,2984
217,50	65,7972
218,00	65,1333
218,50	64,4875
219,00	63,7907
219,50	63,0009
220,00	62,4905
220,50	62,0802
221,00	61,4516
221,50	60,9791
222,00	60,2766
222,50	59,9003
223,00	59,5974
223,50	59,0886
224,00	58,3403
224,50	58,0016
225,00	57,4497
225,50	56,9113
226,00	56,4687
226,50	56,1404
227,00	55,7012
227,50	55,2813
228,00	54,9883
228,50	54,7548
229,00	54,2854
229,50	53,9696
230,00	53,8686
230,50	53,7594
231,00	53,5278
231,50	53,2592
232,00	52,9979
232,50	52,7776
233,00	52,5586
233,50	52,2657
234,00	51,9764
234,50	51,5903
235,00	51,4144
235,50	51,2250
236,00	51,0774
236,50	50,8814
237,00	50,7463
237,50	50,5933
238,00	50,5011
238,50	50,5058
239,00	50,4839
239,50	50,4002
240,00	50,3305
240,50	50,2634
241,00	50,1725
241,50	50,2036
242,00	50,1817
242,50	50,2322
243,00	50,1592
243,50	50,0977
244,00	50,0162
244,50	49,9654
245,00	49,8887
245,50	49,8697
246,00	49,7452
246,50	49,7768
247,00	49,7554
247,50	49,7057
248,00	49,7570
248,50	49,6756
249,00	49,5800
249,50	49,6417
250,00	49,7428
250,50	49,7374
251,00	49,7402
251,50	49,7085
252,00	49,7453
252,50	49,7567
253,00	49,8978
253,50	50,0767
254,00	50,1223
254,50	50,1997
255,00	50,3296
255,50	50,3679
256,00	50,4636
256,50	50,5717
257,00	50,6208
257,50	50,6109
258,00	50,6535
258,50	50,6470
259,00	50,7127
259,50	50,7500
260,00	50,8659
260,50	50,8510
261,00	50,8373
261,50	50,8847
262,00	50,9688
262,50	50,9516
263,00	51,1230
263,50	51,1186
264,00	51,1415
264,50	51,1245
265,00	51,1947
265,50	51,1960
266,00	51,2105
266,50	51,0837
267,00	51,0316
267,50	50,8843
268,00	50,7652
268,50	50,7232
269,00	50,6274
269,50	50,5490
270,00	50,5443
270,50	50,4569
271,00	50,4997
271,50	50,5580
272,00	50,6356
272,50	50,6836
273,00	50,6657
273,50	50,6934
274,00	50,7357
274,50	50,6842
275,00	50,6858
275,50	50,6426
276,00	50,5912
276,50	50,5107
277,00	50,4073
277,50	50,2975
278,00	50,3257
278,50	50,2803
279,00	50,2580
279,50	50,2501
280,00	50,1845
280,50	50,1849
281,00	50,0968
281,50	50,0741
282,00	50,0514
282,50	49,9608
283,00	49,8863
283,50	49,8689
284,00	49,8657
284,50	49,8681
285,00	49,7364
285,50	49,7499
286,00	49,7025
286,50	49,6540
287,00	49,5180
287,50	49,4951
288,00	49,4595
288,50	49,3764
289,00	49,3187
289,50	49,3603
290,00	49,3158
290,50	49,2669
291,00	49,2385
291,50	49,2382
292,00	49,2182
292,50	49,1822
293,00	49,1542
293,50	49,1850
294,00	49,1870
294,50	49,1495
295,00	49,1834
295,50	49,1243
296,00	49,1536
296,50	49,1303
297,00	49,0534
297,50	48,9824
298,00	48,9696
298,50	48,8587
299,00	48,8845
299,50	48,8525
300,00	48,9664
300,50	48,8901
301,00	48,8614
301,50	48,8827
302,00	48,9426
302,50	48,9656
303,00	49,0230
303,50	48,9669
304,00	48,9382
304,50	48,8094
305,00	48,9402
305,50	48,9155
306,00	48,8635
306,50	48,8642
307,00	48,8234
307,50	48,7415
308,00	48,7579
308,50	48,9728
309,00	49,2548
309,50	49,2828
310,00	49,4070
310,50	49,5525
311,00	49,7438
311,50	49,8361
312,00	50,0323
312,50	50,1367
313,00	50,0609
313,50	49,9933
314,00	50,0862
314,50	50,0141
315,00	50,0628
315,50	49,9419
316,00	49,9796
316,50	49,9575
317,00	50,0253
317,50	50,0324
318,00	50,0475
318,50	49,9205
319,00	50,0340
319,50	50,0122
320,00	49,9441
320,50	49,8813
321,00	49,8862
321,50	49,7933
322,00	49,8733
322,50	49,7857
323,00	49,8354
323,50	49,8176
324,00	49,7904
324,50	49,8710
325,00	49,9283
325,50	49,8909
326,00	49,9275
326,50	49,7837
327,00	49,8004
327,50	49,7468
328,00	49,6888
328,50	49,7757
329,00	49,7202
329,50	49,6313
330,00	49,6564
330,50	49,5308
331,00	49,6202
331,50	49,5344
332,00	49,5339
332,50	49,5543
333,00	49,5077
333,50	49,5084
334,00	49,5626
334,50	49,5068
335,00	49,5949
335,50	49,5120
336,00	49,5597
336,50	49,5149
337,00	49,5007
337,50	49,4566
338,00	49,4540
338,50	49,4288
339,00	49,4292
339,50	49,3534
340,00	49,2864
340,50	49,3399
341,00	49,3565
341,50	49,2973
342,00	49,2287
342,50	49,1862
343,00	49,0987
343,50	49,0539
344,00	48,9830
344,50	48,9853
345,00	48,9096
345,50	48,8969
346,00	48,8639
346,50	48,8152
347,00	48,7606
347,50	48,7770
348,00	48,6895
348,50	48,7311
349,00	48,6793
349,50	48,6142
350,00	48,5725
350,50	48,5770
351,00	48,5193
351,50	48,5123
352,00	48,4534
352,50	48,4827
353,00	48,4543
353,50	48,4766
354,00	48,4485
354,50	48,4103
355,00	48,3508
355,50	48,3429
356,00	48,2864
356,50	48,2930
357,00	48,2574
357,50	48,2351
358,00	48,1577
358,50	48,3418
359,00	48,4437
359,50	48,5923
360,00	48,7208
360,50	48,8723
361,00	48,9813
361,50	49,1334
362,00	49,2912
362,50	49,4958
363,00	49,5083
363,50	49,5281
364,00	49,4822
364,50	49,5073
365,00	49,4991
365,50	49,5443
366,00	49,5286
366,50	49,4564
367,00	49,4484
367,50	49,3988
368,00	49,4066
368,50	49,3917
369,00	49,3936
369,50	49,4295
370,00	49,3106
370,50	49,3379
371,00	49,3622
371,50	49,3360
372,00	49,3307
372,50	49,2461
373,00	49,2623
373,50	49,2002
374,00	49,1306
374,50	49,1195
375,00	48,9832
375,50	48,9214
376,00	48,8013
376,50	48,7074
377,00	48,7095
377,50	48,5556
378,00	48,4389
378,50	48,2633
379,00	48,0972
379,50	47,9458
380,00	47,8372
380,50	47,7136
381,00	47,5767
381,50	47,3694
382,00	47,2196
382,50	47,0426
383,00	46,9311
383,50	46,8353
384,00	46,7113
384,50	46,5354
385,00	46,4421
385,50	46,3165
386,00	46,2423
386,50	46,1902
387,00	46,1801
387,50	46,1507
388,00	46,0677
388,50	46,0505
389,00	46,0198
