"pen_argset_B_back_corner4_gentlePress - Storage 130327"
"Wavelength nm."	"R%"
185,00	158,7016
185,50	152,0635
186,00	147,6254
186,50	137,3091
187,00	131,9111
187,50	131,6826
188,00	136,3331
188,50	142,0460
189,00	129,3053
189,50	118,9920
190,00	120,7415
190,50	117,8233
191,00	121,0309
191,50	118,8165
192,00	111,5104
192,50	107,5296
193,00	104,5208
193,50	101,1805
194,00	99,1729
194,50	97,7913
195,00	96,2220
195,50	96,8793
196,00	95,3407
196,50	95,3475
197,00	94,1666
197,50	93,7741
198,00	94,3776
198,50	94,3467
199,00	92,2716
199,50	91,7757
200,00	90,2394
200,50	90,3177
201,00	89,5131
201,50	90,4360
202,00	88,3047
202,50	87,4494
203,00	86,8142
203,50	85,7140
204,00	85,6828
204,50	84,6070
205,00	84,2574
205,50	82,9465
206,00	80,9937
206,50	81,3888
207,00	80,6295
207,50	79,8784
208,00	79,2180
208,50	78,5352
209,00	77,4572
209,50	76,7341
210,00	76,6635
210,50	76,0184
211,00	74,3075
211,50	73,4305
212,00	72,4509
212,50	71,6590
213,00	70,9446
213,50	70,0316
214,00	69,2164
214,50	67,8714
215,00	67,2879
215,50	66,9195
216,00	66,1627
216,50	65,8009
217,00	65,2672
217,50	64,6247
218,00	64,1632
218,50	63,4700
219,00	62,9420
219,50	62,3176
220,00	61,8128
220,50	61,3723
221,00	60,7679
221,50	60,2978
222,00	60,0049
222,50	59,5159
223,00	59,2155
223,50	58,6992
224,00	58,1586
224,50	57,7048
225,00	57,2006
225,50	56,6034
226,00	56,1367
226,50	55,5773
227,00	55,2922
227,50	54,8692
228,00	54,5620
228,50	54,3174
229,00	54,0709
229,50	53,7347
230,00	53,5292
230,50	53,4151
231,00	53,1377
231,50	52,7846
232,00	52,4005
232,50	52,1335
233,00	51,9661
233,50	51,6343
234,00	51,4108
234,50	51,1161
235,00	50,8271
235,50	50,6858
236,00	50,5328
236,50	50,4629
237,00	50,3010
237,50	50,0631
238,00	49,9560
238,50	49,8409
239,00	49,7922
239,50	49,6867
240,00	49,5102
240,50	49,4157
241,00	49,3012
241,50	49,2633
242,00	49,1512
242,50	49,1523
243,00	49,1450
243,50	49,1292
244,00	49,1061
244,50	49,1154
245,00	48,9745
245,50	48,8825
246,00	48,8175
246,50	48,8490
247,00	48,8268
247,50	48,8105
248,00	48,8912
248,50	48,8741
249,00	48,8117
249,50	48,8829
250,00	49,0758
250,50	49,1551
251,00	49,1950
251,50	49,2415
252,00	49,3159
252,50	49,2415
253,00	49,3451
253,50	49,5426
254,00	49,6394
254,50	49,7243
255,00	49,6995
255,50	49,7358
256,00	49,7784
256,50	49,8288
257,00	49,9392
257,50	50,0290
258,00	50,0656
258,50	50,0965
259,00	50,1524
259,50	50,2129
260,00	50,2636
260,50	50,3293
261,00	50,3325
261,50	50,4095
262,00	50,4209
262,50	50,3500
263,00	50,4175
263,50	50,4280
264,00	50,4613
264,50	50,5297
265,00	50,5033
265,50	50,5492
266,00	50,5509
266,50	50,4561
267,00	50,5308
267,50	50,5653
268,00	50,5220
268,50	50,5231
269,00	50,3855
269,50	50,4381
270,00	50,4226
270,50	50,3662
271,00	50,4223
271,50	50,4375
272,00	50,3408
272,50	50,3022
273,00	50,3354
273,50	50,4359
274,00	50,3714
274,50	50,3336
275,00	50,3633
275,50	50,2636
276,00	50,1758
276,50	50,1812
277,00	50,0752
277,50	50,0552
278,00	49,9684
278,50	49,9030
279,00	49,8710
279,50	49,7461
280,00	49,7213
280,50	49,7187
281,00	49,6232
281,50	49,5837
282,00	49,5283
282,50	49,5353
283,00	49,4362
283,50	49,3598
284,00	49,3900
284,50	49,3229
285,00	49,2952
285,50	49,3323
286,00	49,3697
286,50	49,2467
287,00	49,1137
287,50	49,1452
288,00	49,1739
288,50	49,0392
289,00	49,0968
289,50	49,1532
290,00	49,0651
290,50	48,9690
291,00	48,9412
291,50	48,9450
292,00	48,9311
292,50	48,8097
293,00	48,8688
293,50	48,7664
294,00	48,6630
294,50	48,6824
295,00	48,6977
295,50	48,7219
296,00	48,6777
296,50	48,7007
297,00	48,7597
297,50	48,6441
298,00	48,7175
298,50	48,6708
299,00	48,6736
299,50	48,6525
300,00	48,6891
300,50	48,7806
301,00	48,7063
301,50	48,6874
302,00	48,7247
302,50	48,6965
303,00	48,6967
303,50	48,6870
304,00	48,6988
304,50	48,5543
305,00	48,5591
305,50	48,4545
306,00	48,3214
306,50	48,3540
307,00	48,3565
307,50	48,3711
308,00	48,3940
308,50	48,5537
309,00	48,8070
309,50	48,9217
310,00	49,2068
310,50	49,3924
311,00	49,6098
311,50	49,6816
312,00	49,7194
312,50	49,8435
313,00	49,7426
313,50	49,6699
314,00	49,6615
314,50	49,6451
315,00	49,7100
315,50	49,5797
316,00	49,6282
316,50	49,6872
317,00	49,6324
317,50	49,6847
318,00	49,7422
318,50	49,7106
319,00	49,7246
319,50	49,7430
320,00	49,7598
320,50	49,7708
321,00	49,6830
321,50	49,6586
322,00	49,6573
322,50	49,6365
323,00	49,6590
323,50	49,5687
324,00	49,5345
324,50	49,5893
325,00	49,5293
325,50	49,5952
326,00	49,5818
326,50	49,6083
327,00	49,5754
327,50	49,4731
328,00	49,4543
328,50	49,4270
329,00	49,3184
329,50	49,3054
330,00	49,3288
330,50	49,2819
331,00	49,2113
331,50	49,1983
332,00	49,1951
332,50	49,1860
333,00	49,2316
333,50	49,2308
334,00	49,2741
334,50	49,1513
335,00	49,2314
335,50	49,2036
336,00	49,1829
336,50	49,1233
337,00	49,0711
337,50	48,9596
338,00	48,9860
338,50	48,9196
339,00	48,9918
339,50	48,8592
340,00	48,8441
340,50	48,8012
341,00	48,8547
341,50	48,8900
342,00	48,8466
342,50	48,7342
343,00	48,6176
343,50	48,5398
344,00	48,5832
