"pen_argset_B_back_spot2 - Storage 125738"
"Wavelength nm."	"R%"
185,00	282,4796
185,50	252,8377
186,00	225,0605
186,50	189,5091
187,00	159,0434
187,50	129,9413
188,00	130,3063
188,50	132,5100
189,00	127,5409
189,50	119,9914
190,00	116,8572
190,50	114,3613
191,00	117,6789
191,50	116,6406
192,00	113,9381
192,50	106,9638
193,00	104,4989
193,50	100,7849
194,00	98,2451
194,50	98,6650
195,00	96,5292
195,50	96,6160
196,00	95,0173
196,50	93,9398
197,00	92,8797
197,50	92,4374
198,00	91,8478
198,50	91,3851
199,00	91,1622
199,50	89,9536
200,00	89,3003
200,50	89,1057
201,00	88,5856
201,50	89,3008
202,00	88,0262
202,50	87,4173
203,00	87,4606
203,50	85,6462
204,00	84,9997
204,50	84,1130
205,00	83,3632
205,50	82,2257
206,00	80,7648
206,50	80,8882
207,00	80,0631
207,50	79,0197
208,00	78,9658
208,50	78,0031
209,00	76,8191
209,50	75,7823
210,00	75,6711
210,50	74,8427
211,00	73,4269
211,50	72,6002
212,00	71,6379
212,50	70,4297
213,00	70,1186
213,50	69,4058
214,00	68,6561
214,50	67,3242
215,00	66,8674
215,50	66,2220
216,00	65,6499
216,50	65,1789
217,00	64,3896
217,50	63,5149
218,00	62,7578
218,50	62,2367
219,00	61,6656
219,50	60,9743
220,00	60,4460
220,50	60,2928
221,00	59,6573
221,50	59,2620
222,00	59,0419
222,50	58,5746
223,00	58,1890
223,50	57,7751
224,00	57,2694
224,50	56,8318
225,00	56,1957
225,50	55,7628
226,00	55,3522
226,50	54,7768
227,00	54,3937
227,50	53,9436
228,00	53,7524
228,50	53,5051
229,00	53,1699
229,50	52,8693
230,00	52,6700
230,50	52,6095
231,00	52,3213
231,50	52,1532
232,00	51,8202
232,50	51,5696
233,00	51,4062
233,50	51,2185
234,00	51,0019
234,50	50,7519
235,00	50,5551
235,50	50,5597
236,00	50,3083
236,50	50,2818
237,00	50,0379
237,50	49,7988
238,00	49,6155
238,50	49,4317
239,00	49,3482
239,50	49,2252
240,00	49,0296
240,50	49,0549
241,00	48,9244
241,50	48,9264
242,00	48,9568
242,50	49,0235
243,00	49,0389
243,50	49,0437
244,00	49,0464
244,50	49,0500
245,00	48,8618
245,50	48,8499
246,00	48,8518
246,50	48,7877
247,00	48,7864
247,50	48,7020
248,00	48,6801
248,50	48,5671
249,00	48,5321
249,50	48,5564
250,00	48,6529
250,50	48,7476
251,00	48,8002
251,50	48,8552
252,00	49,0250
252,50	49,0440
253,00	49,2205
253,50	49,3774
254,00	49,5773
254,50	49,6327
255,00	49,6519
255,50	49,6943
256,00	49,6939
256,50	49,7406
257,00	49,8115
257,50	49,8503
258,00	49,8374
258,50	49,8067
259,00	49,8119
259,50	49,8143
260,00	49,9333
260,50	50,0337
261,00	50,0819
261,50	50,1247
262,00	50,1930
262,50	50,1618
263,00	50,3190
263,50	50,3603
264,00	50,3908
264,50	50,3652
265,00	50,2993
265,50	50,2887
266,00	50,2781
266,50	50,2601
267,00	50,3744
267,50	50,2413
268,00	50,2041
268,50	50,2066
269,00	50,2345
269,50	50,2552
270,00	50,2944
270,50	50,3090
271,00	50,2254
271,50	50,1634
272,00	50,2107
272,50	50,2192
273,00	50,2000
273,50	50,1162
274,00	50,1135
274,50	50,0796
275,00	50,0424
275,50	50,0422
276,00	50,0389
276,50	49,9911
277,00	49,8764
277,50	49,8917
278,00	49,8256
278,50	49,8128
279,00	49,7187
279,50	49,6658
280,00	49,6562
280,50	49,6226
281,00	49,6070
281,50	49,6273
282,00	49,5013
282,50	49,4461
283,00	49,2912
283,50	49,2965
284,00	49,3536
284,50	49,2811
285,00	49,1772
285,50	49,0765
286,00	49,0325
286,50	48,9811
287,00	48,9743
287,50	48,9920
288,00	48,9629
288,50	48,8718
289,00	48,8003
289,50	48,8515
290,00	48,8045
290,50	48,7054
291,00	48,6937
291,50	48,6708
292,00	48,7010
292,50	48,6361
293,00	48,5448
293,50	48,5909
294,00	48,6202
294,50	48,6135
295,00	48,6648
295,50	48,6567
296,00	48,5922
296,50	48,5306
297,00	48,4756
297,50	48,4974
298,00	48,4444
298,50	48,3315
299,00	48,4024
299,50	48,3828
300,00	48,4007
300,50	48,3894
301,00	48,3555
301,50	48,4361
302,00	48,4080
302,50	48,3491
303,00	48,3274
303,50	48,2075
304,00	48,1926
304,50	48,2112
305,00	48,2975
305,50	48,2869
306,00	48,2242
306,50	48,1706
307,00	48,2130
307,50	48,2187
308,00	48,3399
308,50	48,5127
309,00	48,6604
309,50	48,7238
310,00	48,8130
310,50	48,9936
311,00	49,2452
311,50	49,3652
312,00	49,5132
312,50	49,6075
313,00	49,5642
313,50	49,5626
314,00	49,5406
314,50	49,6378
315,00	49,4852
315,50	49,4725
316,00	49,4486
316,50	49,4485
317,00	49,4202
317,50	49,5174
318,00	49,4010
318,50	49,4266
319,00	49,3952
319,50	49,5140
320,00	49,4301
320,50	49,4504
321,00	49,4565
321,50	49,4559
322,00	49,3655
322,50	49,3689
323,00	49,4382
323,50	49,4162
324,00	49,3055
324,50	49,3341
325,00	49,3372
325,50	49,2722
326,00	49,2126
326,50	49,1714
327,00	49,1940
327,50	49,0373
328,00	49,0429
328,50	49,0518
329,00	48,9830
329,50	49,0537
330,00	49,0869
330,50	49,0700
331,00	49,0895
331,50	49,0317
332,00	49,0886
332,50	49,0322
333,00	49,1017
333,50	49,1510
334,00	49,0635
334,50	49,0096
335,00	49,0120
335,50	48,9833
336,00	48,9821
336,50	48,9509
337,00	48,9009
337,50	48,8115
338,00	48,7685
338,50	48,7386
339,00	48,7810
339,50	48,7452
340,00	48,7349
340,50	48,7861
341,00	48,7682
341,50	48,8119
342,00	48,8224
342,50	48,8276
343,00	48,8245
343,50	48,7706
344,00	48,7783
344,50	48,7492
345,00	48,7325
345,50	48,7862
346,00	48,7139
346,50	48,6734
347,00	48,5816
347,50	48,5672
348,00	48,5188
348,50	48,4588
349,00	48,3745
349,50	48,2574
350,00	48,1460
350,50	48,1713
351,00	48,1482
351,50	48,1284
352,00	48,0135
352,50	47,9971
353,00	48,0008
353,50	48,0449
354,00	47,9612
354,50	47,9528
355,00	47,9482
355,50	47,9109
356,00	47,8650
356,50	47,8872
357,00	47,8326
357,50	47,8318
358,00	47,7408
358,50	47,9960
359,00	48,1203
359,50	48,2479
360,00	48,4240
360,50	48,6323
361,00	48,7636
361,50	49,0040
362,00	49,1598
362,50	49,3441
363,00	49,3303
363,50	49,2936
364,00	49,2356
364,50	49,1897
365,00	49,1841
365,50	49,1611
366,00	49,0752
366,50	48,9693
367,00	48,9763
367,50	48,9674
368,00	48,9945
368,50	49,0124
369,00	48,9701
369,50	48,9079
370,00	48,9499
370,50	48,9973
371,00	49,0087
371,50	48,9893
372,00	48,9258
372,50	48,9044
373,00	48,8624
373,50	48,9002
374,00	48,8819
374,50	48,8337
375,00	48,7399
375,50	48,7226
376,00	48,6730
376,50	48,5847
377,00	48,5080
377,50	48,3601
378,00	48,2035
378,50	48,0008
379,00	47,8144
379,50	47,6052
380,00	47,4051
380,50	47,2150
381,00	47,0649
381,50	46,8772
382,00	46,7629
382,50	46,5905
383,00	46,4751
383,50	46,3353
384,00	46,2008
384,50	46,1089
385,00	45,9870
385,50	45,8732
386,00	45,7648
386,50	45,6519
387,00	45,5617
387,50	45,5228
388,00	45,4739
388,50	45,4931
389,00	45,4469
389,50	45,3774
390,00	45,3416
390,50	45,2809
391,00	45,2668
391,50	45,2826
392,00	45,2377
392,50	45,2024
393,00	45,1381
393,50	45,0570
394,00	45,0800
394,50	45,0636
395,00	45,0699
395,50	45,0328
396,00	45,0014
396,50	44,9951
397,00	45,0041
397,50	45,0255
398,00	45,0640
398,50	45,0312
399,00	45,0258
399,50	45,0481
400,00	45,0608
400,50	45,0674
401,00	45,0909
401,50	45,0810
402,00	45,0483
402,50	45,0334
403,00	44,9896
403,50	44,9842
404,00	44,9637
404,50	44,9471
405,00	44,8978
405,50	44,8449
406,00	44,8256
406,50	44,7935
407,00	44,8034
407,50	44,8240
