"pen_argset_B_centre_back - Storage 124846"
"Wavelength nm."	"R%"
185,00	821,7125
185,50	686,4993
186,00	548,5710
186,50	406,0778
187,00	271,9983
187,50	133,4962
188,00	137,9729
188,50	137,5080
189,00	136,0315
189,50	127,5872
190,00	122,9179
190,50	120,6933
191,00	121,9711
191,50	115,3122
192,00	113,6928
192,50	112,5198
193,00	109,1528
193,50	103,7711
194,00	101,7404
194,50	100,3623
195,00	97,8826
195,50	98,7719
196,00	97,1587
196,50	94,8418
197,00	93,6663
197,50	93,4424
198,00	92,9841
198,50	93,3356
199,00	92,3686
199,50	92,5803
200,00	90,2566
200,50	89,3085
201,00	89,5996
201,50	89,4438
202,00	88,1027
202,50	86,7843
203,00	86,2678
203,50	85,2549
204,00	84,2559
204,50	83,6104
205,00	84,1812
205,50	82,8364
206,00	81,2962
206,50	80,8811
207,00	80,8584
207,50	80,2209
208,00	79,6838
208,50	78,9596
209,00	78,2599
209,50	77,0826
210,00	76,7065
210,50	76,2176
211,00	74,9223
211,50	73,6460
212,00	72,6520
212,50	71,8934
213,00	71,2802
213,50	70,2458
214,00	69,0651
214,50	67,7297
215,00	66,9986
215,50	66,4979
216,00	65,9462
216,50	65,4981
217,00	64,4650
217,50	63,6362
218,00	63,2147
218,50	62,6623
219,00	62,1905
219,50	61,6452
220,00	60,9468
220,50	60,7389
221,00	59,9345
221,50	59,6432
222,00	59,3935
222,50	58,7825
223,00	58,3696
223,50	57,8457
224,00	57,1968
224,50	56,8192
225,00	56,0521
225,50	55,5226
226,00	54,9788
226,50	54,4155
227,00	54,0672
227,50	53,7955
228,00	53,6053
228,50	53,3870
229,00	53,1211
229,50	52,8559
230,00	52,7187
230,50	52,6382
231,00	52,4480
231,50	52,2142
232,00	51,8440
232,50	51,4869
233,00	51,3067
233,50	51,0748
234,00	50,8746
234,50	50,6367
235,00	50,4477
235,50	50,3471
236,00	50,1768
236,50	50,1806
237,00	50,1619
237,50	50,0191
238,00	49,8888
238,50	49,7483
239,00	49,7049
239,50	49,4941
240,00	49,2393
240,50	49,1762
241,00	48,9799
241,50	48,8804
242,00	48,8426
242,50	48,8478
243,00	48,8614
243,50	48,7975
244,00	48,8057
244,50	48,9388
245,00	48,8770
245,50	48,8440
246,00	48,7727
246,50	48,7388
247,00	48,7593
247,50	48,6550
248,00	48,6709
248,50	48,6664
249,00	48,4943
249,50	48,5122
250,00	48,5670
250,50	48,5731
251,00	48,5348
251,50	48,5321
252,00	48,6553
252,50	48,6087
253,00	48,7135
253,50	48,8888
254,00	48,9991
254,50	49,0857
255,00	49,2283
255,50	49,3651
256,00	49,4504
256,50	49,5294
257,00	49,6908
257,50	49,7971
258,00	49,8680
258,50	49,8631
259,00	49,9461
259,50	50,0234
260,00	50,1208
260,50	50,1491
261,00	50,1772
261,50	50,2523
262,00	50,3508
262,50	50,2921
263,00	50,4801
263,50	50,4727
264,00	50,4245
264,50	50,4236
265,00	50,4326
265,50	50,4251
266,00	50,4417
266,50	50,3015
267,00	50,3586
267,50	50,2525
268,00	50,2375
268,50	50,1768
269,00	50,1035
269,50	50,0737
270,00	50,0856
270,50	49,9793
271,00	49,9487
271,50	49,9591
272,00	49,9319
272,50	49,8682
273,00	49,9505
273,50	49,9598
274,00	49,9422
274,50	49,8591
275,00	49,8139
275,50	49,7286
276,00	49,7040
276,50	49,7039
277,00	49,6629
277,50	49,6419
278,00	49,5786
278,50	49,5502
279,00	49,5177
279,50	49,4607
280,00	49,5044
280,50	49,4790
281,00	49,3363
281,50	49,2465
282,00	49,1439
282,50	49,0975
283,00	49,1063
283,50	49,0774
284,00	49,2114
284,50	49,1471
285,00	49,1525
285,50	49,2183
286,00	49,2515
286,50	49,1873
287,00	49,1229
287,50	49,0548
288,00	49,0876
288,50	48,9782
289,00	48,9921
289,50	49,0207
290,00	48,9186
290,50	48,8937
291,00	48,8462
291,50	48,8606
292,00	48,8200
292,50	48,7389
293,00	48,6951
293,50	48,6190
294,00	48,5073
294,50	48,5251
295,00	48,5295
295,50	48,5001
296,00	48,4436
296,50	48,4316
297,00	48,3731
297,50	48,3278
298,00	48,3224
298,50	48,1971
299,00	48,2037
299,50	48,1963
300,00	48,2725
300,50	48,2875
301,00	48,1899
301,50	48,2952
302,00	48,1671
302,50	48,1680
303,00	48,2952
303,50	48,2411
304,00	48,1489
304,50	48,1227
305,00	48,2135
305,50	48,2376
306,00	48,0777
306,50	48,2154
307,00	48,1442
307,50	48,0845
308,00	48,1244
308,50	48,3247
309,00	48,5358
309,50	48,6451
310,00	48,8731
310,50	49,0898
311,00	49,3095
311,50	49,4595
312,00	49,6193
312,50	49,7805
313,00	49,7639
313,50	49,7151
314,00	49,6683
314,50	49,5515
315,00	49,4857
315,50	49,4078
316,00	49,4585
316,50	49,3659
317,00	49,3785
