"pen_argset_B_centre_front - Storage 130627"
"Wavelength nm."	"R%"
185,00	383,2603
185,50	335,8912
186,00	288,6380
186,50	232,8939
187,00	184,3209
187,50	130,4894
188,00	128,4529
188,50	134,1146
189,00	131,9577
189,50	129,1293
190,00	121,4459
190,50	113,9940
191,00	113,9257
191,50	107,3009
192,00	105,7229
192,50	104,7298
193,00	100,7905
193,50	95,0893
194,00	92,0594
194,50	92,0760
195,00	90,1316
195,50	91,6430
196,00	90,0167
196,50	88,3069
197,00	87,3753
197,50	88,1425
198,00	86,9131
198,50	87,8078
199,00	86,2687
199,50	85,5420
200,00	83,2301
200,50	82,4890
201,00	82,7673
201,50	82,9760
202,00	81,1781
202,50	80,3266
203,00	79,4778
203,50	78,7492
204,00	78,4936
204,50	77,6691
205,00	78,3110
205,50	77,7172
206,00	76,5075
206,50	76,4733
207,00	75,8847
207,50	75,3881
208,00	74,7202
208,50	73,9737
209,00	73,5929
209,50	72,3557
210,00	71,6463
210,50	71,0734
211,00	69,9790
211,50	68,7384
212,00	67,8347
212,50	66,8417
213,00	66,3604
213,50	65,2873
214,00	64,6744
214,50	63,7930
215,00	63,1014
215,50	62,4865
216,00	62,2942
216,50	61,8012
217,00	61,2478
217,50	60,7281
218,00	60,2585
218,50	59,4551
219,00	59,0216
219,50	58,7668
220,00	58,3278
220,50	57,8427
221,00	57,4352
221,50	57,2229
222,00	57,0135
222,50	56,6152
223,00	56,4552
223,50	56,0069
224,00	55,3611
224,50	55,1095
225,00	54,7119
225,50	54,1591
226,00	53,7146
226,50	53,1687
227,00	52,7301
227,50	52,3556
228,00	52,0737
228,50	51,9248
229,00	51,5074
229,50	51,1906
230,00	51,0025
230,50	50,8893
231,00	50,7370
231,50	50,5253
232,00	50,1944
232,50	49,9349
233,00	49,6421
233,50	49,4750
234,00	49,3472
234,50	49,1998
235,00	49,1549
235,50	48,9836
236,00	48,9329
236,50	48,9353
237,00	48,8520
237,50	48,7805
238,00	48,7046
238,50	48,5927
239,00	48,4888
239,50	48,1868
240,00	48,0329
240,50	47,9587
241,00	47,7971
241,50	47,8220
242,00	47,7223
242,50	47,7735
243,00	47,8167
243,50	47,6631
244,00	47,7162
244,50	47,7677
245,00	47,6817
245,50	47,7242
246,00	47,6901
246,50	47,7456
247,00	47,7114
247,50	47,5757
248,00	47,7761
248,50	47,8067
249,00	47,7465
249,50	47,8535
250,00	47,8464
250,50	47,8702
251,00	47,8422
251,50	47,8759
252,00	47,9406
252,50	47,8743
253,00	47,9886
253,50	48,1702
254,00	48,1357
254,50	48,2208
255,00	48,1698
255,50	48,2855
256,00	48,3228
256,50	48,4294
257,00	48,5318
257,50	48,5364
258,00	48,5793
258,50	48,6397
259,00	48,7027
259,50	48,8217
260,00	48,8943
260,50	48,9492
261,00	49,0258
261,50	49,0632
262,00	49,1109
262,50	49,0914
263,00	49,2350
263,50	49,2976
264,00	49,3392
264,50	49,2825
265,00	49,2908
265,50	49,2689
266,00	49,3187
266,50	49,2563
267,00	49,1781
267,50	49,0802
268,00	49,0319
268,50	48,9751
269,00	48,9188
269,50	48,9347
270,00	48,9319
270,50	48,8191
271,00	48,7681
271,50	48,7699
272,00	48,7846
272,50	48,6889
273,00	48,7404
273,50	48,7447
274,00	48,7187
274,50	48,6414
275,00	48,6841
275,50	48,7739
276,00	48,7991
276,50	48,7160
277,00	48,7227
277,50	48,6623
278,00	48,6607
278,50	48,6394
279,00	48,5749
279,50	48,5067
280,00	48,4541
280,50	48,4687
281,00	48,4632
281,50	48,4485
282,00	48,3647
282,50	48,3614
283,00	48,2982
283,50	48,3081
284,00	48,3425
284,50	48,2212
285,00	48,1206
285,50	48,0963
286,00	48,0633
286,50	48,0031
287,00	47,8623
287,50	47,8018
