"pen_argset_C_BottomSurface_centre - Storage 123036"
"Wavelength nm."	"R%"
185,00	404,9695
185,50	352,1688
186,00	298,7627
186,50	245,4328
187,00	197,8721
187,50	147,4774
188,00	118,2405
188,50	119,9594
189,00	123,1053
189,50	121,3828
190,00	121,0772
190,50	120,6662
191,00	121,1590
191,50	115,3509
192,00	112,5254
192,50	110,4806
193,00	105,7753
193,50	102,5198
194,00	99,4169
194,50	99,4945
195,00	99,0158
195,50	98,4584
196,00	96,4010
196,50	94,2963
197,00	94,5925
197,50	94,7729
198,00	93,2816
198,50	94,1087
199,00	92,3918
199,50	91,1942
200,00	89,4637
200,50	88,9607
201,00	88,8499
201,50	88,1880
202,00	87,1018
202,50	86,1842
203,00	84,9663
203,50	83,4948
204,00	82,9319
204,50	81,9052
205,00	81,7119
205,50	80,5731
206,00	79,6428
206,50	79,8484
207,00	78,8700
207,50	78,7716
208,00	78,3187
208,50	77,5953
209,00	77,0917
209,50	76,6495
210,00	76,4913
210,50	75,5286
211,00	73,7108
211,50	72,9715
212,00	71,8695
212,50	70,8689
213,00	70,2363
213,50	69,3030
214,00	68,1701
214,50	67,0501
215,00	66,4961
215,50	65,9302
216,00	65,2442
216,50	64,6930
217,00	63,9801
217,50	63,1837
218,00	62,5124
218,50	61,8112
219,00	61,3599
219,50	60,7513
220,00	60,4337
220,50	60,0164
221,00	59,4616
221,50	59,2719
222,00	58,8215
222,50	58,4720
223,00	58,3263
223,50	57,8117
224,00	57,2038
224,50	56,6609
225,00	56,0364
225,50	55,5046
226,00	54,9494
226,50	54,5804
227,00	54,0059
227,50	53,5161
228,00	53,2697
228,50	53,0306
229,00	52,7221
229,50	52,5254
230,00	52,3647
230,50	52,3024
231,00	52,1136
231,50	51,9354
232,00	51,6363
232,50	51,2874
233,00	51,1385
233,50	50,9413
234,00	50,6851
234,50	50,3179
235,00	50,1812
235,50	50,0046
236,00	49,9524
236,50	49,8791
237,00	49,8453
237,50	49,6431
238,00	49,6607
238,50	49,5878
239,00	49,5442
239,50	49,3291
240,00	49,1366
240,50	49,0926
241,00	48,9391
241,50	48,8823
242,00	48,8027
242,50	48,6579
243,00	48,6913
243,50	48,7195
244,00	48,7747
244,50	48,8806
245,00	48,7838
245,50	48,7649
246,00	48,6884
246,50	48,6682
247,00	48,7049
247,50	48,6484
248,00	48,6933
248,50	48,5878
249,00	48,5135
249,50	48,5260
250,00	48,6185
250,50	48,6590
251,00	48,7064
251,50	48,7411
252,00	48,7926
252,50	48,7570
253,00	48,9107
253,50	49,1126
254,00	49,2604
254,50	49,3367
255,00	49,4225
255,50	49,5409
256,00	49,6443
256,50	49,7092
257,00	49,7477
257,50	49,7713
258,00	49,7239
258,50	49,6637
259,00	49,7305
259,50	49,8136
260,00	49,7710
260,50	49,7868
261,00	49,8233
261,50	49,8918
262,00	49,9418
262,50	49,9388
263,00	50,0187
263,50	49,9994
264,00	49,9856
264,50	50,0678
265,00	50,0342
265,50	50,0475
266,00	50,1547
266,50	50,1019
267,00	50,1686
267,50	50,2055
268,00	50,1921
268,50	50,1810
269,00	50,0937
269,50	50,1120
270,00	50,0708
270,50	49,9766
271,00	49,9635
271,50	49,9092
272,00	49,9030
272,50	49,8079
273,00	49,8172
273,50	49,8112
274,00	49,7777
274,50	49,7345
275,00	49,7466
275,50	49,6967
276,00	49,7090
276,50	49,6559
277,00	49,6521
277,50	49,5435
278,00	49,5911
278,50	49,5798
279,00	49,5295
279,50	49,4262
280,00	49,3831
280,50	49,3463
281,00	49,2853
281,50	49,2307
282,00	49,2135
282,50	49,1784
283,00	49,0810
283,50	49,1244
284,00	49,2463
284,50	49,2581
285,00	49,1924
285,50	49,1869
286,00	49,2070
286,50	49,1535
287,00	49,1150
287,50	49,0808
288,00	49,0774
288,50	48,8582
289,00	48,8160
