"pen_argset_C_BottomSurface_corner2 - Storage 123517"
"Wavelength nm."	"R%"
185,00	103,6464
185,50	106,5899
186,00	109,0279
186,50	107,9938
187,00	112,0097
187,50	114,0144
188,00	116,3090
188,50	123,3394
189,00	125,8630
189,50	120,7051
190,00	116,7502
190,50	115,9482
191,00	117,2398
191,50	114,7399
192,00	112,4457
192,50	111,1677
193,00	107,0790
193,50	102,9355
194,00	101,2386
194,50	101,0703
195,00	96,8214
195,50	95,3804
196,00	91,1639
196,50	88,7778
197,00	88,9983
197,50	89,8995
198,00	88,9360
198,50	88,4596
199,00	88,3804
199,50	88,0553
200,00	87,2482
200,50	87,4803
201,00	88,1436
201,50	89,4763
202,00	88,2826
202,50	87,6527
203,00	86,8332
203,50	85,0477
204,00	84,7161
204,50	83,8839
205,00	83,5255
205,50	82,2009
206,00	79,7759
206,50	79,8314
207,00	79,2154
207,50	78,5764
208,00	78,4125
208,50	78,2414
209,00	77,0500
209,50	76,1736
210,00	75,9272
210,50	75,4336
211,00	74,0376
211,50	73,0541
212,00	72,3408
212,50	70,9860
213,00	69,7597
213,50	69,3159
214,00	68,5107
214,50	67,4994
215,00	66,5662
215,50	65,7240
216,00	65,2472
216,50	64,6553
217,00	63,9564
217,50	63,4529
218,00	62,8214
218,50	62,0105
219,00	61,3492
219,50	60,7978
220,00	60,2959
220,50	59,9065
221,00	59,1657
221,50	58,9727
222,00	58,7189
222,50	58,1630
223,00	57,9748
223,50	57,5262
224,00	56,9412
224,50	56,5637
225,00	55,8495
225,50	55,4586
226,00	55,0785
226,50	54,5197
227,00	54,1646
227,50	53,5589
228,00	53,2360
228,50	53,0666
229,00	52,6998
229,50	52,5468
230,00	52,3409
230,50	52,0396
231,00	51,8455
231,50	51,5733
232,00	51,4136
232,50	51,1271
233,00	50,8007
233,50	50,5890
234,00	50,4347
234,50	50,1899
235,00	50,0500
235,50	49,9500
236,00	49,8767
236,50	49,8672
237,00	49,8105
237,50	49,7365
238,00	49,6295
238,50	49,4616
239,00	49,4229
239,50	49,2516
240,00	49,0975
240,50	49,0963
241,00	48,9695
241,50	48,9015
242,00	48,7727
242,50	48,8173
243,00	48,8829
243,50	48,8442
244,00	48,9085
244,50	48,9065
245,00	48,6871
245,50	48,5532
246,00	48,5547
246,50	48,7187
247,00	48,5909
247,50	48,4947
248,00	48,5717
248,50	48,4565
249,00	48,3993
249,50	48,4388
250,00	48,6447
250,50	48,6394
251,00	48,5872
251,50	48,7418
252,00	48,7676
252,50	48,7040
253,00	48,8395
253,50	48,9910
254,00	49,2043
254,50	49,1711
255,00	49,2512
255,50	49,3325
256,00	49,3553
256,50	49,4165
257,00	49,4929
257,50	49,4566
258,00	49,4904
258,50	49,4829
259,00	49,6247
259,50	49,5808
260,00	49,6691
260,50	49,6224
261,00	49,7846
261,50	49,9096
262,00	50,0517
262,50	50,0575
263,00	50,1794
263,50	50,1936
264,00	50,2735
264,50	50,2600
265,00	50,2857
265,50	50,1971
266,00	50,2223
266,50	50,1500
267,00	50,1484
267,50	50,0246
268,00	49,9566
268,50	49,9811
269,00	49,9729
269,50	49,9940
270,00	49,9653
270,50	49,9312
271,00	49,9434
271,50	49,9912
272,00	49,9651
272,50	49,8866
273,00	49,8617
273,50	49,8051
274,00	49,7928
274,50	49,7840
275,00	49,7316
275,50	49,7095
276,00	49,6350
276,50	49,6111
277,00	49,6223
277,50	49,6536
278,00	49,6183
278,50	49,6273
279,00	49,5824
279,50	49,4999
280,00	49,4669
280,50	49,4269
281,00	49,4221
281,50	49,3230
282,00	49,2055
282,50	49,1607
283,00	49,0523
283,50	49,0175
284,00	49,0380
284,50	48,9999
285,00	49,0282
285,50	49,0034
286,00	49,0426
286,50	48,9406
287,00	48,8589
287,50	48,8363
288,00	48,8507
288,50	48,7961
289,00	48,7258
289,50	48,6431
290,00	48,5927
290,50	48,4947
291,00	48,5090
291,50	48,5433
292,00	48,6002
292,50	48,5684
293,00	48,5501
293,50	48,5493
294,00	48,5286
294,50	48,5099
295,00	48,5589
295,50	48,4932
296,00	48,4942
296,50	48,4410
297,00	48,3253
297,50	48,3225
298,00	48,3337
298,50	48,2115
299,00	48,2469
299,50	48,2185
300,00	48,3628
300,50	48,2522
301,00	48,2387
301,50	48,3291
302,00	48,2573
302,50	48,2433
303,00	48,3960
303,50	48,3496
304,00	48,3070
304,50	48,2279
305,00	48,3812
305,50	48,3525
306,00	48,3209
306,50	48,3940
307,00	48,3140
307,50	48,2722
308,00	48,2309
308,50	48,4741
309,00	48,7292
309,50	48,8429
310,00	48,9855
310,50	49,1422
311,00	49,2552
311,50	49,4079
312,00	49,5155
312,50	49,6815
313,00	49,5110
313,50	49,3751
314,00	49,3474
314,50	49,2488
315,00	49,1560
315,50	49,0991
316,00	49,1726
316,50	49,1633
317,00	49,2465
317,50	49,3787
318,00	49,3544
318,50	49,3036
319,00	49,3816
319,50	49,4400
320,00	49,4739
320,50	49,4918
321,00	49,5043
321,50	49,3876
322,00	49,3129
322,50	49,3027
323,00	49,3334
323,50	49,3119
324,00	49,2306
324,50	49,2225
325,00	49,1303
325,50	49,0403
326,00	49,0816
326,50	49,0928
327,00	49,1128
327,50	49,0100
328,00	49,0011
328,50	49,0628
329,00	49,0183
329,50	48,9857
330,00	49,0016
330,50	48,9369
331,00	48,9162
331,50	48,9323
332,00	48,9456
332,50	48,9780
333,00	48,9397
333,50	48,9148
334,00	48,9420
334,50	48,8992
335,00	48,9276
335,50	48,9417
336,00	48,8837
336,50	48,9079
337,00	48,7982
337,50	48,7996
338,00	48,7559
338,50	48,7875
339,00	48,8327
339,50	48,7379
340,00	48,6884
340,50	48,7040
341,00	48,6192
341,50	48,6308
342,00	48,6193
342,50	48,6017
343,00	48,5066
343,50	48,4918
344,00	48,4721
344,50	48,4121
345,00	48,4095
345,50	48,4936
346,00	48,4622
346,50	48,4364
347,00	48,4663
347,50	48,4445
348,00	48,3487
348,50	48,3207
349,00	48,2722
349,50	48,1589
350,00	48,0862
350,50	48,0700
351,00	48,0608
351,50	47,9840
352,00	47,9674
352,50	48,0070
353,00	48,0605
353,50	48,1298
354,00	48,1192
354,50	48,0502
355,00	48,0099
355,50	47,9475
356,00	47,9044
356,50	47,8998
357,00	47,8309
357,50	47,7984
358,00	47,6782
358,50	47,8431
359,00	47,9664
359,50	48,1308
360,00	48,2847
360,50	48,4552
361,00	48,5660
361,50	48,7054
362,00	48,8267
362,50	49,0590
363,00	49,0818
363,50	49,1193
364,00	49,0925
364,50	49,1012
365,00	49,1389
365,50	49,1622
366,00	49,1532
366,50	49,1113
367,00	49,1012
367,50	49,0666
368,00	49,0788
368,50	49,1024
369,00	49,0420
369,50	49,0443
370,00	48,9861
370,50	49,0133
371,00	48,9837
371,50	48,9271
372,00	48,8912
372,50	48,8599
373,00	48,8139
373,50	48,8150
374,00	48,7382
374,50	48,7207
375,00	48,6668
375,50	48,6408
376,00	48,5586
376,50	48,4994
377,00	48,3837
377,50	48,2540
378,00	48,1111
378,50	47,9230
379,00	47,7476
379,50	47,5360
380,00	47,3317
380,50	47,1530
381,00	46,9422
381,50	46,7461
382,00	46,6123
382,50	46,4354
383,00	46,2957
383,50	46,1299
384,00	45,9892
384,50	45,8652
385,00	45,7549
385,50	45,6432
386,00	45,6059
386,50	45,4877
387,00	45,4230
387,50	45,3822
388,00	45,3295
388,50	45,3191
389,00	45,2922
389,50	45,2479
390,00	45,1846
390,50	45,1110
391,00	45,0589
391,50	45,0244
392,00	44,9917
392,50	44,9815
393,00	44,9246
393,50	44,8576
394,00	44,8617
394,50	44,8554
395,00	44,8281
395,50	44,8294
396,00	44,8053
396,50	44,8033
397,00	44,7951
397,50	44,8038
398,00	44,8488
398,50	44,7851
399,00	44,7977
399,50	44,8094
400,00	44,8077
400,50	44,7884
401,00	44,8001
401,50	44,7864
402,00	44,7499
402,50	44,7006
403,00	44,7082
403,50	44,7373
404,00	44,7221
404,50	44,7006
405,00	44,7078
405,50	44,6517
406,00	44,6039
406,50	44,6108
407,00	44,6433
407,50	44,6599
408,00	44,5877
408,50	44,5791
409,00	44,5566
409,50	44,5558
410,00	44,5446
410,50	44,5839
411,00	44,5445
411,50	44,5003
412,00	44,4716
412,50	44,4706
413,00	44,4313
413,50	44,4211
414,00	44,3999
414,50	44,4154
415,00	44,3800
415,50	44,3959
416,00	44,3627
416,50	44,3445
417,00	44,3241
417,50	44,3063
418,00	44,2985
418,50	44,1710
419,00	44,0587
419,50	43,9696
420,00	43,8545
420,50	43,7789
421,00	43,6652
421,50	43,5635
422,00	43,4562
422,50	43,3558
423,00	43,3430
423,50	43,3183
424,00	43,2972
424,50	43,2729
425,00	43,2350
425,50	43,2196
426,00	43,2072
426,50	43,2052
427,00	43,1897
427,50	43,2194
428,00	43,1821
428,50	43,1920
429,00	43,1900
429,50	43,2193
430,00	43,2399
430,50	43,2469
431,00	43,2712
431,50	43,2919
432,00	43,2861
432,50	43,3273
433,00	43,3156
433,50	43,3384
434,00	43,3406
434,50	43,3288
435,00	43,3252
435,50	43,3215
436,00	43,3013
436,50	43,3043
437,00	43,3030
437,50	43,3043
438,00	43,2830
438,50	43,2654
439,00	43,2642
439,50	43,2496
440,00	43,2139
440,50	43,2384
441,00	43,2058
441,50	43,1951
442,00	43,1939
442,50	43,1942
443,00	43,1885
443,50	43,1750
444,00	43,1871
444,50	43,1918
445,00	43,1566
445,50	43,1531
446,00	43,1479
446,50	43,1448
447,00	43,1479
447,50	43,1496
448,00	43,1622
448,50	43,1539
449,00	43,1766
449,50	43,2025
450,00	43,2199
450,50	43,2266
451,00	43,2076
451,50	43,2087
452,00	43,2164
452,50	43,2178
453,00	43,2258
453,50	43,2007
454,00	43,1837
454,50	43,1741
455,00	43,1787
455,50	43,1811
456,00	43,1523
456,50	43,1354
457,00	43,1165
457,50	43,1044
458,00	43,1165
458,50	43,1076
459,00	43,0984
459,50	43,0939
460,00	43,0855
460,50	43,0876
461,00	43,0897
461,50	43,1087
462,00	43,0942
462,50	43,0581
463,00	43,0540
463,50	43,0391
464,00	43,0102
464,50	43,0018
465,00	43,0030
465,50	42,9761
466,00	42,9352
466,50	42,9325
467,00	42,9352
467,50	42,9274
468,00	42,9155
468,50	42,9113
469,00	42,8957
469,50	42,8978
470,00	42,9009
470,50	42,9151
471,00	42,9071
471,50	42,9019
472,00	42,8838
472,50	42,8882
473,00	42,8684
473,50	42,8672
474,00	42,8373
474,50	42,8201
475,00	42,8044
475,50	42,7772
476,00	42,7723
476,50	42,7591
477,00	42,7601
477,50	42,7687
478,00	42,7600
478,50	42,7626
479,00	42,7694
479,50	42,7637
480,00	42,7795
480,50	42,7705
481,00	42,7762
481,50	42,7720
482,00	42,7600
482,50	42,7682
483,00	42,7750
483,50	42,7626
484,00	42,7884
484,50	42,7864
485,00	42,8037
485,50	42,7959
486,00	42,7911
486,50	42,8074
487,00	42,7992
487,50	42,7798
488,00	42,7904
488,50	42,7723
489,00	42,7559
489,50	42,7492
490,00	42,7494
490,50	42,7444
491,00	42,7345
491,50	42,7399
492,00	42,7542
492,50	42,7568
493,00	42,7531
493,50	42,7518
494,00	42,7617
494,50	42,7655
495,00	42,7734
495,50	42,7703
496,00	42,7825
496,50	42,7780
497,00	42,7944
497,50	42,7787
498,00	42,7823
498,50	42,7717
499,00	42,7794
499,50	42,7801
500,00	42,7819
500,50	42,7680
501,00	42,7710
501,50	42,7513
502,00	42,7703
502,50	42,7768
503,00	42,7657
503,50	42,7524
504,00	42,7351
504,50	42,7254
505,00	42,7297
505,50	42,7347
506,00	42,7299
506,50	42,7243
507,00	42,7239
507,50	42,7149
508,00	42,7047
508,50	42,7081
509,00	42,7040
509,50	42,6923
510,00	42,6708
510,50	42,6536
511,00	42,6440
511,50	42,6427
512,00	42,6612
512,50	42,6848
513,00	42,6691
513,50	42,6793
514,00	42,6770
514,50	42,6914
515,00	42,7219
515,50	42,7274
516,00	42,7073
516,50	42,6875
517,00	42,6530
517,50	42,6532
518,00	42,6378
518,50	42,6388
519,00	42,6265
519,50	42,5937
520,00	42,5834
520,50	42,5937
521,00	42,6012
521,50	42,6043
522,00	42,5951
522,50	42,5924
523,00	42,5763
523,50	42,5690
524,00	42,5946
524,50	42,5942
525,00	42,5944
525,50	42,5795
526,00	42,5947
526,50	42,5954
527,00	42,5986
527,50	42,5905
528,00	42,5816
528,50	42,5273
529,00	42,4865
529,50	42,4454
530,00	42,3915
530,50	42,3394
531,00	42,2948
531,50	42,2585
532,00	42,2411
532,50	42,1933
533,00	42,1692
533,50	42,1763
534,00	42,1704
534,50	42,1900
535,00	42,1897
535,50	42,2031
536,00	42,1973
536,50	42,1765
537,00	42,2031
537,50	42,2061
538,00	42,1981
538,50	42,2001
539,00	42,1970
539,50	42,1852
540,00	42,1922
540,50	42,1696
541,00	42,1794
541,50	42,1669
542,00	42,1846
542,50	42,1761
543,00	42,1888
543,50	42,1914
544,00	42,2080
544,50	42,2054
545,00	42,2192
545,50	42,2224
546,00	42,2249
546,50	42,2132
547,00	42,2192
547,50	42,1925
548,00	42,1768
548,50	42,1818
549,00	42,1530
549,50	42,1548
550,00	42,1648
550,50	42,1400
551,00	42,1341
551,50	42,1311
552,00	42,1597
552,50	42,1824
553,00	42,1625
553,50	42,1815
554,00	42,1700
554,50	42,1507
555,00	42,1674
555,50	42,1780
556,00	42,1672
556,50	42,1287
557,00	42,0823
557,50	42,0715
558,00	42,0479
558,50	42,0404
559,00	42,0330
559,50	42,0156
560,00	41,9978
560,50	41,9933
561,00	41,9920
561,50	41,9890
562,00	41,9732
562,50	41,9835
563,00	41,9861
563,50	41,9746
564,00	41,9673
564,50	41,9559
565,00	41,9453
565,50	41,9255
566,00	41,9249
566,50	41,9173
567,00	41,9090
567,50	41,8888
568,00	41,8905
568,50	41,8892
569,00	41,8809
569,50	41,8937
570,00	41,9085
570,50	41,9066
571,00	41,9073
571,50	41,8969
572,00	41,9097
572,50	41,8817
573,00	41,8900
573,50	41,9062
574,00	41,8771
574,50	41,8670
575,00	41,8713
575,50	41,8853
576,00	41,8979
576,50	41,9014
577,00	41,9191
577,50	41,9036
578,00	41,8921
578,50	41,9021
579,00	41,9143
579,50	41,9036
580,00	41,8908
580,50	41,8774
581,00	41,8508
581,50	41,8661
582,00	41,8848
582,50	41,8901
583,00	41,8868
583,50	41,8905
584,00	41,9390
584,50	41,9327
585,00	41,9389
585,50	41,9529
586,00	41,9455
586,50	41,9519
587,00	41,9688
587,50	41,9989
588,00	41,9906
588,50	41,9841
589,00	42,0191
589,50	42,0241
590,00	42,0405
590,50	42,0718
591,00	42,0578
591,50	42,0498
592,00	42,0274
592,50	42,0361
593,00	42,0308
593,50	42,0175
594,00	42,0166
594,50	42,0320
595,00	41,9898
595,50	42,0080
596,00	41,9964
596,50	42,0017
597,00	41,9913
597,50	41,9626
598,00	41,9657
598,50	41,9666
599,00	41,9482
599,50	41,9625
600,00	41,9483
