"pen_argset_B_TopSurface_centre - Storage 121601"
"Wavelength nm."	"R%"
185,00	329,3848
185,50	289,5827
186,00	250,9842
186,50	204,8470
187,00	162,3825
187,50	119,7481
188,00	118,4267
188,50	124,7818
189,00	125,9801
189,50	117,6046
190,00	113,9235
190,50	108,0634
191,00	111,2628
191,50	109,9128
192,00	108,5463
192,50	106,3795
193,00	103,0033
193,50	98,7714
194,00	96,6771
194,50	96,7643
195,00	95,4394
195,50	94,9879
196,00	92,8803
196,50	92,0179
197,00	92,1062
197,50	92,9644
198,00	93,5417
198,50	94,0684
199,00	92,8905
199,50	92,7092
200,00	90,9180
200,50	90,3450
201,00	89,8168
201,50	90,0650
202,00	87,6058
202,50	86,6245
203,00	85,6238
203,50	83,9871
204,00	83,6570
204,50	82,8406
205,00	82,8364
205,50	81,2446
206,00	79,4134
206,50	80,2000
207,00	79,3175
207,50	78,6596
208,00	78,5937
208,50	77,4579
209,00	76,4856
209,50	76,1636
210,00	75,9460
210,50	75,4303
211,00	73,5901
211,50	72,7718
212,00	71,8699
212,50	70,3656
213,00	69,9604
213,50	68,8323
214,00	67,5904
214,50	66,5082
215,00	66,2659
215,50	66,1056
216,00	65,6542
216,50	65,3618
217,00	64,5672
217,50	63,8020
218,00	63,3944
218,50	62,8185
219,00	62,3901
219,50	61,5041
220,00	60,8855
220,50	60,1928
221,00	59,5382
221,50	59,1682
222,00	58,9253
222,50	58,3465
223,00	57,9611
223,50	57,5301
224,00	56,9931
224,50	56,5254
225,00	56,1362
225,50	55,7095
226,00	55,2737
226,50	54,7995
227,00	54,5909
227,50	54,3099
228,00	54,0371
228,50	53,7930
229,00	53,5062
229,50	53,1927
230,00	52,8651
230,50	52,6432
231,00	52,4009
231,50	52,0888
232,00	51,6930
232,50	51,3617
233,00	51,1263
233,50	50,8863
234,00	50,6544
234,50	50,4896
235,00	50,3744
235,50	50,1753
236,00	49,9298
236,50	49,8875
237,00	49,7890
237,50	49,6040
238,00	49,4769
238,50	49,3765
239,00	49,2018
239,50	48,9949
240,00	48,8717
240,50	48,8838
241,00	48,7341
241,50	48,7427
242,00	48,7526
242,50	48,6975
243,00	48,6999
243,50	48,7194
244,00	48,8278
244,50	48,8238
245,00	48,7596
245,50	48,7807
246,00	48,7092
246,50	48,7165
247,00	48,8159
247,50	48,7789
248,00	48,7798
248,50	48,7111
249,00	48,6141
249,50	48,5529
250,00	48,6025
250,50	48,7232
251,00	48,6733
251,50	48,6587
252,00	48,7025
252,50	48,7844
253,00	48,9481
253,50	49,1578
254,00	49,3782
254,50	49,4872
255,00	49,5198
255,50	49,6610
256,00	49,7563
256,50	49,7523
257,00	49,8358
257,50	49,8562
258,00	49,8993
258,50	49,8706
259,00	49,8985
259,50	49,8837
260,00	49,9350
260,50	49,8807
261,00	50,0240
261,50	50,1214
262,00	50,1257
262,50	50,1125
263,00	50,1580
263,50	50,1244
264,00	50,1242
264,50	50,1464
265,00	50,2534
265,50	50,3014
266,00	50,2016
266,50	50,1724
267,00	50,1742
267,50	50,2058
268,00	50,1746
268,50	50,2109
269,00	50,2324
269,50	50,1454
270,00	50,0370
270,50	50,0699
271,00	50,0046
271,50	49,9803
272,00	49,9046
272,50	49,9151
273,00	49,8758
273,50	49,7430
274,00	49,8001
274,50	49,7785
275,00	49,7233
275,50	49,7249
276,00	49,7831
276,50	49,7955
277,00	49,7605
277,50	49,7465
278,00	49,7864
278,50	49,7777
279,00	49,7071
279,50	49,6439
280,00	49,6086
280,50	49,4898
281,00	49,4600
281,50	49,3949
282,00	49,3158
282,50	49,2650
283,00	49,1709
283,50	49,1401
284,00	49,2418
284,50	49,1734
285,00	49,1323
285,50	49,0729
286,00	49,0406
286,50	49,0548
287,00	49,0099
287,50	48,9159
288,00	48,9666
288,50	48,8673
289,00	48,9237
289,50	48,9809
290,00	48,9187
290,50	48,8698
291,00	48,7742
291,50	48,7536
292,00	48,7600
292,50	48,6324
293,00	48,6143
293,50	48,5389
294,00	48,4508
294,50	48,4713
295,00	48,5078
295,50	48,5517
296,00	48,4979
296,50	48,4616
297,00	48,4306
297,50	48,4076
298,00	48,3467
298,50	48,2858
299,00	48,2945
299,50	48,2598
300,00	48,3074
300,50	48,2664
301,00	48,2734
301,50	48,3964
302,00	48,3334
302,50	48,3663
303,00	48,4815
303,50	48,4184
304,00	48,4320
304,50	48,4075
305,00	48,4810
305,50	48,4487
306,00	48,3135
306,50	48,3933
307,00	48,4402
307,50	48,3785
308,00	48,4686
308,50	48,5498
309,00	48,7037
309,50	48,8529
310,00	48,9304
310,50	49,1691
311,00	49,2971
311,50	49,4268
312,00	49,4814
312,50	49,5379
313,00	49,5782
313,50	49,5204
314,00	49,5464
314,50	49,5431
315,00	49,3943
315,50	49,4156
316,00	49,3734
316,50	49,4245
317,00	49,5036
317,50	49,5569
318,00	49,5345
318,50	49,4974
319,00	49,5903
319,50	49,6879
320,00	49,5411
320,50	49,4739
321,00	49,4171
321,50	49,3879
322,00	49,2883
322,50	49,2758
323,00	49,3107
323,50	49,2245
324,00	49,1640
324,50	49,2178
325,00	49,2859
325,50	49,3520
326,00	49,3277
326,50	49,2944
327,00	49,2809
327,50	49,1887
328,00	49,2473
328,50	49,2504
329,00	49,2132
329,50	49,1944
330,00	49,1463
330,50	49,0451
331,00	49,0749
331,50	49,1426
332,00	49,1592
332,50	49,1896
333,00	49,2375
333,50	49,2320
334,00	49,2328
334,50	49,2581
335,00	49,3298
335,50	49,2528
336,00	49,1143
336,50	49,0657
337,00	48,9771
337,50	48,9084
338,00	48,9250
338,50	48,8581
339,00	48,8165
339,50	48,6870
340,00	48,6916
340,50	48,7211
341,00	48,6825
341,50	48,6885
342,00	48,6530
342,50	48,6073
343,00	48,5633
343,50	48,4904
344,00	48,5151
344,50	48,4799
345,00	48,4624
345,50	48,4237
346,00	48,3417
346,50	48,3515
347,00	48,3134
347,50	48,3130
348,00	48,3205
348,50	48,2601
349,00	48,2385
349,50	48,1606
350,00	48,1299
350,50	48,1378
351,00	48,0685
351,50	48,0386
352,00	47,9651
352,50	47,9336
353,00	47,9334
353,50	47,9737
354,00	47,9405
354,50	47,9385
355,00	47,9254
355,50	47,8864
356,00	47,7939
356,50	47,8284
357,00	47,8050
357,50	47,8485
358,00	47,7243
358,50	47,9051
359,00	48,0331
359,50	48,2171
360,00	48,4049
360,50	48,6851
361,00	48,8492
361,50	49,0200
362,00	49,1416
362,50	49,3843
363,00	49,3960
363,50	49,3860
364,00	49,3248
364,50	49,3190
365,00	49,2574
365,50	49,2232
366,00	49,1885
366,50	49,1187
367,00	49,1114
367,50	49,0746
368,00	49,1005
368,50	49,0477
369,00	49,0431
369,50	49,0292
370,00	48,9901
370,50	49,0189
371,00	48,9955
371,50	48,9589
372,00	48,9655
372,50	48,9277
373,00	48,9275
373,50	48,8913
374,00	48,8185
374,50	48,8106
375,00	48,6802
375,50	48,6426
376,00	48,5335
376,50	48,4345
377,00	48,3712
377,50	48,2352
378,00	48,0124
378,50	47,8405
379,00	47,6707
379,50	47,4968
380,00	47,3245
380,50	47,1370
381,00	46,9241
381,50	46,6940
382,00	46,6036
382,50	46,4948
383,00	46,3510
383,50	46,2090
384,00	46,1163
384,50	45,9957
385,00	45,9026
385,50	45,8082
386,00	45,7107
386,50	45,5556
387,00	45,4644
387,50	45,4200
388,00	45,3540
388,50	45,3081
389,00	45,2564
389,50	45,2277
390,00	45,1914
390,50	45,1587
391,00	45,1369
391,50	45,1348
392,00	45,1049
392,50	45,0994
393,00	45,0566
393,50	45,0218
394,00	45,0011
394,50	44,9822
395,00	44,9726
395,50	44,9475
396,00	44,9419
396,50	44,9753
397,00	44,9727
397,50	44,9626
398,00	44,9762
398,50	44,9508
399,00	44,9221
399,50	44,9364
400,00	44,9482
400,50	44,9408
401,00	44,9182
401,50	44,8718
402,00	44,8833
402,50	44,8536
403,00	44,8468
403,50	44,8694
404,00	44,8025
404,50	44,7847
405,00	44,7508
405,50	44,7090
406,00	44,7032
406,50	44,6729
407,00	44,6580
407,50	44,6603
408,00	44,6202
408,50	44,6320
409,00	44,5717
409,50	44,5701
410,00	44,5486
410,50	44,5182
411,00	44,4884
411,50	44,4714
412,00	44,4444
412,50	44,4292
413,00	44,4068
413,50	44,4403
414,00	44,4141
414,50	44,4390
415,00	44,4333
415,50	44,4626
416,00	44,4158
416,50	44,3902
417,00	44,3873
417,50	44,3815
418,00	44,3466
418,50	44,2388
419,00	44,0927
419,50	43,9872
420,00	43,8521
420,50	43,7935
421,00	43,7151
421,50	43,6167
422,00	43,5116
422,50	43,4354
423,00	43,4454
423,50	43,4466
424,00	43,4662
424,50	43,4466
425,00	43,4171
425,50	43,3676
426,00	43,3257
426,50	43,3458
427,00	43,3277
427,50	43,3135
428,00	43,3115
428,50	43,2821
429,00	43,2826
429,50	43,2836
430,00	43,3029
430,50	43,3359
431,00	43,3182
431,50	43,3350
432,00	43,3683
432,50	43,3760
433,00	43,3884
433,50	43,3930
434,00	43,4098
434,50	43,4071
435,00	43,4040
435,50	43,4078
436,00	43,3899
436,50	43,3534
437,00	43,3424
437,50	43,3313
438,00	43,3265
438,50	43,3206
439,00	43,3181
439,50	43,3166
440,00	43,2819
440,50	43,2963
441,00	43,3007
441,50	43,3092
442,00	43,3017
442,50	43,2836
443,00	43,2825
443,50	43,2833
444,00	43,2924
444,50	43,3013
445,00	43,2804
445,50	43,2680
446,00	43,2508
446,50	43,2661
447,00	43,2890
447,50	43,2993
448,00	43,2910
448,50	43,2805
449,00	43,2674
449,50	43,2900
450,00	43,3074
450,50	43,3297
451,00	43,2877
451,50	43,2806
452,00	43,2807
452,50	43,2964
453,00	43,2934
453,50	43,2959
454,00	43,2780
454,50	43,2653
455,00	43,2465
455,50	43,2631
456,00	43,2392
456,50	43,2120
457,00	43,1851
457,50	43,1588
458,00	43,1768
458,50	43,1680
459,00	43,1489
459,50	43,1568
460,00	43,1522
460,50	43,1520
461,00	43,1473
461,50	43,1348
462,00	43,1508
462,50	43,1163
463,00	43,1041
463,50	43,0830
464,00	43,0684
464,50	43,0575
465,00	43,0518
465,50	43,0518
466,00	43,0353
466,50	43,0231
467,00	43,0183
467,50	43,0080
468,00	43,0160
468,50	43,0016
469,00	42,9780
469,50	42,9847
470,00	42,9646
470,50	42,9799
471,00	42,9532
471,50	42,9470
472,00	42,9524
472,50	42,9661
473,00	42,9600
473,50	42,9769
474,00	42,9511
474,50	42,9433
475,00	42,9322
475,50	42,9324
476,00	42,9436
476,50	42,9138
477,00	42,8910
477,50	42,8920
478,00	42,8826
478,50	42,8910
479,00	42,8854
479,50	42,8692
480,00	42,8736
480,50	42,8600
481,00	42,8647
481,50	42,8554
482,00	42,8363
482,50	42,8308
483,00	42,8198
483,50	42,8234
484,00	42,8409
484,50	42,8324
485,00	42,8131
485,50	42,8126
486,00	42,8068
486,50	42,8226
487,00	42,8309
487,50	42,8262
488,00	42,8308
488,50	42,8268
489,00	42,8248
489,50	42,8375
490,00	42,8308
490,50	42,8295
491,00	42,8204
491,50	42,8055
492,00	42,8033
492,50	42,7960
493,00	42,7916
493,50	42,7968
494,00	42,8131
494,50	42,8274
495,00	42,8452
495,50	42,8439
496,00	42,8461
496,50	42,8526
497,00	42,8887
497,50	42,8838
498,00	42,8783
498,50	42,8602
499,00	42,8650
499,50	42,8689
500,00	42,8582
500,50	42,8507
501,00	42,8439
501,50	42,8115
502,00	42,8079
502,50	42,8034
503,00	42,8151
503,50	42,8147
504,00	42,8074
504,50	42,8108
505,00	42,8235
505,50	42,8301
506,00	42,8080
506,50	42,8150
507,00	42,8143
507,50	42,7882
508,00	42,7688
508,50	42,7636
509,00	42,7637
509,50	42,7330
510,00	42,7109
510,50	42,7199
511,00	42,6991
511,50	42,6781
512,00	42,6879
512,50	42,6812
513,00	42,6694
513,50	42,6734
514,00	42,6883
514,50	42,6888
515,00	42,6956
515,50	42,6971
516,00	42,7082
516,50	42,7026
517,00	42,7085
517,50	42,7119
518,00	42,6992
518,50	42,7021
519,00	42,7284
519,50	42,7257
520,00	42,7287
520,50	42,7316
521,00	42,7197
521,50	42,7101
522,00	42,6868
522,50	42,6921
523,00	42,6801
523,50	42,6520
524,00	42,6596
524,50	42,6584
525,00	42,6525
525,50	42,6480
526,00	42,6387
526,50	42,6347
527,00	42,6084
527,50	42,5947
528,00	42,5914
528,50	42,5282
529,00	42,4862
529,50	42,4446
530,00	42,3945
530,50	42,3679
531,00	42,3143
531,50	42,2895
532,00	42,2521
532,50	42,2052
533,00	42,1952
533,50	42,1849
534,00	42,1803
534,50	42,1955
535,00	42,1972
535,50	42,2195
536,00	42,2322
536,50	42,2468
537,00	42,2645
537,50	42,2757
538,00	42,2917
538,50	42,2813
539,00	42,2765
539,50	42,2579
540,00	42,2598
540,50	42,2461
541,00	42,2263
541,50	42,2157
542,00	42,2149
542,50	42,2075
543,00	42,2169
543,50	42,2397
544,00	42,2584
544,50	42,2540
545,00	42,2481
545,50	42,2461
546,00	42,2465
546,50	42,2396
547,00	42,2412
547,50	42,2287
548,00	42,2150
548,50	42,1972
549,00	42,1947
549,50	42,1953
550,00	42,2111
550,50	42,1872
551,00	42,1829
551,50	42,1598
552,00	42,1876
552,50	42,1749
553,00	42,1752
553,50	42,1683
554,00	42,1666
554,50	42,1381
555,00	42,1566
555,50	42,1591
556,00	42,1673
556,50	42,1471
557,00	42,1274
557,50	42,1202
558,00	42,1024
558,50	42,0837
559,00	42,1046
559,50	42,0878
560,00	42,0719
560,50	42,0478
561,00	42,0416
561,50	42,0386
562,00	42,0121
562,50	42,0343
563,00	42,0406
563,50	42,0478
564,00	42,0221
564,50	41,9970
565,00	42,0040
565,50	41,9876
566,00	41,9801
566,50	41,9749
567,00	41,9579
567,50	41,9366
568,00	41,9103
568,50	41,9126
569,00	41,9269
569,50	41,9284
570,00	41,9232
570,50	41,9166
571,00	41,9351
571,50	41,9446
572,00	41,9522
572,50	41,9381
573,00	41,9556
573,50	41,9670
574,00	41,9391
574,50	41,9282
575,00	41,9308
575,50	41,9096
576,00	41,8967
576,50	41,8986
577,00	41,9119
577,50	41,9120
578,00	41,9042
578,50	41,9271
579,00	41,9411
579,50	41,9427
580,00	41,9421
580,50	41,9287
581,00	41,9150
581,50	41,9099
582,00	41,9132
582,50	41,9072
583,00	41,8901
583,50	41,8863
584,00	41,9052
584,50	41,9081
585,00	41,9285
585,50	41,9358
586,00	41,9367
586,50	41,9388
587,00	41,9573
587,50	41,9802
588,00	41,9818
588,50	41,9819
589,00	42,0289
589,50	42,0128
590,00	42,0186
590,50	42,0339
591,00	42,0260
591,50	42,0296
592,00	42,0325
592,50	42,0360
593,00	42,0429
593,50	42,0186
594,00	42,0282
594,50	42,0535
595,00	42,0255
595,50	42,0417
596,00	42,0244
596,50	42,0374
597,00	42,0435
597,50	42,0163
598,00	42,0271
598,50	42,0449
599,00	42,0384
599,50	42,0707
600,00	42,0748
