"pen_argset_C_TopSurface_corner3 - Storage 122618"
"Wavelength nm."	"R%"
185,00	158,0383
185,50	147,9931
186,00	141,9336
186,50	133,3924
187,00	129,9289
187,50	121,1316
188,00	119,2346
188,50	120,2407
189,00	123,4357
189,50	111,3402
190,00	113,7941
190,50	113,1208
191,00	112,7191
191,50	107,3525
192,00	108,1438
192,50	106,3114
193,00	103,1785
193,50	98,2297
194,00	96,3126
194,50	96,3995
195,00	92,3723
195,50	92,2620
196,00	90,7923
196,50	88,9421
197,00	89,3305
197,50	90,1678
198,00	90,2758
198,50	90,5836
199,00	89,3997
199,50	89,3203
200,00	88,7277
200,50	88,6081
201,00	88,5657
201,50	88,3784
202,00	86,7028
202,50	86,2852
203,00	85,4080
203,50	83,9107
204,00	84,5643
204,50	83,8135
205,00	83,6604
205,50	82,4385
206,00	81,0362
206,50	81,4675
207,00	80,5872
207,50	79,8387
208,00	78,7067
208,50	77,3590
209,00	76,6232
209,50	75,8510
210,00	75,7470
210,50	74,8743
211,00	73,2236
211,50	72,1184
212,00	71,3408
212,50	70,7922
213,00	70,4066
213,50	69,3309
214,00	68,3531
214,50	67,4586
215,00	66,8800
215,50	66,3878
216,00	65,9062
216,50	65,2274
217,00	64,3556
217,50	63,6016
218,00	63,1257
218,50	62,6340
219,00	61,9366
219,50	61,3316
220,00	60,8383
220,50	60,4428
221,00	59,7805
221,50	59,3296
222,00	58,8237
222,50	58,4209
223,00	58,1669
223,50	57,6505
224,00	56,9357
224,50	56,4836
225,00	55,8370
225,50	55,4891
226,00	55,1653
226,50	54,7744
227,00	54,3205
227,50	53,8402
228,00	53,6333
228,50	53,4215
229,00	53,0497
229,50	52,8090
230,00	52,5444
230,50	52,4002
231,00	52,2706
231,50	51,9591
232,00	51,6440
232,50	51,3387
233,00	51,2098
233,50	51,0168
234,00	50,8932
234,50	50,6703
235,00	50,4134
235,50	50,1648
236,00	50,0525
236,50	50,0099
237,00	49,8479
237,50	49,6719
238,00	49,5430
238,50	49,4064
239,00	49,3354
239,50	49,2246
240,00	49,0788
240,50	49,0820
241,00	48,8882
241,50	48,9682
242,00	48,9386
242,50	48,9236
243,00	48,8427
243,50	48,7886
244,00	48,7902
244,50	48,9017
245,00	48,7869
245,50	48,8186
246,00	48,6943
246,50	48,7363
247,00	48,7446
247,50	48,5947
248,00	48,6747
248,50	48,6456
249,00	48,6042
249,50	48,6646
250,00	48,7521
250,50	48,7633
251,00	48,6997
251,50	48,7904
252,00	48,9464
252,50	48,8994
253,00	48,9765
253,50	49,0763
254,00	49,1437
254,50	49,2431
255,00	49,3488
255,50	49,4688
256,00	49,5068
256,50	49,5735
257,00	49,7096
257,50	49,7968
258,00	49,8499
258,50	49,8077
259,00	49,8486
259,50	49,9220
260,00	49,9795
260,50	50,0417
261,00	50,0882
261,50	50,1460
262,00	50,1702
262,50	50,1737
263,00	50,2911
263,50	50,2913
264,00	50,2660
264,50	50,3142
265,00	50,2798
265,50	50,3561
266,00	50,3532
266,50	50,3382
267,00	50,3146
267,50	50,3709
268,00	50,3469
268,50	50,3834
269,00	50,2622
269,50	50,2208
270,00	50,1215
270,50	50,0607
271,00	50,0029
271,50	50,0476
272,00	49,9857
272,50	49,9950
273,00	49,9407
273,50	49,9250
274,00	49,9866
274,50	49,9468
275,00	49,9454
275,50	49,9078
276,00	49,8523
276,50	49,8298
277,00	49,7197
277,50	49,7164
278,00	49,7141
278,50	49,6380
279,00	49,6433
279,50	49,5795
280,00	49,5244
280,50	49,4841
281,00	49,3905
281,50	49,3494
282,00	49,3336
282,50	49,3333
283,00	49,2487
283,50	49,1910
284,00	49,2455
