"pen_argset_otherB_centre_front - Storage 131310"
"Wavelength nm."	"R%"
185,00	185,7980
185,50	187,7241
186,00	188,1797
186,50	185,0504
187,00	187,1610
187,50	186,9407
188,00	144,2544
188,50	146,8026
189,00	142,9159
189,50	127,9417
190,00	122,6416
190,50	121,1272
191,00	121,2927
191,50	115,0628
192,00	112,7538
192,50	108,1985
193,00	105,4240
193,50	101,2439
194,00	98,9716
194,50	99,4584
195,00	95,8764
195,50	95,8749
196,00	94,8357
196,50	92,4290
197,00	92,6129
197,50	92,1819
198,00	92,3766
198,50	92,9002
199,00	91,3052
199,50	91,0678
200,00	89,0619
200,50	89,2599
201,00	88,9413
201,50	88,9827
202,00	87,9248
202,50	86,2126
203,00	84,8795
203,50	83,3204
204,00	82,3491
204,50	81,6371
205,00	80,9038
205,50	80,1385
206,00	78,9356
206,50	78,9181
207,00	78,6196
207,50	78,5848
208,00	78,6721
208,50	77,9266
209,00	77,2342
209,50	76,7836
210,00	76,1927
210,50	75,1911
211,00	73,6702
211,50	73,0503
212,00	72,3073
212,50	71,1114
213,00	70,4678
213,50	69,5988
214,00	68,1853
214,50	67,5459
215,00	66,9103
215,50	66,4839
216,00	65,7777
216,50	65,2691
217,00	64,3537
217,50	63,6265
218,00	63,0524
218,50	62,5592
219,00	61,9335
219,50	61,4917
220,00	60,8738
220,50	60,4957
221,00	59,7938
221,50	59,6272
222,00	59,2759
222,50	58,7438
223,00	58,5754
223,50	58,0479
224,00	57,3686
224,50	56,9827
225,00	56,4241
225,50	56,0216
226,00	55,6201
226,50	55,2393
227,00	54,9038
227,50	54,4149
228,00	54,0240
228,50	53,7954
229,00	53,5344
229,50	53,2074
230,00	52,9321
230,50	52,6795
231,00	52,5441
231,50	52,2353
232,00	51,9406
232,50	51,7028
233,00	51,5561
233,50	51,1927
234,00	50,9885
234,50	50,7405
235,00	50,5279
235,50	50,3228
236,00	50,1952
236,50	50,1176
237,00	49,9262
237,50	49,7634
238,00	49,7193
238,50	49,7397
239,00	49,7066
239,50	49,7168
240,00	49,5364
240,50	49,5556
241,00	49,3881
241,50	49,4587
242,00	49,4333
242,50	49,4720
243,00	49,4172
243,50	49,3204
244,00	49,2616
244,50	49,2593
245,00	49,1326
245,50	49,1526
246,00	49,0637
246,50	49,0064
247,00	49,0113
247,50	48,8539
248,00	48,9248
248,50	48,8443
249,00	48,8158
249,50	48,8523
250,00	48,9402
250,50	48,9594
251,00	49,0319
251,50	48,9935
252,00	49,1318
252,50	49,1091
253,00	49,2151
253,50	49,4178
254,00	49,5019
254,50	49,4951
255,00	49,5779
255,50	49,6037
256,00	49,6687
256,50	49,6658
257,00	49,7116
257,50	49,7183
258,00	49,7224
258,50	49,6798
259,00	49,7877
259,50	49,8687
260,00	49,9749
260,50	50,0223
261,00	50,0973
261,50	50,1276
262,00	50,2419
262,50	50,1701
263,00	50,3895
263,50	50,3893
264,00	50,3343
264,50	50,3135
265,00	50,2914
265,50	50,2331
266,00	50,3223
266,50	50,1651
267,00	50,2044
267,50	50,0565
268,00	50,0964
268,50	50,1486
269,00	50,0576
269,50	50,1264
270,00	50,1596
270,50	50,1091
271,00	50,1609
271,50	50,2000
272,00	50,1544
272,50	50,0300
273,00	49,9614
273,50	50,0557
274,00	49,9845
274,50	49,9271
275,00	49,9311
275,50	49,8746
276,00	49,8179
276,50	49,7736
277,00	49,7591
277,50	49,7494
278,00	49,6116
278,50	49,5502
279,00	49,5725
279,50	49,4735
280,00	49,5159
280,50	49,4574
281,00	49,5070
281,50	49,4309
282,00	49,4502
282,50	49,5356
283,00	49,4761
283,50	49,4937
284,00	49,5505
284,50	49,4986
285,00	49,5185
285,50	49,4460
286,00	49,4337
286,50	49,3410
287,00	49,1933
287,50	49,1653
288,00	49,0807
288,50	48,9539
289,00	48,9122
289,50	48,9012
290,00	48,8836
290,50	48,8369
291,00	48,7412
291,50	48,7915
292,00	48,8293
292,50	48,7634
293,00	48,7767
293,50	48,7824
294,00	48,7405
294,50	48,6992
295,00	48,7365
295,50	48,7301
296,00	48,5777
296,50	48,5171
297,00	48,5132
297,50	48,4743
298,00	48,4813
298,50	48,4188
299,00	48,4377
299,50	48,4207
300,00	48,5359
300,50	48,5934
301,00	48,5925
301,50	48,6364
302,00	48,5368
302,50	48,4887
303,00	48,4826
303,50	48,4597
304,00	48,4459
304,50	48,3827
305,00	48,3944
305,50	48,3358
306,00	48,2489
306,50	48,3446
307,00	48,2734
307,50	48,2326
308,00	48,1978
308,50	48,3193
309,00	48,4252
309,50	48,6132
310,00	48,6904
310,50	48,9067
311,00	49,0435
311,50	49,2024
312,00	49,3332
312,50	49,5059
313,00	49,5018
313,50	49,4981
314,00	49,5694
314,50	49,6571
315,00	49,5989
315,50	49,6307
316,00	49,6805
316,50	49,6867
317,00	49,6317
317,50	49,6742
318,00	49,6570
318,50	49,5960
319,00	49,5606
319,50	49,5740
320,00	49,5094
320,50	49,4211
321,00	49,3579
321,50	49,4021
322,00	49,3755
322,50	49,3687
323,00	49,3328
323,50	49,3534
324,00	49,3435
324,50	49,2946
325,00	49,3600
325,50	49,4436
326,00	49,3688
326,50	49,3108
327,00	49,2809
327,50	49,2501
328,00	49,2099
328,50	49,2022
329,00	49,2538
329,50	49,2191
330,00	49,2034
330,50	49,1324
331,00	49,1777
331,50	49,1799
332,00	49,0822
332,50	49,0607
333,00	49,0700
333,50	48,9724
334,00	48,9932
334,50	48,9240
335,00	48,9919
335,50	48,9529
336,00	48,9508
336,50	48,9429
337,00	48,9476
337,50	48,8925
338,00	48,9532
338,50	48,8960
339,00	48,8979
339,50	48,8525
340,00	48,7993
340,50	48,8114
341,00	48,8094
341,50	48,7232
342,00	48,6627
342,50	48,6316
343,00	48,6146
343,50	48,5884
344,00	48,5856
344,50	48,5775
345,00	48,5559
345,50	48,5822
346,00	48,5993
346,50	48,5559
347,00	48,5109
347,50	48,4569
348,00	48,4342
348,50	48,3932
349,00	48,3269
349,50	48,2757
350,00	48,2027
350,50	48,2133
351,00	48,2260
351,50	48,1885
352,00	48,1479
352,50	48,1296
353,00	48,1829
353,50	48,2401
354,00	48,1838
354,50	48,2149
355,00	48,1593
355,50	48,0731
356,00	48,0219
356,50	48,0362
357,00	47,9624
357,50	47,9109
358,00	47,7975
358,50	47,9475
359,00	48,0260
359,50	48,2186
360,00	48,4371
360,50	48,6040
361,00	48,7742
361,50	48,9728
362,00	49,1189
362,50	49,3402
363,00	49,3594
363,50	49,3594
364,00	49,2759
364,50	49,2812
365,00	49,3003
365,50	49,2777
366,00	49,2838
366,50	49,2227
367,00	49,1923
367,50	49,1658
368,00	49,1726
368,50	49,1990
369,00	49,1395
369,50	49,1211
370,00	49,0471
370,50	49,0363
371,00	49,0174
371,50	49,0212
372,00	48,9930
372,50	48,9675
373,00	48,9714
373,50	48,9717
374,00	48,9053
374,50	48,8769
375,00	48,7576
375,50	48,6805
376,00	48,5569
376,50	48,4859
377,00	48,3890
377,50	48,2313
378,00	48,0669
378,50	47,8932
379,00	47,7130
379,50	47,5631
380,00	47,3956
380,50	47,2475
381,00	47,0560
381,50	46,8633
382,00	46,7252
382,50	46,5723
383,00	46,4448
383,50	46,3031
384,00	46,1370
384,50	46,0150
385,00	45,8903
385,50	45,8018
386,00	45,7217
386,50	45,5915
387,00	45,5011
387,50	45,4366
388,00	45,3882
388,50	45,3711
