"pen_argset_otherB_front_spot4 - Storage 132718"
"Wavelength nm."	"R%"
185,00	237,8537
185,50	218,8849
186,00	197,8042
186,50	175,8951
187,00	165,0484
187,50	146,1214
188,00	131,7949
188,50	139,3805
189,00	136,4754
189,50	127,2578
190,00	126,8221
190,50	127,7594
191,00	128,3519
191,50	118,2224
192,00	117,0867
192,50	115,1244
193,00	108,9693
193,50	102,6065
194,00	100,5338
194,50	98,5196
195,00	96,4710
195,50	97,1492
196,00	96,0389
196,50	94,4824
197,00	94,4180
197,50	94,9751
198,00	94,5291
198,50	94,3287
199,00	93,3146
199,50	92,1962
200,00	90,3908
200,50	89,0089
201,00	87,8609
201,50	88,3123
202,00	87,2745
202,50	86,8928
203,00	86,6464
203,50	85,0027
204,00	84,2705
204,50	83,0710
205,00	82,6970
205,50	81,4160
206,00	79,5157
206,50	79,2274
207,00	78,6636
207,50	77,5932
208,00	77,6530
208,50	77,5367
209,00	76,7632
209,50	76,5093
210,00	75,9823
210,50	75,1575
211,00	73,6695
211,50	72,4217
212,00	71,7606
212,50	70,7297
213,00	69,9435
213,50	69,3642
214,00	67,9188
214,50	67,2328
215,00	66,9169
215,50	66,3567
216,00	65,6049
216,50	65,0651
217,00	64,4610
217,50	63,9717
218,00	63,3353
218,50	63,0966
219,00	62,4716
219,50	61,8719
220,00	61,3820
220,50	61,2024
221,00	60,5432
221,50	59,9923
222,00	59,3873
222,50	58,9903
223,00	58,6346
223,50	58,0815
224,00	57,3899
224,50	57,1307
225,00	56,3648
225,50	56,0053
226,00	55,6695
226,50	55,2219
227,00	54,6315
227,50	54,2113
228,00	54,0031
228,50	53,8176
229,00	53,5292
229,50	53,3720
230,00	53,1362
230,50	53,0025
231,00	52,6780
231,50	52,4222
232,00	52,1068
232,50	51,8822
233,00	51,6827
233,50	51,3408
234,00	51,1705
234,50	50,8337
235,00	50,6911
235,50	50,5737
236,00	50,4477
236,50	50,3546
237,00	50,1964
237,50	50,0211
238,00	49,9372
238,50	49,8228
239,00	49,7955
239,50	49,5641
240,00	49,4104
240,50	49,4629
241,00	49,3496
241,50	49,4036
242,00	49,3415
242,50	49,3384
243,00	49,2828
243,50	49,2547
244,00	49,3170
244,50	49,3939
245,00	49,2000
245,50	49,1805
246,00	49,0636
246,50	49,0591
247,00	49,0175
247,50	48,9446
248,00	48,8787
248,50	48,7626
249,00	48,6515
249,50	48,7323
250,00	48,8422
250,50	48,8396
251,00	48,8437
251,50	48,9051
252,00	49,0070
252,50	49,0900
253,00	49,2318
253,50	49,3703
254,00	49,4733
254,50	49,6031
255,00	49,7512
255,50	49,8173
256,00	49,8057
256,50	49,9004
257,00	49,8829
257,50	49,9719
258,00	50,0500
258,50	50,0606
259,00	49,9763
259,50	49,9716
260,00	50,1044
260,50	50,1383
261,00	50,1354
261,50	50,2596
262,00	50,2523
262,50	50,2386
263,00	50,3090
263,50	50,3622
264,00	50,3438
264,50	50,3697
265,00	50,4069
265,50	50,4524
266,00	50,3793
266,50	50,2113
267,00	50,2384
267,50	50,2047
268,00	50,1528
268,50	50,1858
269,00	50,0822
269,50	50,1304
270,00	50,0724
270,50	50,0969
271,00	50,1572
271,50	50,0738
272,00	50,0090
272,50	50,0013
273,00	50,0373
273,50	50,0676
274,00	50,0403
274,50	50,0361
275,00	50,0256
275,50	50,0258
276,00	50,0471
276,50	50,0349
277,00	50,0040
277,50	49,9659
278,00	49,8925
278,50	49,8102
279,00	49,7644
279,50	49,7262
280,00	49,6611
280,50	49,6340
281,00	49,5629
281,50	49,4620
282,00	49,3591
282,50	49,3474
283,00	49,2620
283,50	49,2829
284,00	49,3042
284,50	49,2788
285,00	49,1670
285,50	49,1793
286,00	49,1924
286,50	49,1364
287,00	49,0089
287,50	49,0049
288,00	48,9711
288,50	48,8950
289,00	48,9237
289,50	48,9748
290,00	48,9073
290,50	48,8548
291,00	48,8359
291,50	48,8720
292,00	48,8485
292,50	48,7859
293,00	48,7657
293,50	48,7292
294,00	48,6582
294,50	48,6949
295,00	48,6921
295,50	48,6298
296,00	48,5636
296,50	48,5431
297,00	48,5128
297,50	48,3951
298,00	48,4284
298,50	48,4004
299,00	48,3736
299,50	48,3983
300,00	48,4931
300,50	48,5228
301,00	48,4528
301,50	48,4838
302,00	48,5574
302,50	48,4386
303,00	48,4475
303,50	48,4480
304,00	48,4635
304,50	48,4368
305,00	48,4526
305,50	48,4645
306,00	48,3681
306,50	48,3981
307,00	48,4246
307,50	48,4133
308,00	48,3663
308,50	48,4975
309,00	48,6854
309,50	48,9108
310,00	48,9834
310,50	49,1350
311,00	49,3563
311,50	49,5035
312,00	49,5982
312,50	49,7609
313,00	49,7200
313,50	49,7242
314,00	49,6341
314,50	49,7443
315,00	49,7660
315,50	49,7239
316,00	49,6762
316,50	49,7547
317,00	49,8276
317,50	49,8887
318,00	49,8473
318,50	49,8172
319,00	49,8110
319,50	49,7628
320,00	49,5869
320,50	49,5566
321,00	49,5400
321,50	49,4781
322,00	49,4420
322,50	49,3495
323,00	49,4546
323,50	49,4885
324,00	49,4555
324,50	49,5435
325,00	49,6041
325,50	49,5179
326,00	49,4573
326,50	49,3352
327,00	49,3796
327,50	49,2414
328,00	49,1464
328,50	49,1926
329,00	49,1466
329,50	49,1228
330,00	49,0977
330,50	49,0374
331,00	49,1055
331,50	49,0503
332,00	49,0400
332,50	49,0096
333,00	49,0227
333,50	48,9361
334,00	48,9635
334,50	48,9790
335,00	49,0269
335,50	48,9614
336,00	48,9278
336,50	48,9280
337,00	48,9249
337,50	48,8429
338,00	48,9535
338,50	48,8851
339,00	48,9395
339,50	48,8517
340,00	48,8417
340,50	48,8772
341,00	48,7778
341,50	48,8255
342,00	48,8319
342,50	48,7519
343,00	48,7395
343,50	48,6743
344,00	48,6998
344,50	48,6188
345,00	48,5778
345,50	48,6553
346,00	48,5897
346,50	48,5235
347,00	48,5363
347,50	48,5400
348,00	48,5025
348,50	48,4292
349,00	48,4598
349,50	48,4005
350,00	48,3373
350,50	48,2859
351,00	48,3186
351,50	48,2547
352,00	48,1747
352,50	48,1576
353,00	48,2066
353,50	48,2056
354,00	48,2058
354,50	48,1896
355,00	48,1612
355,50	48,1190
356,00	48,0177
356,50	48,0115
357,00	47,9388
357,50	47,9424
358,00	47,8067
358,50	47,9644
359,00	48,1411
359,50	48,3562
360,00	48,5128
360,50	48,7185
361,00	48,8427
361,50	49,0549
362,00	49,1655
362,50	49,4473
363,00	49,4469
363,50	49,3037
364,00	49,2350
364,50	49,2056
365,00	49,2568
365,50	49,2978
366,00	49,1903
366,50	49,1551
367,00	49,1640
367,50	49,1102
368,00	49,2131
368,50	49,1960
369,00	49,1841
