"pen_teonex_Q51_old_spot1 - Storage 133256"
"Wavelength nm."	"R%"
185,00	363,3652
185,50	309,7222
186,00	257,5503
186,50	205,5029
187,00	160,5803
187,50	109,7228
188,00	117,3123
188,50	123,5894
189,00	118,1082
189,50	111,9243
190,00	115,9140
190,50	117,0292
191,00	117,2217
191,50	109,3235
192,00	107,5282
192,50	105,8763
193,00	104,6964
193,50	101,0841
194,00	97,1967
194,50	95,1759
195,00	93,2975
195,50	93,4656
196,00	92,7734
196,50	92,1553
197,00	91,0494
197,50	91,3442
198,00	92,0311
198,50	92,3359
199,00	91,2665
199,50	90,4288
200,00	88,8213
200,50	88,6031
201,00	88,0317
201,50	88,0903
202,00	86,5463
202,50	85,0736
203,00	85,1485
203,50	83,6131
204,00	83,1733
204,50	82,5878
205,00	82,4474
205,50	81,3232
206,00	79,1009
206,50	79,0620
207,00	78,9040
207,50	78,2631
208,00	77,6266
208,50	76,8124
209,00	76,0690
209,50	74,6822
210,00	74,6822
210,50	74,7893
211,00	73,3007
211,50	72,0284
212,00	71,0737
212,50	70,2710
213,00	69,7996
213,50	68,9969
214,00	68,4384
214,50	67,5095
215,00	66,8043
215,50	66,1666
216,00	65,5673
216,50	65,2428
217,00	64,4882
217,50	63,6667
218,00	62,7092
218,50	62,0774
219,00	61,6061
219,50	60,7900
220,00	60,4749
220,50	60,1837
221,00	59,3808
221,50	59,0908
222,00	58,8104
222,50	58,2903
223,00	57,9282
223,50	57,4166
224,00	56,8948
224,50	56,5528
225,00	55,8952
225,50	55,5136
226,00	55,1667
226,50	54,6650
227,00	54,5009
227,50	54,1574
228,00	53,7999
228,50	53,6124
229,00	53,0374
229,50	52,7593
230,00	52,5103
230,50	52,4148
231,00	52,1875
231,50	51,8804
232,00	51,5860
232,50	51,2838
233,00	51,0672
233,50	50,9881
234,00	50,8346
234,50	50,5162
235,00	50,2347
235,50	50,0714
236,00	49,8837
236,50	49,8390
237,00	49,8379
237,50	49,6792
238,00	49,4849
238,50	49,3468
239,00	49,3329
239,50	49,2032
240,00	49,0512
240,50	49,1017
241,00	48,9138
241,50	48,8354
242,00	48,6918
242,50	48,7160
243,00	48,6838
243,50	48,7103
244,00	48,7194
244,50	48,6990
245,00	48,5068
245,50	48,5624
246,00	48,5491
246,50	48,6669
247,00	48,6701
247,50	48,5547
248,00	48,4706
248,50	48,3845
249,00	48,2984
249,50	48,3451
250,00	48,2716
250,50	48,2631
251,00	48,2541
251,50	48,2348
252,00	48,3667
252,50	48,4326
253,00	48,6019
253,50	48,8536
254,00	48,9376
254,50	49,1047
255,00	49,2101
255,50	49,3062
256,00	49,3001
256,50	49,3973
257,00	49,4855
257,50	49,5441
258,00	49,5484
258,50	49,5610
259,00	49,6907
259,50	49,7578
260,00	49,8986
260,50	50,0278
261,00	50,0532
261,50	50,1083
262,00	50,1708
262,50	50,1996
263,00	50,3499
263,50	50,3115
264,00	50,3742
264,50	50,3212
265,00	50,4022
265,50	50,5109
266,00	50,5497
266,50	50,5449
267,00	50,5345
267,50	50,5506
268,00	50,5490
268,50	50,4800
269,00	50,4582
269,50	50,4031
270,00	50,2384
270,50	50,0907
271,00	49,9724
271,50	50,0433
272,00	50,0265
272,50	50,0000
273,00	50,0024
273,50	49,9319
274,00	49,9592
274,50	49,9974
275,00	50,1204
275,50	50,1470
276,00	50,0776
276,50	49,9953
277,00	49,9342
277,50	49,9278
278,00	49,8826
278,50	49,8291
279,00	49,7513
279,50	49,6859
280,00	49,6307
280,50	49,5687
281,00	49,5440
281,50	49,4537
282,00	49,4073
282,50	49,4275
283,00	49,3323
283,50	49,3344
284,00	49,3451
284,50	49,3126
285,00	49,2590
285,50	49,1920
286,00	49,2764
286,50	49,1443
287,00	49,1553
287,50	49,1094
288,00	49,1292
288,50	49,0013
289,00	48,9898
289,50	49,0353
290,00	48,9909
290,50	48,9301
291,00	48,9568
291,50	48,8170
292,00	48,8666
292,50	48,7737
293,00	48,8159
293,50	48,7120
294,00	48,6816
294,50	48,6538
295,00	48,6150
295,50	48,5625
296,00	48,5693
296,50	48,5599
297,00	48,5325
297,50	48,4245
298,00	48,4890
298,50	48,3540
299,00	48,4416
299,50	48,4490
300,00	48,5033
300,50	48,5111
301,00	48,4278
301,50	48,5133
302,00	48,5367
302,50	48,5470
303,00	48,6017
303,50	48,4905
304,00	48,4231
304,50	48,4042
305,00	48,4538
305,50	48,4138
306,00	48,3708
306,50	48,4099
307,00	48,3684
307,50	48,4671
308,00	48,5620
308,50	48,8389
309,00	49,0833
309,50	49,2317
310,00	49,4870
310,50	49,6854
311,00	49,8456
311,50	49,9327
312,00	50,0455
312,50	50,1431
313,00	50,0750
313,50	49,9824
314,00	49,9437
314,50	49,8856
315,00	49,7639
315,50	49,7923
316,00	49,9308
316,50	49,8367
317,00	49,9184
317,50	49,9227
318,00	49,9172
318,50	49,8605
319,00	49,8368
319,50	49,8634
320,00	49,7370
320,50	49,6343
321,00	49,6714
321,50	49,5540
322,00	49,5715
322,50	49,5806
323,00	49,6832
323,50	49,7125
324,00	49,7063
324,50	49,7663
325,00	49,7324
325,50	49,7118
326,00	49,7152
326,50	49,6281
327,00	49,5633
327,50	49,4639
328,00	49,4220
328,50	49,4563
329,00	49,4057
329,50	49,4739
330,00	49,4712
330,50	49,3815
331,00	49,4241
331,50	49,3835
332,00	49,3701
332,50	49,3707
333,00	49,3190
333,50	49,3009
334,00	49,2465
334,50	49,2263
335,00	49,2922
335,50	49,2168
336,00	49,2017
